"asset_stem","asset_family","priority_band","route_use","required_manifest_path","required_proof_filenames","required_views","visual_rejection_conditions","performance_rejection_conditions","status"
"GEN_family_coral_branching__bouquet","coral_branching","WAVE_01_FIRST_PROOF","Starter_ReefField 5-20m photic entry coral carrier and route color density","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_branching__bouquet.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_branching__bouquet_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__bouquet__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; no biological anchor/taper; dark/fog masking; below Subnautica surface/shallow floor","missing compact capture; alpha blend dense field; no LOD/HLOD proof; no collider/no-collision policy; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_branching__fan","coral_branching","WAVE_01_FIRST_PROOF","Starter_ReefField 5-20m photic entry coral silhouette and player-scale foreground","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_branching__fan.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_branching__fan_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__fan__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; no biological anchor/taper; dark/fog masking; below Subnautica surface/shallow floor","missing compact capture; alpha blend dense field; no LOD/HLOD proof; no collider/no-collision policy; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_branching__thicket","coral_branching","WAVE_01_FIRST_PROOF","Route_Anchor to Node_Copper_A shallow reef density and cover read","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_branching__thicket.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_branching__thicket_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_branching__thicket__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; no biological anchor/taper; dark/fog masking; below Subnautica surface/shallow floor","missing compact capture; alpha blend dense field; no LOD/HLOD proof; no collider/no-collision policy; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_brittle__candelabra","coral_brittle","WAVE_01_FIRST_PROOF","5-20m photic coral fine silhouette stress test near resource route","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_brittle__candelabra.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_brittle__candelabra_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__candelabra__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; branch z-fighting; LOD destroys fine silhouette; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_brittle__cathedral","coral_brittle","WAVE_01_FIRST_PROOF","Starter_ReefField landmark coral form and lower photic continuity cue","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_brittle__cathedral.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_brittle__cathedral_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__cathedral__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; branch z-fighting; LOD destroys fine silhouette; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_brittle__fan","coral_brittle","WAVE_01_FIRST_PROOF","5-20m photic fan form against water/terrain readability","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_brittle__fan.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_brittle__fan_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__fan__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; branch z-fighting; LOD destroys fine silhouette; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_brittle__thicket","coral_brittle","WAVE_01_FIRST_PROOF","Route_Anchor to Scrap_A shallow density and route obstruction readability","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_brittle__thicket.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_brittle__thicket_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_brittle__thicket__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive silhouette; bad alpha; bad material channels; branch z-fighting; LOD destroys fine silhouette; dark/fog masking","missing compact capture; alpha blend dense field; no dither fade proof; no LOD/HLOD proof; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_low__bed","coral_low","WAVE_01_FIRST_PROOF","Starter_ReefField low coral bed base layer and sediment contact proof","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_low__bed.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_low__bed_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__bed__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive mound; bad alpha; bad material channels; no porous/bed structure; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_low__mound","coral_low","WAVE_01_FIRST_PROOF","5-20m photic mound form against terrain material and route edge","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_low__mound.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_low__mound_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__mound__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive mound; bad alpha; bad material channels; no porous/bed structure; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; no SRP/instancing proof where used","PENDING UNITY"
"GEN_family_coral_low__plate","coral_low","WAVE_01_FIRST_PROOF","Shallow reef plate layer and compact silhouette validation","Assets/_Project/Prefabs/Nature/Flora/Baked/MANIFEST_GEN_family_coral_low__plate.md","Docs/Reports/GeneratedAssets/PROOF_GEN_family_coral_low__plate_validation.md; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__flat_clay__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__final_material__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__final_material__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__wire_lod_collider__editor.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__gameplay_distance__compact.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__gameplay_distance__high.png; Docs/Screenshots/GeneratedAssets/GEN_family_coral_low__plate__route_composition__surface_shallow.png","flat/clay; final material; wire/LOD/collider; compact gameplay distance; high gameplay distance; route composition","muddy/blurry/flat/primitive plate; bad alpha; bad material channels; no thick rim/underside AO; dark/fog masking","missing compact capture; no LOD/HLOD proof; collider misuse; no SRP/instancing proof where used","PENDING UNITY"
