"contract_id","shader_or_route","texture_property_or_slot","channel_r","channel_g","channel_b","channel_a","contract_status","evidence_source_path","evidence_class","notes"
"PackedMaskV1_ToolDecayLit","Hecton_ToolDecayLit + Hecton_CoreLit","_MaskMap","Metallic","AO/Occlusion","Smoothness","EmissionMask","STATIC VERIFIED","Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SCHEMA.md","STATIC_DOC / STATIC_SOURCE","Tool body material route only. Not MRAO, ORM, ARM, mask-name, or filename-derived."
"ProceduralBio_ORM","Hecton_ProceduralBio","_ORMAtlas","Occlusion","Roughness","Metallic","EmissionMask","STATIC VERIFIED","Docs/Reports/Batch18/1886_PRODUCT_FACE_TEXTURE_AUTHORING_PIPELINE_DISCOVERY.md; Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SCHEMA.md","STATIC_DOC / STATIC_SOURCE","Organic/flora/bio route only unless a pickup owner declares conversion."
"MraoAtlasLit_MRAO","Hecton_MraoAtlasLit","_MraoMap","Metallic","Roughness","AO","EmissionMask","STATIC VERIFIED","Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SCHEMA.md","STATIC_DOC / STATIC_SOURCE","Clearest static MRAO reference. Future materials still need owner shader route and import proof."
"SuitVisor_VisorMask","SuitVisor","_VisorMaskTex","Dirt","Scratch","Salt","Condensation","STATIC VERIFIED","Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SCHEMA.md","STATIC_DOC / STATIC_SOURCE","Dedicated visor semantics. Not generic PBR, MRAO, ORM, or ARM."
"SuitVisor_DedicatedNormalsMasks","SuitVisor","_ScratchNormalMap; _FingerprintTex; _WaterRunoffNormalTex; _WaterDropletMaskTex","FingerprintTex R mask where cited","N/A","N/A","Droplet mask alpha semantics not accepted as generic PBR","STATIC VERIFIED","Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md","STATIC_DOC / STATIC_SOURCE","Dedicated visor support slots. Source/import/runtime proof remains pending Unity owner."
"ToolScreenDiegetic_Signal","Hecton_ToolScreenDiegetic","_ToolScreenTex","RGB live display signal","RGB live display signal","RGB live display signal","Alpha not read","STATIC VERIFIED","Docs/Reports/Batch18/1896_TOOLSCREEN_DIEGETIC_SHADER_CHANNEL_MATRIX.csv","STATIC_DOC / STATIC_SOURCE","Minimal exact screen contract only. Not body albedo, not PBR, not packed mask."
"ToolScreenDiegetic_DeclaredUnused","Hecton_ToolScreenDiegetic","_BaseMap; _MainTex; _EmissionMap","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED_CHANNEL_CONTRACT","Docs/Reports/Batch18/1896_TOOLSCREEN_DIEGETIC_SHADER_CHANNEL_MATRIX.csv","STATIC_DOC / STATIC_SOURCE","Declared/sampler slots are not sampled in current shader source. Do not treat as albedo/emission proof."
"ToolScreenDiegetic_Scalars","Hecton_ToolScreenDiegetic","_ToolHeat01; _ToolBattery01; _ToolFault01; _ToolCriticalFlash01; _ToolVisualOverkill01","Scalar presentation","Scalar presentation","Scalar presentation","N/A","STATIC VERIFIED","Docs/Reports/Batch18/1896_TOOLSCREEN_DIEGETIC_SHADER_CHANNEL_MATRIX.csv","STATIC_DOC / STATIC_SOURCE","Accepted static scalar presentation only. Owner/runtime screen proof pending."
"AI_UberNoir_ARM","AITextureControlMapBaker / UberNoir ARM-style ingestion","_ArmMap; _MaskMap; _MetallicGlossMap","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED_CHANNEL_CONTRACT","Docs/Reports/Batch18/1886_PRODUCT_FACE_TEXTURE_AUTHORING_PIPELINE_DISCOVERY.md; Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1891_AITEXTURE_PRODUCT_FACE_HARDENING_PACKET.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SCHEMA.md","STATIC_DOC / STATIC_SOURCE","Filename classifications ARM/mask/packed are hints only. Exact target shader channel truth was not located."
"ResourceMineral_Route","ProductFace resource minerals","Candidate MRAO or pickup-specific shader","BLOCKED per mineral owner","BLOCKED per mineral owner","BLOCKED per mineral owner","BLOCKED per mineral owner","BLOCKED_CHANNEL_CONTRACT","Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST_AND_SHADER_AUDIT.md; Docs/Reports/Batch18/1894_PRODUCT_FACE_TEXTURE_SOURCE_MANIFEST_SEED.csv","STATIC_DOC","MRAO exists as a reference, but per-mineral material route/source ownership is not locked."
