release_set_id,packet_id,locale,field,chars,estimated_px,max_line_px,max_word_px,bound_px,lines,max_lines,expansion_vs_en,issues,source
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,title,30,278.28,278.28,86.04,360.0,1,1,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,scanner,99,793.92,432.64,90.88,460.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,terminal,144,1085.7,495.6,89.1,520.0,3,2,1.0,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,audio,60,536.76,536.76,98.28,620.0,1,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,in_game_wiki,125,929.4,585.9,98.7,620.0,2,5,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,external_site,129,1057.28,662.4,102.72,680.0,2,4,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,field_note,90,651.56,501.76,74.2,560.0,2,3,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,title,40,397.8,311.76,135.72,360.0,2,1,1.429,TEXT_OVERFLOW_LINES;TEXT_EXPANSION_GT_1_35,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,scanner,101,864.96,454.4,139.2,460.0,3,2,1.089,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,terminal,150,1192.5,510.3,104.4,520.0,3,2,1.098,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,audio,60,582.84,582.84,98.64,620.0,1,2,1.086,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,in_game_wiki,130,1041.0,578.7,163.2,620.0,2,5,1.12,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,external_site,147,1267.2,634.56,120.64,680.0,2,4,1.199,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,field_note,102,777.28,549.64,129.92,560.0,2,3,1.193,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,title,73,662.04,332.64,103.68,360.0,2,1,2.379,TEXT_OVERFLOW_LINES;TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,scanner,142,1135.04,463.36,92.16,460.0,3,2,1.43,TEXT_OVERFLOW_LINES;TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,terminal,187,1405.5,499.8,89.1,520.0,3,2,1.295,TEXT_OVERFLOW_LINES;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,audio,103,920.52,600.48,103.68,620.0,2,2,1.715,TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,in_game_wiki,168,1249.2,611.4,98.7,620.0,3,5,1.344,DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,external_site,172,1398.4,672.32,102.72,680.0,3,4,1.323,DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ja_JP,field_note,133,950.04,548.52,80.64,560.0,2,3,1.458,DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,title,73,662.04,332.64,103.68,360.0,2,1,2.379,TEXT_OVERFLOW_LINES;TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,scanner,142,1135.04,463.36,92.16,460.0,3,2,1.43,TEXT_OVERFLOW_LINES;TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,terminal,187,1405.5,499.8,89.1,520.0,3,2,1.295,TEXT_OVERFLOW_LINES;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,audio,103,920.52,600.48,103.68,620.0,2,2,1.715,TEXT_EXPANSION_GT_1_35;DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,in_game_wiki,168,1249.2,611.4,98.7,620.0,3,5,1.344,DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,zh_CN,external_site,172,1398.4,672.32,102.72,680.0,3,4,1.323,DRAFT_PREFIX_LONG,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
