"path","primitive_refs","category","likely_visibility","risk","severity","proposed_next_owner","notes"
"Assets/_Project/Prefabs/Buildings/Cube.prefab","1","Buildings","visible_unknown","legacy building cube may be production or dev sample","UNKNOWN","Construction/building prefab owner","Active cube MeshFilter/renderer in static YAML; prove scene use or quarantine."
"Assets/_Project/Prefabs/Construction/Final/PFB_Debris_ScrapCluster.prefab","9","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; visible active primitive scrap meshes."
"Assets/_Project/Prefabs/Construction/Final/PFB_Debris_WreckField.prefab","12","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; visible active primitive wreck/debris meshes."
"Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab","9","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; corridor body/rib primitives."
"Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab","1","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; __Visual cylinder primitive."
"Assets/_Project/Prefabs/Construction/Final/PFB_Module_Foundation.prefab","9","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; active body/rib/band primitives."
"Assets/_Project/Prefabs/Construction/Final/PFB_Module_Pylon.prefab","1","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; __Visual cylinder primitive."
"Assets/_Project/Prefabs/Construction/Final/PFB_Module_ServicePump.prefab","1","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; __Visual cube primitive."
"Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab","16","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; active primitive ruin/school/perch meshes."
"Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab","23","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; largest primitive count in Final set."
"Assets/_Project/Prefabs/Construction/Final/PFB_SargassumCollapseChunk.prefab","1","Construction/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1853 as extra unlinked Final blocker."
"Assets/_Project/Prefabs/Diagnostics/PFB_ErrorCube.prefab","1","Diagnostics","diagnostic_visible_only_on_error","diagnostic fallback can be acceptable if quarantined","DEV_ONLY","Diagnostics/tooling owner","Keep out of production art gates only if Diagnostics-only/error fallback proof exists."
"Assets/_Project/Prefabs/Directional Light.prefab","1","root loose / Ocean-Sky","hidden_or_disabled","disabled Sun_Body renderer in static YAML","LOW","Celestial/lighting owner","Primitive sphere exists but MeshRenderer enabled=0; runtime enable remains unproven."
"Assets/_Project/Prefabs/Item_Titanium.prefab","1","root loose / Item","visible_pickup","root visible item primitive","HIGH","Inventory/resource art owner","Active cube renderer on item prefab; replace with authored titanium/scrap mesh or quarantine legacy root."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held BeaconDeployer mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Builder mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held EnvAnalyzer mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Flashlight mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held HarpoonLauncher mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Knife mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held LaserCutter mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Propulsion mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Repair mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held SalvageSampler mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Scanner_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held Scanner mesh."
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_StunPistol_World.prefab","1","Items/Tools","visible_pickup","world tool pickup cube stand-in","HIGH","Tools art owner","Active world item renderer; pair replacement with held StunPistol mesh."
"Assets/_Project/Prefabs/Nature/OrganicMisc/Final/PFB_Organic_EggCluster.prefab","11","Nature/OrganicMisc/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive eggs and nest ridges."
"Assets/_Project/Prefabs/Nature/OrganicMisc/Final/PFB_Organic_PlantGiant.prefab","12","Nature/OrganicMisc/Final","visible_gameplay","covered production Final blocker","BLOCKER_COVERED","1851-1853 replacement owners","Already covered by 1851/1853; primitive canopy/stem/bud set."
"Assets/_Project/Prefabs/Ocean_Crest.prefab","4","Ocean/Sky","visible_or_render_input","Crest/sargassum input primitive planes have enabled renderers","HIGH","Water/ocean owner","Static YAML shows enabled renderers on Sargassum input planes; needs visual/runtime proof or hidden input split."
"Assets/_Project/Prefabs/Player.prefab","17","Player","visible_player_body","player suit/blockout primitives with enabled renderers","HIGH","Player/character art owner","16 enabled primitive body part renderers; Suit_Visor primitive renderer disabled but body risk remains."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab","1","Resources/Pickups","visible_pickup","resource pickup cube stand-in","HIGH","Inventory/resource art owner","Active renderer; needs physical ore/deposit mesh."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab","1","Resources/Pickups","visible_pickup","resource pickup plane stand-in","HIGH","Inventory/resource art owner","Active renderer; needs authored kelp/fiber silhouette."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab","1","Resources/Pickups","visible_pickup","resource pickup plane stand-in","HIGH","Inventory/resource art owner","Active renderer; needs resin clump mesh/material."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_MembraneTissue.prefab","1","Resources/Pickups","visible_pickup","resource pickup sphere stand-in","HIGH","Inventory/resource art owner","Active renderer; needs biological tissue mesh/material."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab","1","Resources/Pickups","visible_pickup","resource pickup sphere stand-in","HIGH","Inventory/resource art owner","Active renderer; needs shard cluster mesh."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilverOre.prefab","1","Resources/Pickups","visible_pickup","resource pickup cube stand-in","HIGH","Inventory/resource art owner","Active renderer; needs ore mesh/material."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SulfurClumps.prefab","1","Resources/Pickups","visible_pickup","resource pickup sphere stand-in","HIGH","Inventory/resource art owner","Active renderer; needs sulfur clump mesh/material."
"Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab","1","Resources/Pickups","visible_pickup","resource pickup cube stand-in","HIGH","Inventory/resource art owner","Active renderer; needs cut salvage/titanium scrap mesh."
"Assets/_Project/Prefabs/Sky_System.prefab","1","Ocean/Sky","visible_sky","sky dome primitive sphere renderer enabled","HIGH","Sky/celestial owner","Active sphere renderer in sky system; visual proof cannot accept primitive source."
"Assets/_Project/Prefabs/STRUCTURES.prefab","1","root loose / aggregate","visible_unknown","root aggregate contains active Item_Titanium primitive","UNKNOWN","Integrator/inventory owner","Likely legacy aggregate; prove unused or split into owned item prefab replacement."
"Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active Visual primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_Scanner_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Tools/Held/Tool_StunPistol_Held.prefab","1","Tools/Held","visible_first_person_tool","held tool cube stand-in","HIGH","Tools art owner","Active VisualBody primitive; product-face replacement required."
"Assets/_Project/Prefabs/Transport/PFB_CargoSled_Transport.prefab","1","Transport","visible_vehicle_or_transport","transport body cube stand-in","HIGH","Vehicles/transport art owner","Active renderer; vehicle bible rejects primitive transport marker as product art."
"Assets/_Project/Prefabs/Transport/PFB_Exosuit_Frame_Transport.prefab","1","Transport","visible_vehicle_or_transport","transport body cube stand-in","HIGH","Vehicles/transport art owner","Active renderer; needs pressure-rated frame/proxy split."
