path,release_set_id,packet_id,article_id,voice,speaker_or_institution,unlock_context,poi_context,locale_coverage,terminal_locale_coverage,draft_locale_rows,mojibake_rows,missing_locales,changed_by_1774,locale_review_state,sample_en
Docs/Lore/AppliedContent/packets/RS002_DEEPENING_DESCENT.packets.json,RS002_DEEPENING_DESCENT,P006_DEAD_CLAIM_CACHE,marauder.dead_claim_cache,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Black Keel / claim-pool carrier,unlock.first_marauder_cache,poi.dead_claim_buoy;poi.marauder_cache;poi.cut_tether,15/15,15/15,0,0,,no,inventory_only,Route under north pipe is quiet until the lamps wake up. Do not touch the blue casket. Do not answer carrier pings from inside the canyon.
Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P011_DOMAIN_MARKS_2190,human.domain_marks_2190,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Marauder / salvage field note,unlock.first_multi_domain_mark,poi.domain_tool_stamp;poi.route_cargo_tag;poi.old_safety_plate,15/15,15/15,0,0,,no,inventory_only,Origin standards accepted: Sol Core. Repair authority: Barnard Yards. Packet custody: Luyten Junction. Claim jurisdiction: Aegir local.
Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P012_RELAY_SPINE,transit.relay_spine,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Unclassified document source,unlock.first_relay_buffer,poi.relay_buffer;poi.packet_spool;poi.beam_schedule_panel,15/15,15/15,0,0,,no,inventory_only,Packet queued. Light-delay route accepted. Priority dispute unresolved. Human-response estimate: non-operational.
Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P013_NEARLIGHT_SHIP_CLASSES,ships.nearlight_classes,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Black Keel / claim-pool carrier,unlock.first_transit_manifest,poi.transit_manifest;poi.sleeper_tag;poi.mass_carrier_record,15/15,15/15,0,0,,no,inventory_only,"No FTL lane registered. Transit class requires launch infrastructure, braking plan, shielding mass, and route custody."
Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P014_AEGIR_ROUTE_WINDOW,aegir.route_window,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Black Keel / claim-pool carrier,unlock.first_aegir_window_table,poi.window_table;poi.moon_shadow_timer;poi.radiation_weather_panel,15/15,15/15,0,0,,no,inventory_only,Window update: moon shadow clearing. Uplink noise falling. Radiation count rising. Ascent mass estimate pending carrier geometry.
Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P015_BLACK_KEEL_LEDGER,ships.black_keel_ledger,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Deep Reach / claim-liability institution,unlock.first_black_keel_ledger,poi.claim_pool_ledger;poi.carrier_debt_record;poi.deep_reach_priority_hook,15/15,15/15,0,0,,no,inventory_only,Recovery service conditional. Claim clearance incomplete. Deep-priority route masked. Payload authority remains carrier-side.
Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P016_AEGIR_HOST_STAR,location.aegir.host_star,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Unclassified document source,unlock.first_host_star_reading,poi.sky_window;poi.route_archive;poi.black_keel_ephemeris,15/15,15/15,0,0,,no,inventory_only,"Ran/Aegir route ephemeris: K-dwarf primary, delayed interstellar packets, no FTL rescue vector. Treat all help as local."
Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P017_AEGIR_MOON_LADDER,location.aegir.moon_ladder,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Deep Reach / claim-liability institution,unlock.first_moon_ladder_map,poi.orbit_dossier;poi.signal_mast;poi.black_keel_ephemeris,15/15,15/15,0,0,,no,inventory_only,"AEGIR ROUTE NOTE: HECTON-8 sits after Kestrel. Relay shadow, tide phase and carrier window must match before payload ascent."
Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P018_HECTON8_DROWNED_GEOLOGY,location.hecton8.drowned_geology,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Marauder / salvage field note,unlock.first_geology_route_model,poi.geology_scanner;poi.brine_step;poi.thermal_route_marker,15/15,15/15,0,0,,no,inventory_only,"DEPTH FORECAST: shelf collapse, service-canyon funneling, brine-density curtains, thermal plumes, abyssal silt exposure. Route confidence falls after storm surge."
Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P019_HECTON8_RESOURCE_STACK,location.hecton8.resource_stack,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Deep Reach / claim-liability institution,unlock.first_resource_stack_scan,poi.resource_casket;poi.salvage_cache;poi.process_stack,15/15,15/15,0,0,,no,inventory_only,"Value model: survival biota, human salvage, route hardware, pressure chemistry, blue debt, pressure glass, continuity substrate."
Docs/Lore/AppliedContent/packets/RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P020_HECTON8_ECOLOGY_REGISTRY,location.hecton8.ecology_registry,"audio,external_site,field_note,in_game_wiki,scanner,terminal",Unclassified document source,unlock.first_ecology_registry_scan,poi.shallow_biota;poi.cable_flora;poi.altered_fauna,15/15,15/15,0,0,,no,inventory_only,REGISTRY SPLIT: native pressure ecology; colony-adapted cable biota; Atlas-altered repair organisms. Mislabeling can destroy working seals.
