"File","OrigW","OrigH","LoadedW","LoadedH","Format","Alpha","Mip","Bpp","Bytes"
"Assets\_Project\Art\TEXTURES\Aegir_storms.png","4096","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\clouds.png","4096","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\clouds0_diff.png","4096","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\FLOOR.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\FLOOR1.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\foam.png","2048","2048","2048","2048","1","1","1","1","5591007.232"
"Assets\_Project\Art\TEXTURES\gameart.png","1376","768","1376","768","1","0","1","0.5","704335.872"
"Assets\_Project\Art\TEXTURES\menuview.png","1376","768","1376","768","1","0","1","0.5","704335.872"
"Assets\_Project\Art\TEXTURES\Meshy_AI_Alien_barnacles_clust_0301230506_texture.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\ORGANIC.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\terrain.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\bubble vent atlas - bad - redo.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\mineral seep mask - looks seamless.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\Mineral Seep Mask - second try.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\Soft Plume Noise - second try.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\soft plume noise - какой то серый ну норм.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
