backlog_id,blueprint_id,target_source_area,implementation_step,priority
BL_001,BP_CAVE_ENT_01,PFB_family_cave_entrance.prefab,Integrate primary mesh base to biome matrix,High
BL_002,BP_CAVE_ENT_01,PFB_family_cave_entrance.prefab,Validate ambient occlusion bake,Medium
BL_003,BP_CAVE_ENT_02,PFB_family_cave_entrance__lip.prefab,Align normal blending for rim transitions,High
BL_004,BP_CAVE_ENT_03,PFB_family_cave_entrance__shaft.prefab,Optimize vertical collision hull for player clearance,High
BL_005,BP_CAVE_ENT_04,NEW_ASSET_BACKLOG,Sculpt horizontal expansion geometry,High
BL_006,BP_CAVE_ENT_05,NEW_ASSET_BACKLOG,Configure edge jaggedness displacement map,Medium
BL_007,BP_CAVE_ENT_06,NEW_ASSET_BACKLOG,Model bifurcated tunnel entrances,Low
BL_008,BP_CAVE_ENT_07,NEW_ASSET_BACKLOG,Calculate stability constraints for overhang,High
BL_009,BP_CAVE_ENT_08,NEW_ASSET_BACKLOG,Smooth crater depression to terrain delta,Medium
BL_010,BP_CAVE_ENT_09,NEW_ASSET_BACKLOG,Establish strict X-axis local bounding box,Low
BL_011,BP_CAVE_ENT_10,NEW_ASSET_BACKLOG,Setup upward normal projection for chimney,Medium
BL_012,BP_CORAL_BRA_01,PFB_family_coral_branching.prefab,Compile L-system procedural ruleset,High
BL_013,BP_CORAL_BRA_02,PFB_family_coral_branching__branch.prefab,Adjust tip branching logic for performance,Medium
BL_014,BP_CORAL_BRA_03,PFB_family_coral_branching__mass.prefab,Pack overlapping nodes tightly without Z-fighting,High
BL_015,BP_CORAL_BRA_04,NEW_ASSET_BACKLOG,Double internode distance parameters,Low
BL_016,BP_CORAL_BRA_05,NEW_ASSET_BACKLOG,Widen spread angle to fan profile,Medium
BL_017,BP_CORAL_BRA_06,NEW_ASSET_BACKLOG,Increase iteration depth recursively,High
BL_018,BP_CORAL_BRA_07,NEW_ASSET_BACKLOG,Implement spatial pruning algorithm,High
BL_019,BP_CORAL_BRA_08,NEW_ASSET_BACKLOG,Inject noise modifier into direction vectors,Medium
BL_020,BP_CORAL_BRA_09,NEW_ASSET_BACKLOG,Restrict sub-branching to apical regions,Low
BL_021,BP_CORAL_BRA_10,NEW_ASSET_BACKLOG,Apply gravity bias to procedural generation,High
BL_022,BP_CORAL_BRI_01,PFB_family_coral_brittle__fan.prefab,Expand planar mesh geometry,High
BL_023,BP_CORAL_BRI_02,PFB_family_coral_brittle__sprig.prefab,Taper cylindrical extrusions rapidly,Medium
