Failure ID,Asset Family,Material Issue,UV Mapping Issue,Vertex Color Data Defect,Technical Solution
S-001,PFB_family_rock_small_floor,Missing contact shadows,Cylindrical projection distortion,Blue channel empty,Enforce hemispherical raycast to bake AO into blue channel adhering to 0 B/frame shader constraints.
S-002,PFB_family_rock_small_floor,Albedo tiling,Seams on flat planes,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
S-003,PFB_family_rock_small_floor,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-004,PFB_family_rock_cluster_medium,Z-fighting on overlap,Identical UVs on instances,Alpha channel missing blend data,Implement CSG boolean union; pack unique UV islands; bake slope to alpha for sand blending.
S-005,PFB_family_rock_cluster_medium,Missing contact shadows,Stretching on sharp ridges,Blue channel empty,Enforce QEM decimation to preserve ridges; bake AO into blue channel (0 B/frame).
S-006,PFB_family_rock_cluster_medium,Visible texture seams,Cylindrical projection distortion,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
S-007,PFB_family_rock_cluster_medium,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-008,PFB_family_rock_arch_large,Missing contact shadows,Under-sampled inner curve UVs,Blue channel empty,Adaptive grid evaluation; bake AO into blue channel adhering to 0 B/frame shader constraints.
S-009,PFB_family_rock_arch_large,Albedo tiling,Cylindrical projection distortion,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
S-010,PFB_family_rock_arch_large,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-011,PFB_family_rock_shelf_large,Missing sediment mask,Stretching on vertical walls,Alpha channel missing blend data,Extrude upward-facing polygons; bake slope to alpha for sand blending (0 B/frame).
S-012,PFB_family_rock_shelf_large,Missing contact shadows,Cylindrical projection distortion,Blue channel empty,Enforce hemispherical raycast to bake AO into blue channel.
S-013,PFB_family_rock_shelf_large,Visible texture seams,Seams on flat planes,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
S-014,PFB_family_rock_shelf_large,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-015,PFB_family_cave_entrance,Missing contact shadows,Under-sampled inner curve UVs,Blue channel empty,Toroidal SDF subtraction; bake AO into blue channel adhering to 0 B/frame shader constraints.
S-016,PFB_family_cave_entrance,Albedo tiling,Cylindrical projection distortion,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
S-017,PFB_family_cave_entrance,Incorrect roughness,UV island overlap,Green channel empty,Offset UV islands by asset index; map cavity to green channel for roughness modulation.
S-018,PFB_family_cave_entrance,Inverted normal shading,Identical UVs on instances,Alpha channel missing blend data,Winding order verification pass; pack unique UV islands; bake slope to alpha.
S-019,PFB_family_pocket_hazard,Symmetrical shading,Stretching on sharp ridges,Blue channel empty,Anisotropic scaling; bake AO into blue channel (0 B/frame).
S-020,PFB_family_pocket_hazard,Missing chemical deposit mask,Cylindrical projection distortion,Green channel missing sulfur data,Calculate distance gradient from apex; write to green channel for sulfur material blend.
S-021,PFB_family_pocket_hazard,Visible texture seams,Seams on flat planes,Red channel missing noise data,Apply triplanar projection in shader; bake noise to red vertex channel for macro-variation.
