asset_or_slot,map_or_stream,channel,color_space,import_or_binding,compression_or_format,role,notes
Final flora imported stack,_BaseMap,RGB,sRGB,Texture2D/Default,BC7 or ASTC platform override,base albedo pigment without baked lighting,"Name as albedo___{familyId}.png under managed Imported root"
Final flora imported stack,_BaseMap,A,sRGB,Texture2D/Default,BC7 or ASTC platform override,opacity/cutout only when shader route explicitly supports it,"Default opaque; do not use alpha to fake dense fields"
Final flora imported stack,_DetailMap,RGB,Linear,Texture2D/Default,BC7 or ASTC platform override,micro fibers pores calcium grain scars and sediment,"Name as detail___{familyId}.png; must tile cleanly"
Final flora imported stack,_DetailMap,A,Linear,Texture2D/Default,BC7 or ASTC platform override,detail influence/intensity mask,"Keep low-frequency shape in mesh not in detail map"
Final flora imported stack,_NormalMap,RG/XYZ,Linear,Texture2D/NormalMap,BC5,tangent-space normal for ribs pores folds serration and chipped rims,"Name as normal___{familyId}.png; no lighting baked into normal source"
Final flora imported stack,_MaskMap,R,Linear,Texture2D/Default,BC7 or ASTC platform override,metallic,"0 for kelp/coral; anchor/debris may use metal where structural shader supports it"
Final flora imported stack,_MaskMap,G,Linear,Texture2D/Default,BC7 or ASTC platform override,roughness,"Use roughness order unless a shader manifest states smoothness; document any inversion"
Final flora imported stack,_MaskMap,B,Linear,Texture2D/Default,BC7 or ASTC platform override,ambient occlusion/cavity,"Branch intersections undersides holdfast roots pores and plate undersides"
Final flora imported stack,_MaskMap,A,Linear,Texture2D/Default,BC7 or ASTC platform override,emission wetness or family mask as shader route states,"Must be localized; random full-surface glow rejected"
Optional source only,_ThicknessSubsurface,R,Linear,source texture only,bake into supported shader property,transmission/thickness,"Use for kelp blades and soft coral only if material route supports it"
Optional source only,_ThicknessSubsurface,G,Linear,source texture only,bake into supported shader property,wetness/subsurface response,"Do not create unmanaged runtime texture requirement without shader support"
Optional source only,_ThicknessSubsurface,B,Linear,source texture only,bake into supported shader property,edge scatter color/intensity,"Keep route readability stable across GlobalQualityWeight"
Optional source only,_ThicknessSubsurface,A,Linear,source texture only,bake into supported shader property,opacity/cutout reserve,"Not a license for alpha-card fields"
BioForge shallow atlas,_AlbedoAtlas,RGB,sRGB,Texture2D/Default,BC7,starter atlas albedo,"Existing ShallowsBioForgeBatchBaker route; starter proof only"
BioForge shallow atlas,_NormalAtlas,RG/XYZ,Linear,Texture2D/NormalMap,BC5,starter atlas normal,"Generated normal atlas; not final imported family stack"
BioForge shallow atlas,_ORMAtlas,R,Linear,Texture2D/Default,BC7,ambient occlusion,"This atlas is ORMA order from code, not MRAO"
BioForge shallow atlas,_ORMAtlas,G,Linear,Texture2D/Default,BC7,roughness,"Do not silently bind as MRAO.G if shader expects different order"
BioForge shallow atlas,_ORMAtlas,B,Linear,Texture2D/Default,BC7,metallic or unused zero,"Code writes 0; flora/coral nonmetal default"
BioForge shallow atlas,_ORMAtlas,A,Linear,Texture2D/Default,BC7,emission,"Starter emission only; must be localized in final art"
Final vertex color,Color,R,mesh vertex stream,Mesh color channel,RGBA32 or equivalent,sway amplitude,"BioForge currently only gives height gradient R; final must remap per semantic contract"
Final vertex color,Color,G,mesh vertex stream,Mesh color channel,RGBA32 or equivalent,biolum/emission mask,"Localized navigation/ecology cues only"
Final vertex color,Color,B,mesh vertex stream,Mesh color channel,RGBA32 or equivalent,AO/cavity/contact mask,"Use for holdfast roots branch joins pores undersides"
Final vertex color,Color,A,mesh vertex stream,Mesh color channel,RGBA32 or equivalent,family wear variant mask,"Document per variant; no hidden gameplay truth in visual color"
Kelp tall source,SRC_2004_KELP_BLADE_FIBER_4K,all,source,external/generated bitmap,N/A,blade fiber and rib material sample,"Orthographic seamless material sample; no light/shadow/perspective/text"
Kelp root source,SRC_2004_KELP_HOLDFAST_ROOT_4K,all,source,external/generated bitmap,N/A,holdfast root and wet contact material,"Needs contact AO and sediment abrasion cues"
Kelp canopy source,SRC_2004_KELP_CANOPY_EDGE_4K,all,source,external/generated bitmap,N/A,canopy torn edge and rim source,"Must support readable silhouette at waterline"
Intertidal source,SRC_2004_INTERTIDAL_WEED_LICHEN_4K,all,source,external/generated bitmap,N/A,wet shore weed lichen salt grass source,"Not underwater kelp on land"
Coral branch source,SRC_2004_CORAL_BRANCH_CALCITE_4K,all,source,external/generated bitmap,N/A,branching calcite pores bands and broken tips,"No smooth tube coral"
Coral massive source,SRC_2004_CORAL_MASSIVE_POROUS_4K,all,source,external/generated bitmap,N/A,massive porous dome material,"Needs pore AO and sediment wear"
Coral plate source,SRC_2004_CORAL_PLATE_RIM_UNDERSIDE_4K,all,source,external/generated bitmap,N/A,plate rim underside and chipped shelf material,"Needs underside AO and thickness cues"
Coral low source,SRC_2004_CORAL_LOW_SPONGE_BED_4K,all,source,external/generated bitmap,N/A,low sponge bed material,"No flat decal carpet"
Soft fan source,SRC_2004_REEF_FAN_SOFT_RIB_4K,all,source,external/generated bitmap,N/A,soft fan ribs holes and torn membranes,"Must be geometry-backed not alpha-only"
Debris source,SRC_2004_ANCHOR_DEBRIS_ENCRUSTED_4K,all,source,external/generated bitmap,N/A,barnacled wet anchor debris and rope source,"Metal channels only on structural/debris portions"
Biolum masks,SRC_2004_BIOLUM_DETAIL_MASKS_4K,all,source,external/generated bitmap,N/A,localized biological glow masks,"Ecology/navigation signal; random glow rejected"
