packet_id,release_set_id,article_id,title_en,surfaces_present,locale_count,route_card_present,binding_map_present
P001_CRASH_SHELF,,hecton8.crash_shelf,Crash Shelf,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P002_BLACK_KEEL_CONTACT,,black_keel.contact,Black Keel Contact,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P003_BARNARD_MARK,,player.barnard_mark,Barnard Mark,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P004_BLUE_DEBT,,resource.blue_debt,Blue Debt,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P005_REPAIR_SCAR,,atlas.repair_scar,Repair Scar,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P006_DEAD_CLAIM_CACHE,RS002_DEEPENING_DESCENT,marauder.dead_claim_cache,Dead Claim Cache,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P007_BRINE_STAIR,,hecton8.brine_stair,Brine Stair,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P008_EVACUATION_HOLD,,colony.evacuation_hold,Evacuation Hold,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P009_BOTTOM_FACTORY,,atlas.bottom_factory,Bottom Factory,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P010_PAYLOAD_WINDOW,,ending.payload_window,Payload Window,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P011_DOMAIN_MARKS_2190,RS003_HUMAN_SPACE_AEGIR_ROUTE,human.domain_marks_2190,Domain Marks 2190,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P012_RELAY_SPINE,RS003_HUMAN_SPACE_AEGIR_ROUTE,transit.relay_spine,Relay Spine,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P013_NEARLIGHT_SHIP_CLASSES,RS003_HUMAN_SPACE_AEGIR_ROUTE,ships.nearlight_classes,Nearlight Ship Classes,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P014_AEGIR_ROUTE_WINDOW,RS003_HUMAN_SPACE_AEGIR_ROUTE,aegir.route_window,Aegir Route Window,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P015_BLACK_KEEL_LEDGER,RS003_HUMAN_SPACE_AEGIR_ROUTE,ships.black_keel_ledger,Black Keel Ledger,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P016_AEGIR_HOST_STAR,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,location.aegir.host_star,Aegir Host Star,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P017_AEGIR_MOON_LADDER,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,location.aegir.moon_ladder,Aegir Moon Ladder,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P018_HECTON8_DROWNED_GEOLOGY,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,location.hecton8.drowned_geology,Drowned Geology,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P019_HECTON8_RESOURCE_STACK,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,location.hecton8.resource_stack,Resource Stack,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P020_HECTON8_ECOLOGY_REGISTRY,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,location.hecton8.ecology_registry,Ecology Registry,audio;external_site;field_note;image_brief;in_game_wiki;scanner;terminal,15,yes,yes
P021_BLACK_KEEL_CUSTODY,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,ships.black_keel_custody,Black Keel Custody,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P022_DROP_CAPSULE_DAMAGE,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,arrival.drop_capsule_damage,Drop Capsule Damage,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P023_DEEP_REACH_RETURN_CLAIM,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,factions.deep_reach_return_claim,Deep Reach Return Claim,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P024_FALSE_EXIT_MATERIAL,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,endings.false_exit_material,Material Exit,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P025_PROFESSIONAL_MOTIVE,RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE,player.professional_motive,Professional Motive,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P026_SIX_DOMAIN_LEDGER,RS006_HUMANITY_TRANSIT_SEED_LOGISTICS,humanity.six_domain_ledger,Six Domain Ledger,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P027_BARNARD_YARDS_ORIGIN,RS006_HUMANITY_TRANSIT_SEED_LOGISTICS,player.barnard_yards_origin,Barnard Yards Origin,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
P028_NO_FTL_TRANSIT_MATH,RS006_HUMANITY_TRANSIT_SEED_LOGISTICS,travel.no_ftl_transit_math,No-FTL Transit Math,audio;external_site;field_note;in_game_wiki;scanner;terminal,15,yes,yes
