asset_stem,family,path,likely_use,proof_need,manifest_need,risk,future_owner
GEN_family_coral_branching__bouquet,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__bouquet.prefab,P1 shallow coral bouquet reef carrier,flat/final/render/gameplay/compact/high/collider-or-no-collider proof,MANIFEST_GEN_family_coral_branching__bouquet,No visual proof; no manifest; primitive silhouette unknown,GeneratedAssetProof
GEN_family_coral_branching__fan,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__fan.prefab,P1 shallow coral fan silhouette,flat/final/render/gameplay/compact/high proof,MANIFEST_GEN_family_coral_branching__fan,No visual proof; fan can become flat card failure,GeneratedAssetProof
GEN_family_coral_branching__thicket,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__thicket.prefab,P1 shallow thicket density carrier,route composition and overdraw/LOD proof,MANIFEST_GEN_family_coral_branching__thicket,No visual proof; dense field compact overdraw risk,GeneratedAssetProof
GEN_family_coral_brittle__candelabra,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__candelabra.prefab,P1 brittle coral landmark micro-silhouette,wire/flat/final/gameplay proof,MANIFEST_GEN_family_coral_brittle__candelabra,Thin branches may collapse or alias at LOD,GeneratedAssetProof
GEN_family_coral_brittle__cathedral,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__cathedral.prefab,P1 brittle coral hero cluster,route composition plus LOD proof,MANIFEST_GEN_family_coral_brittle__cathedral,No visual proof; hero name raises quality bar,GeneratedAssetProof
GEN_family_coral_brittle__fan,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__fan.prefab,P1 shallow fan coral,flat/final/compact proof,MANIFEST_GEN_family_coral_brittle__fan,Flat card and alpha failure risk,GeneratedAssetProof
GEN_family_coral_brittle__thicket,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_brittle/GEN_family_coral_brittle__thicket.prefab,P1 brittle thicket field,route composition plus compact density proof,MANIFEST_GEN_family_coral_brittle__thicket,Dense branch field could fail readability/perf,GeneratedAssetProof
GEN_family_coral_low__bed,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_low/GEN_family_coral_low__bed.prefab,P1 seabed coral carrier,flat/final/gameplay distance proof,MANIFEST_GEN_family_coral_low__bed,Can read as low detail ground noise without proof,GeneratedAssetProof
GEN_family_coral_low__mound,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_low/GEN_family_coral_low__mound.prefab,P1 shallow mound silhouette,flat/final/render proof,MANIFEST_GEN_family_coral_low__mound,Can read as blob; no manifest/proof,GeneratedAssetProof
GEN_family_coral_low__plate,baked_flora_prefabs,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_low/GEN_family_coral_low__plate.prefab,P1 plate coral route dressing,flat/final/LOD proof,MANIFEST_GEN_family_coral_low__plate,Plate can be primitive disk without rim proof,GeneratedAssetProof
