recipe_id,recipe_hash32,result_item_id,result_item_hash32,display_name,category_id,progression_tier,input_mass_kg,output_mass_kg,baseline_cost_units,PowerCost_kWh,FabricationTimeSeconds,required_tools,ingredient_summary
Recipe_CopperWire,1259281760,Comp_CopperWire,3187749649,Copper Wire,recipe.category.component,1,0.900,0.900,2.000,0.150,17.5,,Data_Copperx2
Recipe_GlassPanel,3861079582,Comp_GlassPanel,1708824863,Glass Panel,recipe.category.component,1,1.050,1.050,3.000,0.633,18.2,,Data_SilicaShardsx3
Recipe_FiberMesh,1651013131,Comp_FiberMesh,1095668018,Fiber Mesh,recipe.category.component,1,0.850,0.850,4.500,0.184,18.6,,Data_FiberKelpx3|Data_HydrocarbonResinx1
Recipe_SealantPack,3788947323,Comp_SealantPack,3268286546,Sealant Pack,recipe.category.component,1,0.850,0.850,3.900,0.133,18.3,,Data_SulfurClumpsx2|Data_HydrocarbonResinx1
Recipe_LubricantResin,3795135593,Comp_LubricantResin,2880126392,Lubricant Resin,recipe.category.component,1,0.800,0.800,4.200,0.177,18.3,,Data_HydrocarbonResinx2|Data_SulfurClumpsx1
Recipe_StructuralBracket,2660799583,Comp_StructuralBracket,2908503494,Structural Bracket,recipe.category.component,1,2.000,2.000,4.000,0.527,20.4,,Data_TitaniumScrapx4
Recipe_BatteryCell,458473593,Comp_BatteryCell,1562252576,Battery Cell,recipe.category.component,1,1.100,1.100,5.200,0.366,19.3,,Data_Copperx1|Data_LithiumCrystalx1|Data_SulfurClumpsx1
Recipe_PrecisionLens,3000041024,Comp_PrecisionLens,3399578969,Precision Lens,recipe.category.component,1,1.100,1.100,4.000,0.464,18.8,,Data_SilicaShardsx2|Data_SilverOrex1
Recipe_CircuitBoard,458861155,Comp_CircuitBoard,71708594,Circuit Board,recipe.category.component,1,1.600,1.600,6.000,0.384,20.6,,Data_Copperx2|Data_GoldOrex1|Data_SilicaShardsx1
Recipe_PowerCoupler,3616742455,Comp_PowerCoupler,4027154086,Power Coupler,recipe.category.component,1,2.400,2.400,9.200,0.435,23.5,,Comp_CopperWirex1|Comp_BatteryCellx1|Data_SilverOrex1
Recipe_PumpRotor,3001905566,Comp_PumpRotor,2033101255,Pump Rotor,recipe.category.component,1,2.400,2.400,10.200,0.477,23.9,,Data_TitaniumScrapx2|Data_NickelOrex1|Comp_LubricantResinx1
Recipe_ReinforcedPlate,2840072671,Comp_ReinforcedPlate,3550014518,Reinforced Plate,recipe.category.component,1,4.600,4.600,12.000,0.788,28.7,,Comp_StructuralBracketx2|Data_NickelOrex1
Recipe_Tool_FabricatorCradle,2213043677,Item_Tool_FabricatorCradle,3533215008,Fabricator Cradle,recipe.category.tool,1,3.950,3.950,9.000,0.862,26.2,,Comp_StructuralBracketx1|Comp_CopperWirex1|Comp_GlassPanelx1
Recipe_Tool_SalvageKnife,187839297,Item_Tool_SalvageKnife,2038053628,Salvage Knife,recipe.category.tool,1,3.950,3.950,9.000,0.862,26.2,,Comp_StructuralBracketx1|Comp_CopperWirex1|Comp_GlassPanelx1
Recipe_Tool_Flashlight,688964355,Item_Tool_Flashlight,2093163854,Dive Flashlight,recipe.category.tool,1,2.600,2.600,9.200,0.785,23.8,,Comp_BatteryCellx1|Comp_GlassPanelx1|Data_Copperx1
Recipe_Tool_Scanner,560570019,Item_Tool_Scanner,2534372966,Survey Scanner,recipe.category.tool,1,3.800,3.800,15.200,0.812,28.7,,Comp_CircuitBoardx1|Comp_PrecisionLensx1|Comp_BatteryCellx1
Recipe_Tool_Repair,1961165760,Item_Tool_Repair,3021274157,Repair Tool,recipe.category.tool,1,4.450,4.450,17.100,0.712,30.7,,Comp_CircuitBoardx1|Comp_SealantPackx1|Comp_BatteryCellx1|Comp_CopperWirex1
Recipe_Tool_LaserCutter,2645194317,Item_Tool_LaserCutter,403113992,Laser Cutter,recipe.category.tool,1,4.450,4.450,18.700,0.928,31.4,,Comp_BatteryCellx1|Comp_PrecisionLensx1|Comp_CircuitBoardx1|Data_SilverOrex1|Data_HydrocarbonResinx1
Recipe_StandardO2Tank,117651716,Item_StandardO2Tank,1777693249,Standard O2 Tank,recipe.category.survival,1,2.700,2.700,10.400,0.469,24.5,,Data_TitaniumScrapx2|Comp_FiberMeshx1|Comp_SealantPackx1
Recipe_FirstAidPatch,1475746666,Item_FirstAidPatch,370123991,Pressure Patch Medkit,recipe.category.survival,1,1.700,1.700,8.400,0.203,21.8,,Comp_FiberMeshx1|Comp_SealantPackx1
Recipe_FoundationKit,3116843935,Module_FoundationKit,972870237,Foundation Kit,recipe.category.base_module,2,11.450,11.450,27.900,1.869,55.2,Item_Tool_FabricatorCradle,Comp_StructuralBracketx3|Comp_ReinforcedPlatex1|Comp_SealantPackx1
Recipe_FabricatorBench,2121507461,Module_FabricatorBench,1194003719,Fabricator Bench,recipe.category.base_module,2,8.000,8.000,23.200,1.402,46.8,Item_Tool_FabricatorCradle,Comp_PowerCouplerx1|Comp_CircuitBoardx1|Comp_StructuralBracketx2
Recipe_StorageLocker,2191595807,Module_StorageLocker,4001448765,Storage Locker Module,recipe.category.base_module,2,11.650,11.650,27.000,2.201,55.1,Item_Tool_FabricatorCradle,Comp_StructuralBracketx3|Comp_GlassPanelx1|Comp_ReinforcedPlatex1
Recipe_PowerRelay,3852876014,Module_PowerRelay,2185499708,Power Relay Module,recipe.category.base_module,2,6.800,6.800,25.600,1.336,45.8,Item_Tool_FabricatorCradle,Comp_PowerCouplerx2|Comp_CopperWirex1|Comp_BatteryCellx1
