"Kind","Source","Destination","FileCount","Bytes"
"Directory","Docs\2026-04-30_Codex_Full_Project_Forensic_Audit","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\2026-04-30_Codex_Full_Project_Forensic_Audit","34","823480"
"Directory","Docs\ARCHIVARIUS REPORTS","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\ARCHIVARIUS REPORTS","155","4001736"
"Directory","Docs\SPACE_ENGINE_RESEARCH","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH","208","16875277"
"Directory","Docs\Legacy_World_Reference","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\Legacy_World_Reference","3","27336"
"Directory","Docs\Legacy_Backlog","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\Legacy_Backlog","5","368603"
"Directory","Docs\Reports\2026-05-15_COMPUTE_AUDIT","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\2026-05-15_COMPUTE_AUDIT","21","126495"
"Directory","Docs\Reports\2026-05-16_COMPUTE_AUDIT","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\2026-05-16_COMPUTE_AUDIT","26","1264822"
"Directory","Docs\Reports\DEPRECATED","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\DEPRECATED","5","26649"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_ACTUALITY_SUBNAUTICA_RESEARCHER.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_ACTUALITY_SUBNAUTICA_RESEARCHER.md","1","7600"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_ATLAS_AND_COUNTERS_R8_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_ATLAS_AND_COUNTERS_R8_LOCAL.md","1","7380"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_CONCURRENT_DELTA_LEDGER.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_CONCURRENT_DELTA_LEDGER.md","1","8389"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_DEPENDENCY_ATLAS_R7_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_DEPENDENCY_ATLAS_R7_LOCAL.md","1","4044"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_GLOBAL_REFRESH.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_GLOBAL_REFRESH.md","1","8610"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_INTEGRATION_R3.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_INTEGRATION_R3.md","1","3325"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_INTERIOR_CLAIM_R5_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_INTERIOR_CLAIM_R5_LOCAL.md","1","4309"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_INTERIOR_R4_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_INTERIOR_R4_LOCAL.md","1","3452"
"ReportFile","Docs\Reports\2026-05-17_DOCUMENTATION_MODDING_SCHEMA_R6_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-17_DOCUMENTATION_MODDING_SCHEMA_R6_LOCAL.md","1","5490"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_ACTIVE_ENTRYPOINT_NAVIGATION_R15_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_ACTIVE_ENTRYPOINT_NAVIGATION_R15_LOCAL.md","1","4708"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_ACTIVE_REMAINDER_R11_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_ACTIVE_REMAINDER_R11_LOCAL.md","1","7252"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_ARCHIVARIUS_DESIGN_PROOF_RESIDUE_R20_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_ARCHIVARIUS_DESIGN_PROOF_RESIDUE_R20_LOCAL.md","1","6756"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_BATCH008_BINARY_HYGIENE_R14_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_BATCH008_BINARY_HYGIENE_R14_LOCAL.md","1","4886"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_EVIDENCE_LANGUAGE_AND_COUNTERS_R9_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_EVIDENCE_LANGUAGE_AND_COUNTERS_R9_LOCAL.md","1","7323"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_GENERIC_REPORT_BOUNDARIES_R13_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_GENERIC_REPORT_BOUNDARIES_R13_LOCAL.md","1","5501"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_LONGTAIL_INTERIOR_R10_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_LONGTAIL_INTERIOR_R10_LOCAL.md","1","6288"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_MARKETING_EVENTBUS_COUNTERS_R19_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_MARKETING_EVENTBUS_COUNTERS_R19_LOCAL.md","1","7775"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_REPORT_VAULT_AND_NAVIGATION_R17_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_REPORT_VAULT_AND_NAVIGATION_R17_LOCAL.md","1","4714"
"ReportFile","Docs\Reports\2026-05-18_DOCUMENTATION_RESIDUE_SCAN_R12_LOCAL.md","Docs\DEPRECATED\Reports_2026-05-21_SANITIZED\2026-05-18_DOCUMENTATION_RESIDUE_SCAN_R12_LOCAL.md","1","4964"
"File","Docs\PROJECT_STATE_STATIC_XRAY.md","Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\PROJECT_STATE_STATIC_XRAY.md","1","126340"
