packet_id,path,title,source_units,evidence_route,locale_status,related_packet
P151_BLACK_KEEL_CONTRACT_APPROACH,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,Black Keel Claim Acceptance,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.black_keel_contract_approach | poi.black_keel_contract_console;poi.claim_acceptance_stamp;poi.pre_drop_lien_screen,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,first_hour.black_keel_contract_approach
P152_DROP_CAPSULE_DAMAGE_SEQUENCE,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,Drop Capsule Damage Sequence,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.drop_capsule_damage_sequence | poi.drop_capsule_damage_panel;poi.warped_crush_frame;poi.torn_flotation_ring,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,first_hour.drop_capsule_damage_sequence
P153_SHALLOW_ANNEX_P63_PUMP_ROOM,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,Shallow Annex P-63 Pump Room,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.shallow_annex_p63_pump_room | poi.shallow_annex_p63_pump;poi.manual_bilge_kit;poi.first_safe_pressure_door,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,first_hour.shallow_annex_p63_pump_room
P154_FIRST_SANITIZED_ACCIDENT_PACKET,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,First Sanitized Accident Packet,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.first_sanitized_accident_packet | poi.sanitized_accident_packet;poi.deep_reach_status_notice;poi.redacted_worker_count,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,first_hour.first_sanitized_accident_packet
P155_FIRST_ATLAS_REPAIR_TRACE,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,First Atlas Repair Trace,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.first_atlas_repair_trace | poi.life_sealed_machine_joint;poi.sensor_tagged_fauna;poi.atlas_repair_filament,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,first_hour.first_atlas_repair_trace
P246_BLACK_KEEL_APPROACH_AUDIO_PACKET,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,Black Keel Approach Packet,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.black_keel_approach_audio_packet | poi.black_keel_approach_log;poi.tender_audio_buffer;poi.claim_approach_plate,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.black_keel_approach_audio_packet
P247_DROP_CAPSULE_DIAGNOSTIC_READOUT,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,Drop Capsule Diagnostic Readout,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.drop_capsule_diagnostic_readout | poi.capsule_diagnostic_screen;poi.flooded_ascent_bus;poi.guidance_fault_strip,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.drop_capsule_diagnostic_readout
P248_P63_PUMP_ROOM_FIRST_REPAIR_TASK,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,P-63 Pump Room First Repair Task,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p63_pump_room_first_repair_task | poi.p63_manual_pump;poi.cold_sealant_patch;poi.low_power_cutter_contact,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p63_pump_room_first_repair_task
P249_SANITIZED_ACCIDENT_PACKET_BODY,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,Sanitized Accident Packet Body,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.sanitized_accident_packet_body | poi.deep_reach_accident_packet;poi.public_report_cache;poi.room_contradiction_marker,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.sanitized_accident_packet_body
P250_FIRST_ATLAS_REPAIR_TRACE_SCENE,Docs\Lore\AppliedContent\packets\RS050_FIRST_HOUR_MICRO_SCRIPT_SURFACES.packets.json,First Atlas Repair Trace,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.first_atlas_repair_trace_scene | poi.repaired_human_object;poi.biofilm_seal_trace;poi.atlas_helpful_wrongness,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.first_atlas_repair_trace_scene
P286_CAPSULE_BLACKBOX_AUDIO_01,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,Capsule Blackbox Audio 01,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p286_capsule_blackbox_audio_01 | poi.capsule_blackbox_audio;poi.flooded_avionics_bus;poi.recovery_ring_shear,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p286_capsule_blackbox_audio_01
P287_P63_PUMP_ROOM_WORK_ORDER,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,P-63 Pump Room Work Order,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p287_p63_pump_room_work_order | poi.p63_work_order_card;poi.manual_pump_handle;poi.sealant_patch_bin,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p287_p63_pump_room_work_order
P288_WORKER_LOCKER_NAMEPLATE_SAMPLE,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,Worker Locker Nameplate Sample,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p288_worker_locker_nameplate_sample | poi.worker_locker_nameplate;poi.route_permission_tag;poi.tool_wear_sticker,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p288_worker_locker_nameplate_sample
P289_MARAUDER_CORRECTION_NOTE_SAMPLE,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,Marauder Correction Note Sample,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p289_marauder_correction_note_sample | poi.marauder_correction_note;poi.bad_claim_margin;poi.red_pen_pressure_map,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p289_marauder_correction_note_sample
P290_QUARANTINE_RELAY_FRAGMENT,Docs\Lore\AppliedContent\packets\RS058_IN_GAME_ARTIFACT_AUDIO_SURFACES.packets.json,Quarantine Relay Fragment,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.p290_quarantine_relay_fragment | poi.quarantine_relay_fragment;poi.stale_air_counter;poi.reentry_hold_tag,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.p290_quarantine_relay_fragment
P356_PRESSURE_BUNK_SHIFT_ROUTINE,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,Pressure Bunk Shift Routine,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.pressure_bunk_shift_routine | poi.shift_bunk_slate;poi.pump_tone_schedule;poi.tool_custody_tag,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.pressure_bunk_shift_routine
P357_CANTEEN_WATER_LEDGER,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,Canteen Water Ledger,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.canteen_water_ledger | poi.canteen_water_ledger;poi.meal_token_board;poi.pump_room_correction_note,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.canteen_water_ledger
P358_TOOL_CERTIFICATION_RITUALS,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,Tool Certification Board,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.tool_certification_rituals | poi.tool_cert_board;poi.sealant_cartridge_stamp;poi.pressure_glove_signature,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.tool_certification_rituals
P359_WORKER_COMMUNITY_NO_FAMILY_HOOK_RULE,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,Worker Community Notice,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.worker_community_no_family_hook_rule | poi.story_boundary_card;poi.former_deep_reach_record;poi.marauder_professional_note,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.worker_community_no_family_hook_rule
P360_LAST_NORMAL_DAY_EVIDENCE_SET,Docs\Lore\AppliedContent\packets\RS072_COLONY_DAILY_LIFE_EVIDENCE_ATLAS.packets.json,Last Normal Day Evidence Set,title;scanner;field_note;terminal;audio;in_game_wiki;external_site,unlock.last_normal_day_evidence_set | poi.last_normal_day_set;poi.unsigned_correction_note;poi.unclaimed_locker_plate,en_US=source_authority; all non-English=draft_machine_or_llm_pending_native_pass,applied_lore.last_normal_day_evidence_set
