fact_id,owner_doc_or_packet,evidence_path,first_allowed_surface,spoiler_level,unlock_gate,contradiction_state
FACT_HECTON8_CRASH_SHELF_PRIMARY,Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json,Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_shelter,confirmed
FACT_BLACK_KEEL_CONTACT_PRIMARY,Docs/Lore/AppliedContent/packets/P002_BLACK_KEEL_CONTACT.json,Docs/Lore/AppliedContent/packets/P002_BLACK_KEEL_CONTACT.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.black_keel_handshake,confirmed
FACT_PLAYER_BARNARD_MARK_PRIMARY,Docs/Lore/AppliedContent/packets/P003_BARNARD_MARK.json,Docs/Lore/AppliedContent/packets/P003_BARNARD_MARK.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_barnard_mark,confirmed
FACT_RESOURCE_BLUE_DEBT_PRIMARY,Docs/Lore/AppliedContent/packets/P004_BLUE_DEBT.json,Docs/Lore/AppliedContent/packets/P004_BLUE_DEBT.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_blue_debt_sample,confirmed
FACT_ATLAS_REPAIR_SCAR_PRIMARY,Docs/Lore/AppliedContent/packets/P005_REPAIR_SCAR.json,Docs/Lore/AppliedContent/packets/P005_REPAIR_SCAR.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_atlas_category_error,confirmed
FACT_MARAUDER_DEAD_CLAIM_CACHE_PRIMARY,Docs/Lore/AppliedContent/packets/RS002_DEEPENING_DESCENT.packets.json,Docs/Lore/AppliedContent/packets/RS002_DEEPENING_DESCENT.packets.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_marauder_cache,confirmed
FACT_HECTON8_BRINE_STAIR_PRIMARY,Docs/Lore/AppliedContent/packets/P007_BRINE_STAIR.json,Docs/Lore/AppliedContent/packets/P007_BRINE_STAIR.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_brine_layer_route,confirmed
FACT_COLONY_EVACUATION_HOLD_PRIMARY,Docs/Lore/AppliedContent/packets/P008_EVACUATION_HOLD.json,Docs/Lore/AppliedContent/packets/P008_EVACUATION_HOLD.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_evacuation_hold_record,confirmed
FACT_ATLAS_BOTTOM_FACTORY_PRIMARY,Docs/Lore/AppliedContent/packets/P009_BOTTOM_FACTORY.json,Docs/Lore/AppliedContent/packets/P009_BOTTOM_FACTORY.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_bottom_factory_contact,confirmed
FACT_ENDING_PAYLOAD_WINDOW_PRIMARY,Docs/Lore/AppliedContent/packets/P010_PAYLOAD_WINDOW.json,Docs/Lore/AppliedContent/packets/P010_PAYLOAD_WINDOW.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_payload_window,confirmed
FACT_HUMAN_DOMAIN_MARKS_2190_PRIMARY,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,Docs/Lore/AppliedContent/packets/RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,external_site,UNSPECIFIED_SOURCE_GAP,unlock.first_multi_domain_mark,confirmed
