pipeline_component,current_behavior,product_face_risk,required_guard,future_write_scope,forbidden_behavior,verification_required,status
"AITextureControlMapConstants","Defines generic AI texturing folders, reports, profile CSV, prefab binding CSV, and black-box dump path.","Generic paths can become product-face authority by accident.","Add ProductFace-specific manifest/report/material/texture paths; keep Shinobu269 generic folders diagnostic.","New ProductFace constants or new ProductFace validator files only.","Using Assets/_Project/Data/AITexturing/ai_texture_prefab_bindings.csv as ProductFace relink authority.","Static source review plus Unity editor dry-run before implementation.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureImportPostprocessor.OnPreprocessTexture","Applies import policy to managed AI textures under Assets/_Project/Textures/AI_Texturing.","ProductFace textures placed there inherit generic AI route and filename-token semantics.","ProductFace import folder must be separate and manifest-gated before importer policy applies.","Future ProductFace AssetPostprocessor or guarded branch only.","Broad import processing outside declared ProductFace folder and manifest rows.","Unity import log plus import setting report.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureImportPolicy.ClassifyMapKind","Classifies _arm, _mask, _packed as Arm; normals/albedo/control maps from filename tokens.","MRAO, ARM, ORM, and PackedV1 can be confused by filenames.","Use filename classification only as hint; manifest packed_layout is authority.","Validator can read AITextureImportPolicy but must enforce ProductFace manifest layout.","Treating _packed or _mask as universal MRAO/ARM truth.","Static validator test with MRAO and ARM sample rows.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureImportPolicy.Apply","Sets albedo sRGB, normal TextureImporterType.NormalMap, non-readable textures, mipmaps, Standalone BC5/BC7, Android ASTC_6x6.","Good base, but ProductFace categories need explicit max size and platform consequences.","Require manifest max_size and GlobalQualityWeight lane note; reject sRGB/mask/normal mismatches.","ProductFace import policy and report outputs.","Runtime Texture2D creation/compression or readable imported world textures.","Unity import settings report for albedo normal and packed maps.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureIngestionWatcher.CopyIntoProjectIfReady","Copies inbox PNG files into generic imported texture folder with overwrite enabled and imports them.","Filename collision can replace ProductFace evidence silently.","ProductFace inbox must reject duplicate product_face_id and content hash collisions unless explicit revision row exists.","New ProductFace inbox copier or collision guard.","Overwriting imported ProductFace texture by matching filename alone.","Static duplicate-file test plus Unity import dry-run.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureMaterialBinder.BindTexture","Creates or loads MAT_assetKey_UberNoir material and assigns imported texture maps.","ProductFace materials may be forced into UberNoir even when tool, visor, glass, bio, or PackedV1 shader contracts differ.","Manifest must declare shader_path and allowed material family before material creation.","ProductFace material binder may create materials only under Assets/_Project/Materials/ProductFace.","Generic UberNoir material creation as proof for all ProductFace categories.","Material validation report and shader property audit.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureMaterialBinder.AssignTexture","Binds albedo to _BaseMap/_MainTex, ARM to _ArmMap/_MaskMap/_MetallicGlossMap, normal to _BumpMap/_NormalMap and enables _NORMALMAP.","Binding multiple property aliases can mask wrong channel dialect.","Bind only properties declared by the manifest shader contract; reject ambiguous alias fan-out.","ProductFace binder with shader-specific property table.","Binding ARM texture into MRAO/PackedV1 shader slots without conversion proof.","Static shader property matrix plus Unity material inspector proof.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureMaterialBinder.AssignMaterialFromManifest","Reads generic prefab-binding CSV and matches assetKey to prefabPath, rendererPath, materialSlot.","Can broadly mutate product prefabs when a row matches.","Disable for ProductFace categories; require ProductFace relink owner and dry-run diff first.","Separate ProductFaceRelinkOwner implementation only.","ProductFace prefab mutation during import or generic AI material binding.","Dry-run prefab relink report before any SaveAsPrefabAsset call.","STATIC_SOURCE_RISK_IDENTIFIED"
"AITextureMaterialBinder.ApplyMaterialToPrefab","Loads prefab contents, replaces renderer.sharedMaterials[slot], and saves prefab asset.","Direct prefab write path is already functional and high blast-radius.","Validator must reject wildcard paths, empty rendererPath, out-of-range slot, missing owner, and non-RELINK_READY status.","Only relink owner after explicit implementation task.","Folder-wide binding, all-renderers binding, runtime material clones, direct source-prefab mutation from import phase.","Unity editor dry-run then controlled prefab save proof if later authorized.","STATIC_SOURCE_RISK_IDENTIFIED"
"Material_Setup_Scanner.RunScan","Scans material folders for missing _ArmMap and albedo sRGB false; writes setup and shared rendering reports.","Current scan is too generic for ProductFace channel contracts.","Add ProductFace scanner for albedo/normal/packed maps, shader layout, default material debt, and forbidden fallback slots.","New ProductFace scanner/report files.","Claiming material readiness from only missing ARM and albedo sRGB checks.","Static scan plus Unity material audit report.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITextureBakeBlackBox.Record/Dump","Keeps 300 AITextureBakeTelemetryEntry records and dumps Dump_SHINOBU_269.bin on critical bake paths.","ProductFace import/relink failures need their own forensic ownership and dump route.","Use distinct ProductFace black-box dump path and record manifest row id, stage, hash, warning flags.","New ProductFace telemetry ring or guarded extension.","Saying black-box exists for ProductFace without ProductFace stage/hash fields.","Dump artifact from forced validation failure when implementation exists.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
"AITexturePipelineReport.WriteIngestionReport","Writes generic AI texture ingestion report with asset path, map kind, max size, format hash, flags, compression, rollback fence, status.","Report does not prove ProductFace visual quality, channel correctness, or prefab safety.","ProductFace report must include manifest id, category, shader path, packed_layout, map roles, and prefab-write status DRY_RUN_ONLY.","New ProductFace reports under Docs/Reports/ProductFace.","Upgrading static report to runtime/editor/visual/profiler proof.","git diff check, Import-Csv row count, static term cross-check, later Unity report.","STATIC_SOURCE_PENDING_IMPLEMENTATION"
