ToolFamily,RepresentativePaths,Domain,ExecutionMode,CurrentUse,GateRequired,EvidenceClass,BlockingRisk,OwnerNextAction,RejectionRule,LowTierConsequence,MiddleTierConsequence,HighTierConsequence,UltraTierConsequence
texture_import_planning,"Tools/BatchImportTextures.py; Tools/TextureAuditAndBakeDirector_SHINOBU_361.py",texture_import,offline_static_or_meta_write,Generate dry-run texture import plans and bake queues,Owner approval before any .meta write,STATIC_SOURCE,Wrong import settings can break visual floor or Unity metas,Use after TEXTURE_IMPORT_ROLE_MATRIX_20260605.csv,Do not invent GUIDs or write metas without Unity-created metas,Preserve compressed mips and visual floor,Use role-correct import targets,Allow richer import targets only with proof,Extend hero residency only with proof
texture_source_qa,"Tools/GeminiTextureIntakeAudit.py; Tools/TextureSeamPeriodicRefiner.py; Tools/MaterialAudit.py",texture_source,offline_docs_source,Source QA seam refinement and material audit,No Unity gate if output stays under Docs,STATIC_SOURCE,Source-side polish can be mistaken for final import,Use on Docs/GeneratedAssets source packs,Do not call source QA final art,Reject muddy or repetitive source,Require clean PBR role,Use stronger source cleanup,Use hero-only overdetail after material proof
budget_static_audit,"Tools/MemoryBudgetCheck.py; Assets/_Project/Scripts/Editor/VRAMDictator.cs",memory_vram,offline_or_editor_static,Static texture mesh RT pressure scan,Process gate for editor tool only,STATIC_SOURCE,Static size can be mistaken for residency,Use to prioritize owner queues,Do not claim runtime VRAM from static scan,Protect compact VRAM ceiling,Track route pressure,Spend savings on visual detail,Extend residency after proof
atlas_icon_bake,"Tools/IconBaker.py; Assets/_Project/Editor/Bakers/TextureAtlasPacker.cs",ui_texture_atlas,offline_or_editor_mutating,Icon variants and atlas packing,Owner and import proof before HUD route,STATIC_SOURCE,Atlas output can hide poor binding/readability,Use for UI oxygen/source preparation,Do not call atlas proof HUD acceptance,Keep readable icon silhouettes,Bind to atlas with proof,Improve detail and mip resilience,Add richer UI detail without route change
procedural_texture_bake,"Assets/_Project/Editor/Bakers/ProceduralTextureBaker.cs; WreckageTextureBaker.cs; FaunaTextureBaker.cs; GeologicalStrataBaker1724.cs; CausticOpticsBaker1719.cs",texture_bake,unity_editor_mutating,Editor texture baking for material families,Unity idle plus scoped target owner,STATIC_SOURCE,Generated maps can contain fake PBR channels,Use only after material family target,Do not ship flat/synthetic/baked-light maps,Use shared compressed stacks,Require clean PBR stacks,Add richer normals/masks,Hero overdetail only after proof
sky_water_authoring,"Assets/_Project/Editor/HectonSkyAtlasGenerator.cs; Assets/_Project/Editor/ShorelineFoamGraftEditorTools.cs",sky_water,unity_editor_mutating,Sky atlas and shoreline foam layout/tuning,Unity idle plus material readback owner,STATIC_SOURCE,Crest wrapper/clone or weak sky contact art,Use for P0 foam and P1 Aegir/sky after readback,Do not clone or wrap Crest materials,Preserve bright surface readability,Prove clean contact masks,Enhance Aegir/cloud response,Layer atmospheric overdetail after proof
flora_texture_material,"WorldProceduralFloraTextureAuthoring.cs; WorldProceduralFloraMaterialAuthoring.cs",flora_material,unity_editor_mutating,Flora texture import fixes and material assignment,Unity idle plus flora owner,STATIC_SOURCE,Proxy material contamination may persist,Use for replacing/proving proxy flora route,Do not promote proxy materials,Preserve silhouettes and material identity,Use final non-proxy materials,Increase near-field detail,Extend density/LOD residency after proof
mesh_clean_save,"HectonMeshGenerator.cs; HectonMeshSaver.cs; HectonMeshCleaner.cs; HectonPhysicsSkinGenerator.cs",mesh_authoring,unity_editor_mutating,Mesh generation saving cleanup helper,Unity idle plus mesh owner,STATIC_SOURCE,Helper output may lack LOD/material/collider manifest,Use only as part of full asset package,Do not accept isolated mesh assets,Keep silhouette per triangle,Require LOD/material/collider,Improve bevel/detail,Hero mesh overdetail after proof
geology_final_authoring,"WorldProceduralGeologyFinalAuthoring.cs; WorldProceduralGeologyFinalValidator.cs; RockSculptorEngine1713.cs; AbyssalGeologyStudio1606.cs",geology_mesh,unity_editor_mutating,Geology finals and validators,Unity idle plus geology owner,STATIC_SOURCE,Noise rocks or primitive geology can reach route,Use for basalt/geology candidate replacement,Do not accept noise sphere or weak material,Preserve route landmarks,Validate material/LOD/collider,Add richer strata/wetness,Use hero geology detail with proof
flora_coral_mesh,"WorldProceduralCoralMeshBuilder.cs; WorldProceduralSeaweedMeshBuilder.cs; WorldProceduralFloraFinalVariantAuthoring.cs; WorldProceduralFloraFinalVariantValidator.cs",flora_mesh,unity_editor_mutating,Coral kelp flora mesh/final route,Unity idle plus flora/coral owner,STATIC_SOURCE,Generated organics can look procedural or flat,Use as replacement path for proxy pools,Do not promote primitive tubes/ribbons,Preserve organic silhouette,Validate LOD/material/sway masks,Increase near-field organic detail,Extend flora density after proof
prefab_assembly,"PrefabAssemblerEngine.cs; FloraPrefabFactory.cs; FaunaPrefabFactory.cs; EquipmentPrefabFactory.cs; WreckagePrefabFactory.cs; WorldProceduralFinalPrefabQualityGate.cs",prefab_assembly,unity_editor_mutating,Prefab assembly and quality gates,Unity idle plus prefab owner,STATIC_SOURCE,Raw YAML or primitive final prefabs,Use through Unity API only,Do not bypass quality gate or raw patch YAML,Require final prefab package,Require LOD/collider/material route,Use richer factory outputs,Add hero prefab detail after proof
audio_static_scan,"Tools/AudioClip_Reference_Scanner.py; Docs/Audio/audio_profile_usage_20260605.csv",audio_static,offline_static,Static audio route/direct-ref discovery,No Unity gate if read-only,STATIC_SOURCE,Direct refs can be mistaken for lifecycle proof,Use for direct-ref owner queues,Do not claim runtime mix/residency,Protect player-critical cues,Prove owner/release route,Expand cue variety after proof,Layer richer mix after proof
audio_waveform_voice,"Tools/BiolumWaveform.py; Tools/AudioSim.py; Tools/voice_baker.py",audio_voice,offline_bake,Waveform acoustic and voice bake lanes,Audio owner plus policy before bake outputs,STATIC_SOURCE,Static bake can bypass VO/mix/localization proof,Use only through audio owner,Do not treat placeholder VO as final,Prioritize warning/breath/UI clarity,Prove mix and subtitles,Add richer transitions/reverb,Use richer voice/mix only after proof
