path,extension,bytes,duration_sec,ledger_duration_sec,duration_delta_sec,codec,format_name,sample_rate_hz,channels,bit_rate_bps,ledger_class,ledger_load_type,ledger_compression,ledger_quality,ledger_owner,ledger_addressable_group,ledger_placeholder_flag,ledger_route_use,probe_status,ledger_status,policy_flags,evidence_boundary
Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3,mp3,2027520,63.336,63.336,0.000,mp3,mp3,48000,2,256097,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,first-exit/shallow pressure-bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 1 Loop.wav,wav,24576044,128.000,128.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,first-exit/shallow dense-bed candidate; requires ducking,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 1.wav,wav,26496044,138.000,138.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,CompressedInMemory,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 2 Loop.wav,wav,24576044,128.000,128.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 2.wav,wav,26112044,136.000,136.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 3 Loop.wav,wav,23040044,120.000,120.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,CompressedInMemory,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 3.wav,wav,24960044,130.000,130.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 4 Loop.wav,wav,23040044,120.000,120.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,CompressedInMemory,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 4.wav,wav,24768044,129.000,129.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,CompressedInMemory,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 5 Loop.wav,wav,23040044,120.000,120.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Atmos 5.wav,wav,24384044,127.000,127.000,0.000,pcm_s16le,wav,48000,2,1536002,ambient,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,world ambience or pressure bed candidate,OK,MATCHED_LEDGER,LONG_GT10S|ABOVE_44K_MUSIC_AMBIENT,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3,mp3,288461,7.212,7.212,0.000,mp3,mp3,44100,2,320000,player_loop,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,false,player breath loop candidate; not generic SFX,OK,MATCHED_LEDGER,MULTICHANNEL_SHORT_OR_PLAYER,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Breathing/breathing rhytmic 8s - 3 breath in and 3 out.wav,wav,787334,8.925,8.925,0.000,pcm_s16le,wav,44100,1,705698,player_loop,CompressedInMemory,Vorbis,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,player breath loop candidate; not generic SFX,OK,MATCHED_LEDGER,NONE,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav,wav,15876044,60.000,60.000,0.000,pcm_s24le,wav,44100,2,2116805,player_loop,Streaming,Vorbis,0.45,PENDING_OWNER,PENDING_ADDRESSABLES,true,player suit loop candidate; not generic SFX,OK,MATCHED_LEDGER,LONG_GT10S|MULTICHANNEL_SHORT_OR_PLAYER,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg,ogg,8482,0.375,0.375,0.000,vorbis,ogg,44100,1,181031,sfx,DecompressOnLoad,ADPCM,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg,ogg,8708,0.375,0.375,0.000,vorbis,ogg,44100,1,185843,sfx,DecompressOnLoad,ADPCM,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg,ogg,8763,0.375,0.375,0.000,vorbis,ogg,44100,1,187017,sfx,DecompressOnLoad,ADPCM,0.7,PENDING_OWNER,PENDING_ADDRESSABLES,false,short SFX candidate,OK,MATCHED_LEDGER,ABOVE_22K_SFX_UI,SOURCE_FILE_ONLY_NOT_IMPORT_OR_RUNTIME_PROOF
