"path","preview_png","peak_dbfs","rms_dbfs","preview_samples"
"Assets/_Project/Audio/Underwater Ambient.wav","Docs\AssetAudit\AudioVisual\Underwater_Ambient_waveform.png","-3.37","-21.85","960000"
"Assets/_Project/Audio/Atmos 1 Loop.wav","Docs\AssetAudit\AudioVisual\Atmos_1_Loop_waveform.png","-4.04","-17.88","960000"
"Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","Docs\AssetAudit\AudioVisual\spaceship_sounds_ambient_waveform.png","-15.5","-26.47","506504"
"Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav","Docs\AssetAudit\AudioVisual\inside_suit_sounds_too_loud_waveform.png","-6.23","-21.12","480000"
"Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3","Docs\AssetAudit\AudioVisual\breathing_breath_in_and_out_1_waveform.png","-0.16","-14.03","57679"
"Assets/_Project/Audio/Movement/swimming -onwater.wav","Docs\AssetAudit\AudioVisual\swimming_onwater_waveform.png","-15.48","-36.44","99670"
"Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","Docs\AssetAudit\AudioVisual\shelf_1_Abandoned_Depths_waveform.png","-3.34","-11.05","960000"
"Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","Docs\AssetAudit\AudioVisual\abyss_3_Deep_Trench_Drone_waveform.png","-0.51","-16.33","960000"
"Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","Docs\AssetAudit\AudioVisual\stinger_dangerous_1_Iron_Teeth_waveform.png","-1.82","-14.48","240784"
"Assets/_Project/Audio/UI/click sound.wav","Docs\AssetAudit\AudioVisual\click_sound_waveform.png","-15.02","-38.58","1376"
"Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav","Docs\AssetAudit\AudioVisual\VOStub_Chen_Log01_EN_waveform.png","-38.76","-63.21","10728"
