stem,stem_class,batch18_evidence,source_state,atlas_group,required_manifest,required_source_ledger,required_atlas_preview,required_material_channel_qa,required_lod_proxy_note,required_flat_preview,required_final_unity_screenshot,required_compact_screenshot,required_high_ultra_screenshot,required_profiler_capture,static_lane_result,unity_owner_status,rejection_gates,black_box_note
coral_branching,CORAL,"Task high-priority stem; Batch18 coral carrier",SOURCE_REQUIRED,coral_hard_calcified_surfaces,MANIFEST_coral_branching.md,SOURCE_LEDGER_coral_branching.md,coral_branching__atlas_preview__static.png,PROOF_coral_branching_material_channels.md,PROOF_coral_branching_lod_proxy_note.md,coral_branching__flat_clay__editor.png,coral_branching__final_material__normal.png,coral_branching__final_material__compact.png,coral_branching__final_material__high_ultra.png,PROFILER_coral_branching_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"primitive tubes; no knuckles; no pore/ridge source; alpha-blend field; random neon; static proof upgraded to visual proof","Future runtime owner only if a critical runtime flora system is created"
coral_brittle,CORAL,"Task high-priority stem; Batch18 coral carrier",SOURCE_REQUIRED,coral_hard_calcified_surfaces,MANIFEST_coral_brittle.md,SOURCE_LEDGER_coral_brittle.md,coral_brittle__atlas_preview__static.png,PROOF_coral_brittle_material_channels.md,PROOF_coral_brittle_lod_proxy_note.md,coral_brittle__flat_clay__editor.png,coral_brittle__final_material__normal.png,coral_brittle__final_material__compact.png,coral_brittle__final_material__high_ultra.png,PROFILER_coral_brittle_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"primitive sticks; z-fighting branch intersections; no lattice source; alpha-blend field; no compact readability","Future runtime owner only if a critical runtime flora system is created"
coral_low,CORAL,"Task high-priority stem; Batch18 coral carrier",SOURCE_REQUIRED,coral_soft_porous_surfaces,MANIFEST_coral_low.md,SOURCE_LEDGER_coral_low.md,coral_low__atlas_preview__static.png,PROOF_coral_low_material_channels.md,PROOF_coral_low_lod_proxy_note.md,coral_low__flat_clay__editor.png,coral_low__final_material__normal.png,coral_low__final_material__compact.png,coral_low__final_material__high_ultra.png,PROFILER_coral_low_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat mound; no porous cap; muddy albedo; no cavity AO; no shallow color read","Future runtime owner only if a critical runtime flora system is created"
coral_massive,CORAL,"Task high-priority stem; Batch18 coral carrier",SOURCE_REQUIRED,coral_soft_porous_surfaces,MANIFEST_coral_massive.md,SOURCE_LEDGER_coral_massive.md,coral_massive__atlas_preview__static.png,PROOF_coral_massive_material_channels.md,PROOF_coral_massive_lod_proxy_note.md,coral_massive__flat_clay__editor.png,coral_massive__final_material__normal.png,coral_massive__final_material__compact.png,coral_massive__final_material__high_ultra.png,PROFILER_coral_massive_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"sphere/blob read; no pitting; no wet calcified roughness; texture hiding primitive silhouette","Future runtime owner only if a critical runtime flora system is created"
coral_plate,CORAL,"Task high-priority stem; Batch18 coral carrier",SOURCE_REQUIRED,coral_hard_calcified_surfaces,MANIFEST_coral_plate.md,SOURCE_LEDGER_coral_plate.md,coral_plate__atlas_preview__static.png,PROOF_coral_plate_material_channels.md,PROOF_coral_plate_lod_proxy_note.md,coral_plate__flat_clay__editor.png,coral_plate__final_material__normal.png,coral_plate__final_material__compact.png,coral_plate__final_material__high_ultra.png,PROFILER_coral_plate_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat plates with no thick rim; no underside AO; no layered ridges; no chips","Future runtime owner only if a critical runtime flora system is created"
kelp_canopy,KELP,"Task high-priority stem; Batch18 kelp carrier",SOURCE_REQUIRED,kelp_blade_fiber_surfaces,MANIFEST_kelp_canopy.md,SOURCE_LEDGER_kelp_canopy.md,kelp_canopy__atlas_preview__static.png,PROOF_kelp_canopy_material_channels.md,PROOF_kelp_canopy_lod_proxy_note.md,kelp_canopy__flat_clay__editor.png,kelp_canopy__final_material__normal.png,kelp_canopy__final_material__compact.png,kelp_canopy__final_material__high_ultra.png,PROFILER_kelp_canopy_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat alpha curtains; no holdfast; no veins; dense alpha blend; root sway equals tip sway","Future runtime owner only if a critical runtime flora system is created"
kelp_patch,KELP,"Task high-priority alias; Batch18 uses kelp_patch_dense",PENDING SOURCE,kelp_blade_fiber_surfaces,MANIFEST_kelp_patch.md,SOURCE_LEDGER_kelp_patch.md,kelp_patch__atlas_preview__static.png,PROOF_kelp_patch_material_channels.md,PROOF_kelp_patch_lod_proxy_note.md,kelp_patch__flat_clay__editor.png,kelp_patch__final_material__normal.png,kelp_patch__final_material__compact.png,kelp_patch__final_material__high_ultra.png,PROFILER_kelp_patch_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"alias confusion; flat ribbons; no holdfast; no current logic; alpha-blend density dependence","Future runtime owner only if a critical runtime flora system is created"
kelp_patch_dense,KELP,"Batch18 kelp carrier and first-priority proof set",SOURCE_REQUIRED,kelp_blade_fiber_surfaces,MANIFEST_kelp_patch_dense.md,SOURCE_LEDGER_kelp_patch_dense.md,kelp_patch_dense__atlas_preview__static.png,PROOF_kelp_patch_dense_material_channels.md,PROOF_kelp_patch_dense_lod_proxy_note.md,kelp_patch_dense__flat_clay__editor.png,kelp_patch_dense__final_material__normal.png,kelp_patch_dense__final_material__compact.png,kelp_patch_dense__final_material__high_ultra.png,PROFILER_kelp_patch_dense_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"dense alpha blend; random scatter; no root pads; no blade fiber read; compact mud","Future runtime owner only if a critical runtime flora system is created"
kelp_tall,KELP,"Task high-priority stem; Batch18 kelp carrier",SOURCE_REQUIRED,kelp_blade_fiber_surfaces,MANIFEST_kelp_tall.md,SOURCE_LEDGER_kelp_tall.md,kelp_tall__atlas_preview__static.png,PROOF_kelp_tall_material_channels.md,PROOF_kelp_tall_lod_proxy_note.md,kelp_tall__flat_clay__editor.png,kelp_tall__final_material__normal.png,kelp_tall__final_material__compact.png,kelp_tall__final_material__high_ultra.png,PROFILER_kelp_tall_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"loose vertical ribbon; no stipe taper; no holdfast; no readable current direction; alpha blend","Future runtime owner only if a critical runtime flora system is created"
CaveEntrance_00,GEOLOGY_SUPPORT,"Task high-priority stem; Batch18 geology route anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_CaveEntrance_00.md,SOURCE_LEDGER_CaveEntrance_00.md,CaveEntrance_00__atlas_preview__static.png,PROOF_CaveEntrance_00_material_channels.md,PROOF_CaveEntrance_00_lod_proxy_note.md,CaveEntrance_00__flat_clay__editor.png,CaveEntrance_00__final_material__normal.png,CaveEntrance_00__final_material__compact.png,CaveEntrance_00__final_material__high_ultra.png,PROFILER_CaveEntrance_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"smooth cave blob; no strata/fracture; no wetness/mineral logic; collider proof missing","Future runtime owner only if a critical runtime geology/terrain system is created"
LandmarkSpire_00,GEOLOGY_SUPPORT,"Task high-priority stem; Batch18 geology route anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_LandmarkSpire_00.md,SOURCE_LEDGER_LandmarkSpire_00.md,LandmarkSpire_00__atlas_preview__static.png,PROOF_LandmarkSpire_00_material_channels.md,PROOF_LandmarkSpire_00_lod_proxy_note.md,LandmarkSpire_00__flat_clay__editor.png,LandmarkSpire_00__final_material__normal.png,LandmarkSpire_00__final_material__compact.png,LandmarkSpire_00__final_material__high_ultra.png,PROFILER_LandmarkSpire_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"generic spike; no geological process; no route landmark read; no compact capture","Future runtime owner only if a critical runtime geology/terrain system is created"
RockArch_00,GEOLOGY_SUPPORT,"Task high-priority stem; Batch18 geology route anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_RockArch_00.md,SOURCE_LEDGER_RockArch_00.md,RockArch_00__atlas_preview__static.png,PROOF_RockArch_00_material_channels.md,PROOF_RockArch_00_lod_proxy_note.md,RockArch_00__flat_clay__editor.png,RockArch_00__final_material__normal.png,RockArch_00__final_material__compact.png,RockArch_00__final_material__high_ultra.png,PROFILER_RockArch_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"smooth arch; no erosion/wetness; no route cue; collider proof missing","Future runtime owner only if a critical runtime geology/terrain system is created"
RockShelf_00,GEOLOGY_SUPPORT,"Task high-priority stem; Batch18 geology route anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_RockShelf_00.md,SOURCE_LEDGER_RockShelf_00.md,RockShelf_00__atlas_preview__static.png,PROOF_RockShelf_00_material_channels.md,PROOF_RockShelf_00_lod_proxy_note.md,RockShelf_00__flat_clay__editor.png,RockShelf_00__final_material__normal.png,RockShelf_00__final_material__compact.png,RockShelf_00__final_material__high_ultra.png,PROFILER_RockShelf_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat shelf without strata; coral placement logic missing; no wetness/sediment masks","Future runtime owner only if a critical runtime geology/terrain system is created"
RockCluster_00,GEOLOGY_SUPPORT,"Direct Batch18 cited geology anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_RockCluster_00.md,SOURCE_LEDGER_RockCluster_00.md,RockCluster_00__atlas_preview__static.png,PROOF_RockCluster_00_material_channels.md,PROOF_RockCluster_00_lod_proxy_note.md,RockCluster_00__flat_clay__editor.png,RockCluster_00__final_material__normal.png,RockCluster_00__final_material__compact.png,RockCluster_00__final_material__high_ultra.png,PROFILER_RockCluster_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"random rocks; no geology process; no scatter reason; no visual proof","Future runtime owner only if a critical runtime geology/terrain system is created"
RockFloor_00,GEOLOGY_SUPPORT,"Direct Batch18 cited geology anchor",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_RockFloor_00.md,SOURCE_LEDGER_RockFloor_00.md,RockFloor_00__atlas_preview__static.png,PROOF_RockFloor_00_material_channels.md,PROOF_RockFloor_00_lod_proxy_note.md,RockFloor_00__flat_clay__editor.png,RockFloor_00__final_material__normal.png,RockFloor_00__final_material__compact.png,RockFloor_00__final_material__high_ultra.png,PROFILER_RockFloor_00_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat procedural floor; no sediment/strata; no route cue; no collider/proxy proof","Future runtime owner only if a critical runtime geology/terrain system is created"
GEN_family_coral_branching__bouquet,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_branching__bouquet.md,SOURCE_LEDGER_GEN_family_coral_branching__bouquet.md,GEN_family_coral_branching__bouquet__atlas_preview__static.png,PROOF_GEN_family_coral_branching__bouquet_material_channels.md,PROOF_GEN_family_coral_branching__bouquet_lod_proxy_note.md,GEN_family_coral_branching__bouquet__flat_clay__editor.png,GEN_family_coral_branching__bouquet__final_material__normal.png,GEN_family_coral_branching__bouquet__final_material__compact.png,GEN_family_coral_branching__bouquet__final_material__high_ultra.png,PROFILER_GEN_family_coral_branching__bouquet_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"primitive bouquet; no branch weld/knuckle proof; no named screenshot; no material channel QA","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_branching__fan,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_branching__fan.md,SOURCE_LEDGER_GEN_family_coral_branching__fan.md,GEN_family_coral_branching__fan__atlas_preview__static.png,PROOF_GEN_family_coral_branching__fan_material_channels.md,PROOF_GEN_family_coral_branching__fan_lod_proxy_note.md,GEN_family_coral_branching__fan__flat_clay__editor.png,GEN_family_coral_branching__fan__final_material__normal.png,GEN_family_coral_branching__fan__final_material__compact.png,GEN_family_coral_branching__fan__final_material__high_ultra.png,PROFILER_GEN_family_coral_branching__fan_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat fan silhouette; no pore/ridge source; no compact proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_branching__thicket,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_branching__thicket.md,SOURCE_LEDGER_GEN_family_coral_branching__thicket.md,GEN_family_coral_branching__thicket__atlas_preview__static.png,PROOF_GEN_family_coral_branching__thicket_material_channels.md,PROOF_GEN_family_coral_branching__thicket_lod_proxy_note.md,GEN_family_coral_branching__thicket__flat_clay__editor.png,GEN_family_coral_branching__thicket__final_material__normal.png,GEN_family_coral_branching__thicket__final_material__compact.png,GEN_family_coral_branching__thicket__final_material__high_ultra.png,PROFILER_GEN_family_coral_branching__thicket_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"random branch scatter; alpha/overdraw risk; no named screenshots","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_brittle__candelabra,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_brittle__candelabra.md,SOURCE_LEDGER_GEN_family_coral_brittle__candelabra.md,GEN_family_coral_brittle__candelabra__atlas_preview__static.png,PROOF_GEN_family_coral_brittle__candelabra_material_channels.md,PROOF_GEN_family_coral_brittle__candelabra_lod_proxy_note.md,GEN_family_coral_brittle__candelabra__flat_clay__editor.png,GEN_family_coral_brittle__candelabra__final_material__normal.png,GEN_family_coral_brittle__candelabra__final_material__compact.png,GEN_family_coral_brittle__candelabra__final_material__high_ultra.png,PROFILER_GEN_family_coral_brittle__candelabra_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"thin primitive sticks; no lattice source; no LOD silhouette proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_brittle__cathedral,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_brittle__cathedral.md,SOURCE_LEDGER_GEN_family_coral_brittle__cathedral.md,GEN_family_coral_brittle__cathedral__atlas_preview__static.png,PROOF_GEN_family_coral_brittle__cathedral_material_channels.md,PROOF_GEN_family_coral_brittle__cathedral_lod_proxy_note.md,GEN_family_coral_brittle__cathedral__flat_clay__editor.png,GEN_family_coral_brittle__cathedral__final_material__normal.png,GEN_family_coral_brittle__cathedral__final_material__compact.png,GEN_family_coral_brittle__cathedral__final_material__high_ultra.png,PROFILER_GEN_family_coral_brittle__cathedral_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"cathedral mass without biological cause; no compact route proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_brittle__fan,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_brittle__fan.md,SOURCE_LEDGER_GEN_family_coral_brittle__fan.md,GEN_family_coral_brittle__fan__atlas_preview__static.png,PROOF_GEN_family_coral_brittle__fan_material_channels.md,PROOF_GEN_family_coral_brittle__fan_lod_proxy_note.md,GEN_family_coral_brittle__fan__flat_clay__editor.png,GEN_family_coral_brittle__fan__final_material__normal.png,GEN_family_coral_brittle__fan__final_material__compact.png,GEN_family_coral_brittle__fan__final_material__high_ultra.png,PROFILER_GEN_family_coral_brittle__fan_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat fan; no brittle lattice; alpha/overdraw risk","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_brittle__thicket,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_brittle__thicket.md,SOURCE_LEDGER_GEN_family_coral_brittle__thicket.md,GEN_family_coral_brittle__thicket__atlas_preview__static.png,PROOF_GEN_family_coral_brittle__thicket_material_channels.md,PROOF_GEN_family_coral_brittle__thicket_lod_proxy_note.md,GEN_family_coral_brittle__thicket__flat_clay__editor.png,GEN_family_coral_brittle__thicket__final_material__normal.png,GEN_family_coral_brittle__thicket__final_material__compact.png,GEN_family_coral_brittle__thicket__final_material__high_ultra.png,PROFILER_GEN_family_coral_brittle__thicket_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"unbounded thicket density; alpha blend; no LOD/overdraw proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_low__bed,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_family_coral_low__bed.md,SOURCE_LEDGER_GEN_family_coral_low__bed.md,GEN_family_coral_low__bed__atlas_preview__static.png,PROOF_GEN_family_coral_low__bed_material_channels.md,PROOF_GEN_family_coral_low__bed_lod_proxy_note.md,GEN_family_coral_low__bed__flat_clay__editor.png,GEN_family_coral_low__bed__final_material__normal.png,GEN_family_coral_low__bed__final_material__compact.png,GEN_family_coral_low__bed__final_material__high_ultra.png,PROFILER_GEN_family_coral_low__bed_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat carpet; no pores/ridges; no substrate reason","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_low__mound,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_family_coral_low__mound.md,SOURCE_LEDGER_GEN_family_coral_low__mound.md,GEN_family_coral_low__mound__atlas_preview__static.png,PROOF_GEN_family_coral_low__mound_material_channels.md,PROOF_GEN_family_coral_low__mound_lod_proxy_note.md,GEN_family_coral_low__mound__flat_clay__editor.png,GEN_family_coral_low__mound__final_material__normal.png,GEN_family_coral_low__mound__final_material__compact.png,GEN_family_coral_low__mound__final_material__high_ultra.png,PROFILER_GEN_family_coral_low__mound_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"primitive mound; texture-only detail; no final visual proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_low__plate,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_low__plate.md,SOURCE_LEDGER_GEN_family_coral_low__plate.md,GEN_family_coral_low__plate__atlas_preview__static.png,PROOF_GEN_family_coral_low__plate_material_channels.md,PROOF_GEN_family_coral_low__plate_lod_proxy_note.md,GEN_family_coral_low__plate__flat_clay__editor.png,GEN_family_coral_low__plate__final_material__normal.png,GEN_family_coral_low__plate__final_material__compact.png,GEN_family_coral_low__plate__final_material__high_ultra.png,PROFILER_GEN_family_coral_low__plate_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat plate; no thick rim; no underside AO","Future runtime owner only if a critical runtime flora system is created"
