ReferenceId,CurrentPath,SizeBytes,LegacyPathStatus,ReviewUse,EvidenceClass,Status
VREF-01,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/base.webp",17502,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Visual floor reference source,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-02,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/beauty.webp",68588,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Visual floor reference source,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-03,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/BEST ILLUST - ON SURFACE (WITH TREES AND GRASS) - CHECK WATER, GAS GIANT. it is perfect! your goal to look like it! make plan and do it.png",2042128,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Surface water sky gas giant reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-04,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/CLIFFS AND WATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",64482,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Cliffs water previous-development reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-05,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/CLIFFS SKY AND GAS GIANT PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN + SKY MATERIAL (CHECK COMMITS IN MAY 1ST WEEK, IT IS THIS MATERIAL)).jpg.jpg",50947,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Cliffs sky gas giant previous-development reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-06,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/deep-bioluminescnce.jpg",331672,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Deep bioluminescence reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-07,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/forest_kelp.webp",24904,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Kelp forest density reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-08,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/middle-water.webp",81914,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Medium-depth water reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-09,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/nice_biome.webp",137002,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Biome richness reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-10,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/shallows.webp",71810,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Shallows reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-11,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/shallowwater.jpg",125781,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Shallow water reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-12,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/ubnautic.webp",77176,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Subnautica-like visual floor reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-13,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/UNDERWATER PREVIOUSLY IN DEVELOPMENT (MAPMAGIC + TEXTURES + CREST OCEAN).jpg",118879,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Underwater previous-development reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-14,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/UNDERWATER-GENERATED BY AI - MIDDLE DEEP.jpg",123668,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Medium-deep underwater reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
VREF-15,"Docs/mandatory if you work on systems that user sees (water, terrain, sky, flora, ui) - read this and all images inside (references)/ССС.jpg",46096,OLD_CYRILLIC_REFERENCE_PATH_DELETED_OR_REPLACED,Sky coast terrain reference,STATIC_SOURCE,PENDING_VISUAL_REVIEW
