prompt_id,category,resolution_target,tileability,source_role,pbr_derivation_needs,channel_contract,handoff_route,status
G2009-SKY-001,Aegir gas giant cloud band source,4096x2048 or 4096 square,horizontal_wrap_if_equirect,albedo_cloud_source,storm_mask_derivation,route_shader_declared,celestial_atmosphere_rendering,PENDING_GENERATION
G2009-SKY-002,Aegir storm density mask,4096 square or 4096x2048,tileable_or_wrappable,linear_mask_source,storm_density_mask,linear_grayscale_or_rgba,celestial_atmosphere_rendering,PENDING_GENERATION
G2009-SKY-003,Aegir limb haze softness,2048 square,not_tileable,linear_edge_mask,haze_limb_mask,linear_mask,celestial_atmosphere_rendering,PENDING_GENERATION
G2009-SKY-004,Moon icy regolith surface,4096 square,tileable_source_panel,albedo_height_source,normal_ao_roughness_derivation,moon_shader_declared,celestial_rendering,PENDING_GENERATION
G2009-SKY-005,Moon basalt salt crater source,4096 square,tileable_source_panel,albedo_height_ao_source,normal_ao_roughness_derivation,moon_shader_declared,celestial_rendering,PENDING_GENERATION
G2009-SKY-006,Bright premium cloud atlas,4096 square,tileable_atlas_cells,cloud_color_coverage_source,alpha_coverage_derivation,route_shader_declared,atmosphere_rendering,PENDING_GENERATION
G2009-SKY-007,Horizon haze sky color LUT source,2048x512 or 1024x256,horizontal_wrap,gradient_lut_reference,lut_or_ramp_derivation,route_shader_declared,atmosphere_rendering,PENDING_GENERATION
G2009-WTR-001,Ocean foam lace,2048 square,tileable,albedo_mask_source,foam_mask_derivation,FoamRibbon_or_route_declared,water_rendering,PENDING_GENERATION
G2009-WTR-002,Foam ribbon packed source,2048 square,tileable_directional,foam_rgb_source,pack_rgb_flow_breakup,FoamRibbon_RGB,water_rendering,PENDING_GENERATION
G2009-WTR-003,Caustic mask source,2048 square,tileable,linear_caustic_mask,mask_or_flipbook_derivation,linear_mask,water_rendering,PENDING_GENERATION
G2009-WTR-004,Ocean detail normal source,2048 square,tileable,height_normal_source,normal_derivation,route_shader_declared,water_rendering,PENDING_GENERATION
G2009-WTR-005,Wet basalt albedo source,4096 square,tileable,albedo_source,normal_mrao_wetness_family_needed,MRAO_default_after_derivation,terrain_geology_rendering,PENDING_GENERATION
G2009-WTR-006,Wet basalt height source,4096 square,tileable,height_source,normal_ao_roughness_derivation,MRAO_default_after_derivation,terrain_geology_rendering,PENDING_GENERATION
G2009-WTR-007,Wet dry roughness mask source,2048 square,tileable_directional,roughness_wetness_mask_source,wetness_roughness_ao_derivation,MRAO_A_wetness_or_route_declared,terrain_geology_rendering,PENDING_GENERATION
G2009-WTR-008,Shallow water clarity detail source,2048 square,tileable,color_detail_reference,water_color_detail_derivation,route_shader_declared,water_rendering,PENDING_GENERATION
G2009-GEO-001,Beach cobble basalt field,4096 square,tileable,albedo_height_roughness_source,normal_ao_roughness_derivation,MRAO_default,terrain_geology,PENDING_GENERATION
G2009-GEO-002,Coast cliff wet dry face,4096 square,tileable_vertical_strip,albedo_height_waterline_mask,normal_mrao_wetness_derivation,MRAO_A_wetness_or_route_declared,terrain_geology,PENDING_GENERATION
G2009-GEO-003,Shoreline limestone basalt blend,4096 square,tileable,albedo_height_ao_source,normal_ao_roughness_derivation,MRAO_default,terrain_geology,PENDING_GENERATION
G2009-GEO-004,Terrain coastline blend map source,2048 square,tileable_control_source,control_mask_source,terrain_control_derivation,route_declared_control,terrain,PENDING_GENERATION
G2009-GEO-005,Coast cliff geology hero reference,4096 reference,not_tileable,reference_only,silhouette_material_zone_reference,not_for_packing,terrain_geology,PENDING_GENERATION
G2009-BIO-001,Kelp blade fiber,4096 square,tileable_lengthwise,albedo_height_roughness_source,normal_ao_roughness_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-002,Kelp stipe stem ribbing,4096 square,tileable_lengthwise,albedo_normal_roughness_source,normal_ao_roughness_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-003,Kelp holdfast root,4096 square,tileable,albedo_ao_wetness_source,normal_ao_roughness_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-004,Branching coral calcified surface,4096 square,tileable,albedo_height_ao_source,normal_ao_roughness_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-005,Massive coral pitted surface,4096 square,tileable,albedo_height_ao_source,normal_ao_roughness_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-006,Plate coral rim underside,4096 square,tileable_or_sheet,albedo_height_ao_source,normal_ao_roughness_emission_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-007,Reef sponge low coral bed,4096 square,tileable,albedo_height_ao_source,normal_ao_roughness_emission_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-008,Reef fan soft rib sheet,4096 square,source_sheet,albedo_mask_height_source,normal_mask_emission_derivation,ProceduralBio_ORM_or_route_declared,flora_coral_ecosystem,PENDING_GENERATION
G2009-BIO-009,Biofilm algae mineral contact,2048 square,tileable_decal_source,detail_decal_mask_source,decal_mask_derivation,route_declared_detail_or_decal,flora_coral_terrain,PENDING_GENERATION
G2009-PF-001,ProductFace tool painted metal,4096 square,tileable,tool_albedo_packedmask_source,ToolDecayLit_derivation,ToolDecayLit_PackedMaskV1,productface_tools,PENDING_GENERATION
G2009-PF-002,ProductFace rubber grip,2048 square,tileable,albedo_normal_roughness_source,ToolDecayLit_or_MRAO_derivation,route_declared,productface_tools_player,PENDING_GENERATION
