id,title,sourceType,family,verdict,curationStatus,targetRole,integrationNote,baseColorCandidatePath,curatedBaseColorPath,tilePreviewPath,unityImportStatus,visualStatus
B34-3401,Photic Limestone Rubble Shelf,SEAMLESS_TILE,terrain_photic,REVIEW_REQUIRED,CURATED_READY_STATIC,Terrain detail and triplanar blend for photic limestone shelves.,Use as detail/blend layer first; broad flat hero terrain still needs Unity route screenshot.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3401_photic_limestone_rubble_shelf_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3401_photic_limestone_rubble_shelf_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3401_photic_limestone_rubble_shelf_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3402,Shallow Seagrass Root-Mat Substrate,SEAMLESS_TILE,terrain_photic,REVIEW_REQUIRED,CURATED_READY_STATIC,Shallow root-mat/sand transition detail layer.,Dense fine fibers hide repeat acceptably at gameplay scale; avoid huge single-material planes.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3402_shallow_seagrass_root_mat_substrate_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3402_shallow_seagrass_root_mat_substrate_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3402_shallow_seagrass_root_mat_substrate_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3403,Brine Canyon Salt-Crust Silt,SEAMLESS_TILE,terrain_brine,REVIEW_REQUIRED,CURATED_READY_STATIC,Brine canyon salt-crust/silt terrain detail.,Good mineral pattern; verify normals do not over-crack brine route readability.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3403_brine_canyon_salt_crust_silt_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3403_brine_canyon_salt_crust_silt_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3403_brine_canyon_salt_crust_silt_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3404,Abyssal Manganese Nodule Plain,SEAMLESS_TILE,terrain_abyssal,REVIEW_REQUIRED,CURATED_READY_STATIC,Abyssal nodule plain ground material and resource-biome base.,Nodule scale reads well; use with scatter meshes to avoid flat painted resource feel.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3404_abyssal_manganese_nodule_plain_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3404_abyssal_manganese_nodule_plain_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3404_abyssal_manganese_nodule_plain_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3405,Methane Hydrate Crack Vein,SEAMLESS_TILE,terrain_cold_seep,INTAKE_READY_STATIC,CURATED_READY_STATIC,cold seep terrain and hydrate hazard substrate,Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3405_methane_hydrate_crack_vein_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3405_methane_hydrate_crack_vein_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3405_methane_hydrate_crack_vein_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3406,Serpentinite Fault Rock,SEAMLESS_TILE,terrain_geology,REVIEW_REQUIRED,CURATED_READY_STATIC,Directional serpentinite/fault wall material.,"Use on walls/slabs or triplanar rock, not as a perfectly isotropic floor tile.",Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3406_serpentinite_fault_rock_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3406_serpentinite_fault_rock_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3406_serpentinite_fault_rock_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3407,Iron-Oxide Seep Crust,SEAMLESS_TILE,terrain_cold_seep,REVIEW_REQUIRED,LOCAL_ONLY_OR_REGEN_SEAMLESS,Iron seep local patch or reference for a regenerated seamless material.,2x2 exposes a repeated circular/rust landmark; do not use as broad terrain tile.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3407_iron_oxide_seep_crust_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/LocalOnly/TX_B34_3407_iron_oxide_seep_crust_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3407_iron_oxide_seep_crust_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3408,Clay Silt Turbidity Slope,SEAMLESS_TILE,terrain_sediment,INTAKE_READY_STATIC,CURATED_READY_STATIC,silt-heavy traversal slopes and disturbed sediment,Static source accepted; still requires Unity import/material preview before production claim.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3408_clay_silt_turbidity_slope_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3408_clay_silt_turbidity_slope_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3408_clay_silt_turbidity_slope_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3409,Limestone Cave Ceiling Mineral Drip,SEAMLESS_TILE,terrain_cave,REVIEW_REQUIRED,REGEN_RECOMMENDED,Reference only for limestone drip direction.,Visible block repeat and vertical landmarking; request regenerated seamless cave mineral tile if needed.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3409_limestone_cave_ceiling_mineral_drip_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/NeedsWork/TX_B34_3409_limestone_cave_ceiling_mineral_drip_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3409_limestone_cave_ceiling_mineral_drip_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
B34-3410,Drowned Concrete Rubble,SEAMLESS_TILE,hard_surface_ruin,REVIEW_REQUIRED,CURATED_READY_STATIC,Drowned concrete rubble local terrain blend.,Useful for ruin transitions; combine with meshes/decals before hero-route use.,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/SourceCompressed/TX_B34_3410_drowned_concrete_rubble_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/Curated/ReadyStatic/TX_B34_3410_drowned_concrete_rubble_BaseColorCandidate.jpg,Docs/GeneratedAssets/Gemini/Outputs/Batch34_TextureExpansion/TilePreviews/B34_3410_drowned_concrete_rubble_Tile2x2.png,PENDING UNITY IMPORT,PENDING VISUAL REVIEW
