OwnerId,PacketPresence,PacketFile,Domain,Title,Status,EvidenceClass,LineCount,UnityGateRequired,UsesP0TargetTables,PrimarySourceFiles,AcceptanceBlockedBy,Notes
01,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_01_UNITY_MATERIAL_READBACK.md,unity_material_readback,Asset Owner 01 - Unity Material Readback,UNSTATED,UNSTATED,45,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
02,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_02_TEXTURE_AUTHORING.md,texture_authoring,Asset Owner 02 - Texture Authoring,UNSTATED,UNSTATED,45,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
03,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_03_AUDIO_LEDGER_LISTENING.md,audio_ledger_listening,Asset Owner 03 - Audio Ledger And Listening,UNSTATED,UNSTATED,53,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
04,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_04_MESH_PREFAB_PROMOTION.md,mesh_prefab_promotion,Asset Owner 04 - Mesh Prefab Promotion,UNSTATED,UNSTATED,42,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
05,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_05_UI_SPRITE_ROUTE.md,ui_sprite_route,Asset Owner 05 - UI Sprite Route,UNSTATED,UNSTATED,28,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
06,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_06_UNITY_READBACK_EXECUTION_PACKET.md,unity_readback_execution,Asset Owner 06 - Unity Readback Execution Packet,UNSTATED,UNSTATED,538,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
07,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_07_TOOL_AND_ROUTE_EXECUTION_PACKET.md,tool_route_execution,Asset Owner 07 - Tool And Route Execution Packet,PENDING VERIFICATION,STATIC_DOC,77,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
08,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md,audio_direct_ref_unwiring,Asset Owner 08 - Audio Direct Ref Unwiring Packet,PENDING VERIFICATION,"STATIC_SOURCE, STATIC_DOC",83,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
09,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_09_TEXTURE_MATERIAL_IMPORT_BLOCKERS_PACKET.md,texture_material_import_blockers,Asset Owner 09 - Texture/Material Import Blockers Packet,PENDING VERIFICATION,"STATIC_SOURCE, STATIC_DOC, STATIC_IMAGE_QA only",77,YES,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
10,PRESENT,taskslocal/asset_system_20260605/ASSET_OWNER_10_MUSICDIRECTOR_AUDIO_ROUTING_PACKET.md,musicdirector_audio_routing,Asset Owner 10 - MusicDirector Audio Routing Packet,PENDING_VERIFICATION,"STATIC_DOC, STATIC_SOURCE, AUDIO_WAVEFORM_QA only",95,CONDITIONAL,NO,SEE_PACKET_SOURCE_EVIDENCE,Unity/runtime/import/visual/audio/profiler/memory proof absent unless packet later produces artifacts,Task packet file exists; distributable scope only; status is static unless future proof exists
