queue_id,target_texture_path,action,texture_role,category,priority,target_resolution,source_count,source_asset_paths,slots,reference_states,albedo_prompt,normal_plan,orm_plan,compression_albedo,compression_normal,compression_orm
SHINOBU_361_QUEUE_0015,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_HectonSurface_Normal.png,REBAKE_SOURCE_TO_PNG_AND_FIX_IMPORT,NORMAL,HABITAT_INTERIORS,BLOCKER,1024,1,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonSurface.mat,_BumpMap,IMPORT_ISSUE,"Material Subject: High-end modular ocean habitat material for Mat HectonSurface, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene. The albedo must expose clear luminance depth cues that can drive a stable tangent space normal extraction.","Generate or replace the BC5 normal directly. Use the albedo prompt as the height language, then run Tools/MaterialAudit.py as the compatibility audit after import; luminance-derived normals are acceptable for scratches, salt crystals, pores, silt, and shallow seams, but panel rivets need a dedicated normal bake to prevent inverted depth.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0068,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Mat_Visor_Glass_Albedo.png,GENERATE_REPLACEMENT_PBR,ALBEDO,HABITAT_INTERIORS,BLOCKER,1024,2,Assets/_Project/Art/Materials/Mat_Visor_Glass.mat,_BaseMap;_MainTex,EMPTY_REQUIRED_SLOT,"Material Subject: High-end modular ocean habitat material for Mat Visor Glass, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene.","Create the albedo first, then generate a BC5 normal from controlled luminance height using the existing material audit workflow as the compatibility check. Scratches, salt scales, basalt pores, membrane veins, and chipped paint are compatible with height-to-normal extraction; large rivets, grates, and panel bevels must be baked as deliberate height shapes, not inferred from random contrast.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0002,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/ceiling_10_trimsheet_normal_Normal.png,GENERATE_REPLACEMENT_PBR,NORMAL,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/ceiling_10.fbx,EmbeddedTexturePath_0;EmbeddedTexturePath_1;EmbeddedTexturePath_2;EmbeddedTexturePath_3;EmbeddedTexturePath_4;EmbeddedTexturePath_5,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for ceiling 10, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene. The albedo must expose clear luminance depth cues that can drive a stable tangent space normal extraction.","Generate or replace the BC5 normal directly. Use the albedo prompt as the height language, then run Tools/MaterialAudit.py as the compatibility audit after import; luminance-derived normals are acceptable for scratches, salt crystals, pores, silt, and shallow seams, but panel rivets need a dedicated normal bake to prevent inverted depth.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0004,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/floor_05_stripes_basecolor_Albedo.png,GENERATE_REPLACEMENT_PBR,ALBEDO,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/floor_05.fbx,EmbeddedTexturePath_3;EmbeddedTexturePath_4;EmbeddedTexturePath_5;EmbeddedTexturePath_9;EmbeddedTexturePath_10;EmbeddedTexturePath_11,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for floor 05, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene.","Create the albedo first, then generate a BC5 normal from controlled luminance height using the existing material audit workflow as the compatibility check. Scratches, salt scales, basalt pores, membrane veins, and chipped paint are compatible with height-to-normal extraction; large rivets, grates, and panel bevels must be baked as deliberate height shapes, not inferred from random contrast.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0003,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/floor_05_trimsheet_normal_Normal.png,GENERATE_REPLACEMENT_PBR,NORMAL,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/floor_05.fbx,EmbeddedTexturePath_0;EmbeddedTexturePath_1;EmbeddedTexturePath_2;EmbeddedTexturePath_6;EmbeddedTexturePath_7;EmbeddedTexturePath_8,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for floor 05, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene. The albedo must expose clear luminance depth cues that can drive a stable tangent space normal extraction.","Generate or replace the BC5 normal directly. Use the albedo prompt as the height language, then run Tools/MaterialAudit.py as the compatibility audit after import; luminance-derived normals are acceptable for scratches, salt crystals, pores, silt, and shallow seams, but panel rivets need a dedicated normal bake to prevent inverted depth.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0005,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/floor_large_8x8_trimsheet_normal_Normal.png,GENERATE_REPLACEMENT_PBR,NORMAL,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/floor_large_8x8.fbx,EmbeddedTexturePath_0;EmbeddedTexturePath_1;EmbeddedTexturePath_2;EmbeddedTexturePath_3;EmbeddedTexturePath_4;EmbeddedTexturePath_5,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for floor large 8x8, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene. The albedo must expose clear luminance depth cues that can drive a stable tangent space normal extraction.","Generate or replace the BC5 normal directly. Use the albedo prompt as the height language, then run Tools/MaterialAudit.py as the compatibility audit after import; luminance-derived normals are acceptable for scratches, salt crystals, pores, silt, and shallow seams, but panel rivets need a dedicated normal bake to prevent inverted depth.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0007,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/wall_01_2x3_a_stripes_basecolor_Albedo.png,GENERATE_REPLACEMENT_PBR,ALBEDO,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_2x3_a.fbx,EmbeddedTexturePath_3;EmbeddedTexturePath_4;EmbeddedTexturePath_5;EmbeddedTexturePath_9;EmbeddedTexturePath_10;EmbeddedTexturePath_11,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for wall 01 2x3 a, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene.","Create the albedo first, then generate a BC5 normal from controlled luminance height using the existing material audit workflow as the compatibility check. Scratches, salt scales, basalt pores, membrane veins, and chipped paint are compatible with height-to-normal extraction; large rivets, grates, and panel bevels must be baked as deliberate height shapes, not inferred from random contrast.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0006,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/wall_01_2x3_a_trimsheet_normal_Normal.png,GENERATE_REPLACEMENT_PBR,NORMAL,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_2x3_a.fbx,EmbeddedTexturePath_0;EmbeddedTexturePath_1;EmbeddedTexturePath_2;EmbeddedTexturePath_6;EmbeddedTexturePath_7;EmbeddedTexturePath_8,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for wall 01 2x3 a, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene. The albedo must expose clear luminance depth cues that can drive a stable tangent space normal extraction.","Generate or replace the BC5 normal directly. Use the albedo prompt as the height language, then run Tools/MaterialAudit.py as the compatibility audit after import; luminance-derived normals are acceptable for scratches, salt crystals, pores, silt, and shallow seams, but panel rivets need a dedicated normal bake to prevent inverted depth.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0010,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/wall_01_4x3_c_labels_basecolor_Albedo.png,GENERATE_REPLACEMENT_PBR,ALBEDO,HABITAT_INTERIORS,BLOCKER,1024,5,Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_4x3_c.fbx,EmbeddedTexturePath_6;EmbeddedTexturePath_7;EmbeddedTexturePath_14;EmbeddedTexturePath_15;EmbeddedTexturePath_16,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for wall 01 4x3 c, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene.","Create the albedo first, then generate a BC5 normal from controlled luminance height using the existing material audit workflow as the compatibility check. Scratches, salt scales, basalt pores, membrane veins, and chipped paint are compatible with height-to-normal extraction; large rivets, grates, and panel bevels must be baked as deliberate height shapes, not inferred from random contrast.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
SHINOBU_361_QUEUE_0009,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/wall_01_4x3_c_stripes_basecolor_Albedo.png,GENERATE_REPLACEMENT_PBR,ALBEDO,HABITAT_INTERIORS,BLOCKER,1024,6,Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_4x3_c.fbx,EmbeddedTexturePath_3;EmbeddedTexturePath_4;EmbeddedTexturePath_5;EmbeddedTexturePath_11;EmbeddedTexturePath_12;EmbeddedTexturePath_13,MISSING_EMBEDDED_TEXTURE,"Material Subject: High-end modular ocean habitat material for wall 01 4x3 c, warm off-white pressure panels, satin titanium frames, clean graphite service strips, soft teal engineering accents, amber safety markings, and optimistic NASA Punk industrial design built for a beautiful livable research base. Surface Wear and Details: Controlled scuffs, readable panel breaks, subtle salt whitening, fine rubber gasket wear, neat screw pockets, lightly abraded safety paint, tidy maintenance patina, and baked conduit and grate detail that sells depth without making the surface muddy or grim. Lighting and View constraints: Perfect flat diffuse lighting, completely uniform overhead illumination with zero directional shadows, flat, top-down, orthogonal orthographic view, no perspective skew, no dramatic highlights, no baked light direction. Topology and Finish: Perfectly seamless, infinitely tileable texture with crisp AAA material readability, balanced mid-value diffuse tones, premium NASA Punk Deep Sea Noir mood, beautiful controlled color separation, high frequency detail baked into the texture for the Dear Lie, no muddy black wash, no horror grime, no bright clean saturated albedo, no text watermark, no border, no perspective object scene.","Create the albedo first, then generate a BC5 normal from controlled luminance height using the existing material audit workflow as the compatibility check. Scratches, salt scales, basalt pores, membrane veins, and chipped paint are compatible with height-to-normal extraction; large rivets, grates, and panel bevels must be baked as deliberate height shapes, not inferred from random contrast.","Pack _ORM as Red equals baked AO in panel seams, grates, conduit gaps, and screw pockets, Green equals roughness 0.35 on worn sealed paint rising to 0.82 on rust, dust, and salt crust, Blue equals metallic 1.0 for exposed steel or aluminum and 0.0 for paint, rubber, and insulation. Use BC7 linear, mipmaps on.","BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off"
