"ID","Finding","Visual risk","Optimization risk","Gameplay risk","Exact file path","Exact reference or line evidence","Current proof label","Repair owner route","Unity-slot required: yes/no","Low/Middle/High/Ultra consequence","Next proof artifact"
"B20-2002-001","BLOCKING: active world scene still contains Unity built-in primitive meshes in product-face route names.","Surface/sky/water/coast silhouettes can read as blockout geometry; darkness/fog cannot hide this on the surface or in photic shallows.","Unknown batching/material state; primitive cards/planes can add overdraw and draw-call churn if left as visible route dressing.","Route landmarks, moons, water mass, docks, basalt, caustics, and shore cues can mislead first-hour navigation.","Assets/_Project/Scenes/02_HECTON_WORLD.unity","Static parser found TOTAL_PRIMITIVE_MESH_REFS=342, FILTERED_PRODUCT_FACE_PRIMITIVES=137; samples: 706 MOON_SHAFT_SLICE_0, 22111 Water_Mass_Far_1428, 36039 SURFACE_MOON_A_1428, 39629 BASALT_SEABED.","STATIC VERIFIED; runtime visual/profiler proof pending.","Unity slot","yes","Low: replace visible primitives with verified cheap impostors/LOD meshes, not flat cubes/cards. Middle: authored/generated meshes with shared materials and readable silhouettes. High: richer material response and route-specific detail. Ultra: visual overkill density/reflection/detail only after gameplay truth and perf proof stay unchanged.","Current surface/coast/photic screenshot set; ProductFace primitive validator output; Frame Debugger; profiler/GC proof."
"B20-2002-002","BLOCKING: active world scene has null material slots.","Null/default/invisible material risk on visible route objects; magenta/grey/flat output would fail the surface floor.","Null or fallback materials break SRP batching assumptions and can hide shader/material budget.","Invisible or flat route/hazard objects can break traversal readability and pickup/shore context.","Assets/_Project/Scenes/02_HECTON_WORLD.unity; Assets/_Project/_PROLOGUE_CONTENT/Prefabs/Hecton8_Surface.prefab; Assets/_Project/_PROLOGUE_CONTENT/Prefabs/oblaka_gekton8.prefab","Active scene m_Material {fileID:0} count is 45; samples at lines 431, 1121, 2396, 3207; prologue prefabs show null material refs at Hecton8_Surface.prefab:103 and oblaka_gekton8.prefab:102.","STATIC VERIFIED; Unity binding/render proof pending.","ProductFace relink","yes","Low: approved compact material instances with real albedo/normal/mask identity. Middle: full channel contract and import proof. High: detail maps/wetness where near-field. Ultra: extra decals/micro-wear only after material semantics remain identical.","Material assignment report; ProductFaceMaterialTextureValidator output; current screenshots; Frame Debugger material inspection."
"B20-2002-003","BLOCKING: kelp placement rules allow depth 0 with preferSeafloor 0.","Kelp can contaminate dry land/surface edges if dry terrain maps to depth 0; alpha vegetation can look like random scatter.","Dense alpha flora at shore/photic routes risks overdraw and invalid instancing assumptions.","Land kelp can block shore entries, fake resource affordances, and confuse depth reading.","Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_kelp_*.asset","rule.kelp.canopy lines 27-40: minDepthMeters 0, maxDepthMeters 180, preferSeafloor 0; rule.kelp.starter lines 23-36, rule.kelp.tall lines 26-39, rule.kelp.patch.dense lines 26-39 show same depth/seafloor pattern.","STATIC VERIFIED; placement/render proof pending.","Flora","yes","Low: sparse substrate/depth-gated silhouettes with alpha-clip/instancing proof. Middle: normal photic density by masks. High: richer blade variants and motion within overdraw budget. Ultra: denser kelp only with profiler proof and unchanged resource truth.","Placement-rule diff; generated manifest; before/after scene screenshots; overdraw/Frame Debugger and profiler proof."
"B20-2002-004","BLOCKING: coral placement rules allow surface-depth starts and no seafloor preference.","Coral can appear on dry land, vertical noise, or inappropriate shore surfaces; photic route becomes procedural clutter.","Coral clusters can add draw/triangle/collider cost without HLOD proof.","False hazards/resources and blocked route lanes in shallow navigation.","Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_*.asset","rule.coral.low lines 26-39: minDepthMeters 0, maxDepthMeters 550, preferSeafloor 0; rule.coral.branching lines 26-39; rule.coral.reef lines 23-36; massive/plate remain low-depth and preferSeafloor 0.","STATIC VERIFIED; generated-art and runtime placement proof pending.","BioForge","yes","Low: sparse coral silhouettes only on valid seafloor/substrate masks. Middle: accepted generated coral set with LOD/collider manifests. High: richer branching/plate/massive variants. Ultra: visual overkill coral density only after navigation, collision, and profiler proof.","BioForge/ShallowsBioForge manifest; placement mask proof; current photic route screenshots; collider/LOD validation; profiler."
"B20-2002-005","BLOCKING: rock placement rules allow depth 0 and no seafloor preference.","Random rock scatter can create incoherent dry coast and shallow floor silhouettes; primitive-looking geology remains visible.","Collision, draw count, and HLOD risks if rocks are not generated/instanced with proof.","Rocks can obstruct shore approach, starter route, and depth cues.","Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_rocks_*.asset","rule.rocks.floor lines 23-36: minDepthMeters 0, maxDepthMeters 5000, preferSeafloor 0; rule.rocks.cluster lines 23-36; rule.rocks.shelf lines 30-43; rule.rocks.arch lines 30-43.","STATIC VERIFIED; Unity placement/profiler proof pending.","GeologyForge","yes","Low: compact geology proxies with substrate/depth gates and route clearance. Middle: generated LOD rocks with material identity. High: richer strata/wet basalt breakup. Ultra: high-detail hero rocks only after collision and frame-time proof.","GeologyForge bake manifest; collision proxy validation; active scene placement screenshots; profiler/Frame Debugger."
"B20-2002-006","BLOCKING: sky/Aegir source slots and cookies are null/disabled while surface haze/fog is high.","Surface sky, moons, Aegir ring shadows, and cloud shadows can be missing or over-fogged; cannot use haze to hide weak art.","Missing authored cookies can push expensive fallback visuals or prevent intended cheap texture fakes; runtime cost unknown.","Celestial orientation/timing cues and surface route identity become weak or misleading.","Assets/_Project/Scenes/02_HECTON_WORLD.unity","Lines 69611 _surfaceCloudShadowCookie fileID 0, 69614 aegirRingShadowCookie fileID 0, 69634 _surfaceFogDensityMultiplier 1.35, 69635 _surfaceSkyHazeIntensityMultiplier 1.2, 69879 daySkybox fileID 0, 69880 nightSkybox fileID 0, 69881 blendedSkyboxMaterial fileID 0, 70000 _useAegirRingShadowCookie 0.","STATIC VERIFIED; sky render/capture proof pending.","sky/Aegir source","yes","Low: authored low-cost sky/cookie texture fakes that keep Aegir/moons readable. Middle: complete day/night/blend source slots and sane haze. High: richer cloud depth/ring shadow response. Ultra: extra atmospheric detail only after route readability and perf proof.","ProductFaceSkyOceanSourceValidator output; current Aegir/moon horizon screenshots; material/cookie slot proof; profiler if render path changes."
"B20-2002-007","HIGH: Crest underwater renderer copies ocean material parameters each frame.","Ocean/underwater visuals can diverge from source bindings if copy route masks missing material state.","Static hot-path suspicion; per-frame material parameter copy requires profiler proof under the 0.1 ms suspicion rule.","Water state mismatch can break surface/underwater transition cues.","Assets/_Project/Scenes/02_HECTON_WORLD.unity","Line 50309 _copyOceanMaterialParamsEachFrame: 1 under Crest underwater renderer data.","STATIC VERIFIED; profiler proof pending.","ocean render","yes","Low: copy only if measured cheap and visually necessary. Middle: stable shared ocean material binding with measured cadence. High: richer underwater transition after proof. Ultra: visual overkill water response only with unchanged gameplay truth and profiler/Frame Debugger proof.","Unity profiler marker/capture; Frame Debugger material state; surface-to-5m and 30-100m screenshots."
"B20-2002-008","HIGH: ProductFace validators are source/prefab heavy and do not close active scene overrides.","Prefab source can pass while active scene still contains primitive/null material overrides.","Static validator gap lets bad scene data consume Unity-slot time repeatedly.","Product-face and route objects can remain wrong despite source prefab cleanup.","Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs; Assets/_Project/Scripts/Editor/ProductFacePrefabQualityValidator.cs; Assets/_Project/Scenes/02_HECTON_WORLD.unity","ProductFaceSkyOceanSourceValidator.cs:208-220 labels scene override risk; active scene static evidence still shows primitive mesh refs and null material slots.","STATIC VERIFIED; validator extension/runtime proof pending.","static validator","no","Low: add read-only scene YAML/static scene gate for active surface route names. Middle: integrate scene instance refs with source prefab gates. High: add owner handoff CSV with exact scene object names. Ultra: automated scene/source diff, still no runtime proof claim.","Static validator report proving active-scene primitive/null material coverage; then Unity owner screenshots/profiler."
"B20-2002-009","HIGH: product-face prefab gate still includes a Cube.prefab route.","A player-facing building route named Cube is a standing blockout-risk signal until proven hidden/replaced.","Primitive route can bypass generated package and material contract gates.","Building/structure affordance can read as placeholder and damage route credibility.","Assets/_Project/Scripts/Editor/ProductFacePrefabQualityValidator.cs; Tools/GeneratedAssetProductionAudit.py","ProductFacePrefabQualityValidator.cs:11-16 and GeneratedAssetProductionAudit.py:47-52 include Assets/_Project/Prefabs/Buildings/Cube.prefab; primitive mesh rejection code exists at GeneratedAssetProductionAudit.py:490-495.","STATIC VERIFIED; active prefab/scene proof pending.","ProductFace relink","yes","Low: quarantine or relink Cube to hidden input/proven authored mesh. Middle: generated structure mesh with material contract. High: richer building silhouette/detail. Ultra: additional close-read wear/decals only after validator and route screenshots pass.","ProductFace prefab validator output; scene hierarchy proof; current screenshot if visible."
"B20-2002-010","HIGH: BioForge can fall back to default material routes.","Generated flora/rocks can ship flat/default if rule material is missing; this violates surface/shallow material identity.","Extra material variants or fallback defaults can defeat batching and texture budget assumptions.","Resource/biome readability becomes unreliable if assets share generic fallback material.","Assets/_Project/Scripts/Editor/ProceduralGen/BioForgeGenerator.cs; Assets/_Project/Scripts/Editor/ProceduralGen/ShallowsBioForgeBatchBaker.cs","BioForgeGenerator.cs:21 default generated material path, 599 uses Default-Material.mat, 613-621 fallback material creation; ShallowsBioForgeBatchBaker has material/atlas paths at lines 15-26 and renderer material validation at 1615-1626.","STATIC VERIFIED; generated material/render proof pending.","BioForge","yes","Low: compact BioForge assets must still use approved shallows material/atlas contract. Middle: full atlas/material validation. High: richer variant material breakup. Ultra: extra close-read biological detail after LOD/overdraw/profiler proof.","ShallowsBioForge bake report; renderer material slot validation; atlas channel proof; screenshots/profiler."
