"Area","ReferenceDemand","CurrentStaticEvidence","CurrentMissingProof","RejectionTrigger","RequiredCapture","Owner","Status"
"surface/sky/Aegir/moons/clouds","Bright readable surface, layered sky/clouds, hero Aegir/moon scale, premium cloud/band/limb texture detail, ocean/shore route context, no noir grade on surface.","Static reports define H8_1475_SHOT_01 and SHOT_09; visual checklist marks Aegir/sky proof as required; synthesis lists Aegir/sky slots as readback blockers; no canonical current screenshot is present in read evidence.","Canonical surface gameplay screenshot, active sky/Aegir slot inspector, active material/renderer readback, Frame Debugger/Stats if promoted, compact and high capture comparison.","Surface gloom, muddy sky, smeared or sine-striped Aegir, stale/null/ignored slots, duplicate sky/sun/backdrop owner, fog/bloom/darkness camouflage, raw MCP PNG substitution.","h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_sky_aegir_slots_inspector.png; optional h8_1475_frame_debugger_sky_ocean_terrain.png; manifest/readback rows.","Sky/Aegir owner + Rendering owner + Unity proof owner","REJECTED_FOR_PROMOTION / H8_1475_CAPTURE_PENDING"
"ocean surface/waterline/foam/refraction","Water must read as premium medium: wave normals, specular sparkle, foam/contact breakup, refraction, shallow transparency, caustic hints, waterline wetness, route visibility.","Shotlist defines SHOT_01, SHOT_02, SHOT_04, SHOT_08; product-face refinement has water/ocean contact rows and Crest boundary blockers; three-pillar matrix requires Crest/ocean proof; no canonical current water capture is present in read evidence.","Active OceanRenderer/Crest material slots, visible-vs-data lane classification, foam/contact/frame stats, shoreline and underwater captures, VRAM/material proof if promoted.","Flat green/blue slab water, black void, empty fog sheet, repeated/decorative foam, absent seabed/ceiling read, artist textures in Crest _WD lanes, runtime Crest wrapper/material clone, missing active OceanRenderer readback.","h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_surface_shoreline_waterline_game.png; h8_1475_underwater_0_5m_route_game.png; h8_1475_crest_ocean_slots_inspector.png; frame_debugger_stats.md.","Ocean/Crest owner + Underwater VFX owner + Material/texture owner + Unity proof owner","REJECTED_FOR_PROMOTION / CREST_WATER_READBACK_PENDING"
"coastline/exposed rock/shore terrain","Coastline needs wet geology, strata, erosion, sediment, puddled water, mineral breakup, foam contact, shallow transparency, readable silhouettes, and scale witnesses.","Shotlist defines SHOT_02, SHOT_03, SHOT_10; product-face refinement keeps terrain/geology rows pending; three-pillar matrix requires shoreline/terrain proof; no canonical current shoreline screenshot is present in read evidence.","Terrain material receiver/shader/slot readback, close shoreline proof, photic terrain route proof, material scale witnesses, render stats, compact/high capture comparison.","Water merely adjacent to dark terrain, crushed black shoreline, noisy slick slope, primitive blob, blurry material, random scatter camouflage, no close shoreline proof, stale/null PBR slots, fog/post hiding geometry.","h8_1475_surface_shoreline_waterline_game.png; h8_1475_photic_terrain_route_game.png; h8_1475_terrain_material_slots_inspector.png; optional h8_1475_frame_debugger_sky_ocean_terrain.png.","Terrain/geology owner + Material/texture owner + World route owner + Unity proof owner","REJECTED_FOR_PROMOTION / TERRAIN_READBACK_PENDING"
"photic shallows/coral/flora","0-100 m shallows must stay bright, colorful, readable, dense enough to feel authored, with coral/flora attached to plausible substrate, route negative space, fauna or industrial traces where appropriate.","Shotlist defines SHOT_03 and SHOT_04; product-face refinement reports flora/coral/kelp material blockers and proxy-contamination risk; visual checklist demands shallow route comparison; no canonical current photic capture is present in read evidence.","Active flora/coral/material/LOD readback, photic route screenshot, terrain material readback, water volume screenshot, route decision and return cue, compact/high capture comparison.","Random coral carpet, proxy material camouflage, empty photic terrain, flat seabed, no water ceiling, no return cue, no route decision, scatter hiding weak terrain, alpha-blend spam, missing LOD/material proof.","h8_1475_photic_terrain_route_game.png; h8_1475_underwater_0_5m_route_game.png; h8_1475_terrain_material_slots_inspector.png; h8_1475_product_face_primitive_targets_inspector.png.","Ecology/flora/fauna owner + Terrain/geology owner + Underwater VFX/source owner + Unity proof owner","REJECTED_FOR_PROMOTION / PHOTIC_ROUTE_CAPTURE_PENDING"
"medium-depth hero route/readability","20-50 m hero route must show geology, flora/coral, fauna or vehicle silhouettes where relevant, silt or biolum anchors, negative space, return cue, and readable route cost.","Shotlist defines SHOT_05; visual checklist lists medium/deep references as required comparison; three-pillar matrix says optional 20-50 m proof is needed for route density; no canonical current medium-depth screenshot is present in read evidence.","Canonical medium-depth gameplay capture, active terrain/water/material readback, route decision statement, density/overdraw/LOD proof if promoted, compact/high capture comparison.","Empty blue fog, black water, full-screen haze/snow, random coral carpet, no player decision, no return cue, mislabeled depth, fog hiding weak art, no instrument or route context.","h8_1475_underwater_20_50m_route_game.png; h8_1475_underwater_0_5m_route_game.png; h8_1475_photic_terrain_route_game.png; optional cockpit/HUD route crop.","World route owner + Underwater VFX/source owner + Ecology/flora/fauna owner + Product-face owner","REJECTED_FOR_PROMOTION / MEDIUM_DEPTH_CAPTURE_PENDING"
"UI/visor/product face","UI/visor must behave like physical instruments and expose true oxygen, pressure, power, signal, tool, route, hull, or trust decisions; product-face meshes/materials need authored quality, LOD, collider/proxy, PBR role proof.","Product-face refinement reports material/prefab blocker tables, primitive/default/proxy/null material risks, and missing static LOD proof; three-pillar matrix marks HUD/UI static-only and product-face source blocked; no active production player/HUD canonical proof is present in read evidence.","Production player/HUD binding readback, HUD render-mode/compositor state, product-face primitive target inspector, material/LOD/collider proof, route screenshot with decision-bearing instrument state, GC/profiler proof if runtime UI is claimed.","Flat generic overlay, fake telemetry, screen-space overlay posed as cockpit proof, unreadable oxygen/pressure/power/signal/tool state, active shell controlling production proof, built-in primitive product-face mesh, blockout/default/proxy/null material, missing LOD/collider role.","h8_1475_player_hud_binding_scene_selected.png; h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_product_face_primitive_targets_inspector.png; optional h8_1475_pda_or_cockpit_hud_readable_game.png; no-mutation HUD/player rows.","UI/HUD owner + Player/cockpit owner + Product-face prefab owner + Material/texture owner + Runtime readback owner","REJECTED_FOR_PROMOTION / PRODUCT_FACE_SOURCE_BLOCKED"
"route landmarks/evidence/industrial traces","Every product-facing area needs route decision, return cue, scale cue, industrial or biological reason, landmark, and evidence trace; beauty without decision is rejected.","world.md and terrain.md demand landmarks/evidence; three-pillar matrix says world placement is staged only and base proof blocked; product-face refinement names first-20 route blockers; no canonical route sequence or current proof packet is present in read evidence.","Route sequence screenshots, route/decision read statement, landmark/evidence list, active material/prefab readback, compact/high capture comparison, gameplay proof for route traversal when promoted.","Empty beauty shot, random scatter field, decorative biome tint, no route decision, no return cue, no industrial trace where route requires it, no evidence cue, placement used as camouflage for weak base water/terrain/sky.","h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_photic_terrain_route_game.png; h8_1475_underwater_0_5m_route_game.png; optional h8_1475_underwater_20_50m_route_game.png; manifest route notes.","World route owner + Terrain/ecology owner + Product-face owner + Unity proof owner","PENDING_VERIFICATION / BASE_PROOF_BLOCKED"
"runtime proof class h8_1475","Canonical proof packet must include manifest, checksum, Unity log, console export, no-mutation readback, dirty-state audit, Frame Debugger/Stats, exact h8_1475 PNG shots or abort notes, and visual comparison.","H8 shotlist and three-pillar matrix both state the packet is absent; visual checklist says current state remains rejected because the canonical proof packet is missing; Unity/process gate is red by user prompt and read synthesis.","Entire Docs/Screenshots/HectonProofPackets/h8_1475_{session}/ packet, clean process gate, Unity log, console export, readback reports, Frame Debugger/Stats, canonical screenshots, manifest hash.","Missing packet root, missing manifest/hash/log, dirty or mutation risk, fake hash, raw MCP PNG substitution, stale screenshots, status upgraded from static prose, runtime/profiler/GC claims without matching artifacts.","Docs/Screenshots/HectonProofPackets/h8_1475_{session}/manifest.json; manifest.sha256; UnityLog.txt; console_export.txt; no_mutation_readback_report.md; dirty_state_audit.md; frame_debugger_stats.md; required screenshots.","ASSET_OWNER_36 Unity proof owner + ASSET_OWNER_26 no-mutation owner + Visual QA controller","REJECTED / H8_1475_MISSING / PROCESS_GATE_RED"
"latest raw diagnostic surface captures","Raw diagnostic frames can only reject obvious failures. They cannot replace the canonical h8_1475 proof packet.","Latest Docs/Reports/McpScreenshots surface frames show a flat dark horizon band, rectangular sea/ground plane when Crest is off, oversaturated turquoise/green slab water, low-detail noisy black/acid terrain, and primitive foreground silhouettes. The no-clip frame improves surface texture slightly but still fails. H8_SurfaceHorizonHaze_1428.shader and .shader.meta are untracked; the meta GUID has no serialized material/scene/prefab route found by targeted text search. The shader uses transparent ZTest Always haze that can mask a seam without proving base water/terrain/sky truth.","Canonical h8_1475 surface, shoreline, terrain, ocean/Crest slot readback, Frame Debugger/Stats, Unity log, manifest, and clean process gate.","Treating these raw screenshots or the horizon-haze shader as acceptance, hiding the horizon/plane with fog or grading, accepting the flat slab water, accepting primitive terrain/props, or promoting Aegir size as sky quality by itself.","h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_surface_shoreline_waterline_game.png; h8_1475_crest_ocean_slots_inspector.png; h8_1475_terrain_material_slots_inspector.png; manifest/readback rows.","Visual QA controller + Ocean/Crest owner + Terrain/geology owner + Sky/Aegir owner + Unity proof owner","DIAGNOSTIC_REJECTED / NOT_ACCEPTANCE_PROOF"
"surface water recovery probe 1914","Diagnostic probe can only reject visible failures. It cannot replace canonical proof or prove saved scene state.","h8_1914_surface_water_recovery_probe.txt says captureTruth=surface_water_recovery_probe_editor_only_unsaved, H8_TEMP_SurfaceWaterReadabilityProbe_1428=MISSING, active temp horizon haze, inactive underwater sheets, and inactive photic route terrain. PNG shows flat green rectangular water, black clipped shoreline slabs, low-detail terrain bands, oversized transparent Aegir billboard, and weak foam/contact.","Canonical h8_1475 proof packet, active Crest/OceanRenderer slot readback, terrain material readback, Frame Debugger/Stats, clean process gate, and saved/controlled proof state.","Using this PNG as acceptance, treating editor-only unsaved probe as product state, accepting flat slab water, accepting black shoreline slabs, accepting transparent billboard Aegir, or hiding water/terrain failure with haze.","h8_1475_surface_sky_aegir_ocean_hud_game.png; h8_1475_surface_shoreline_waterline_game.png; h8_1475_crest_ocean_slots_inspector.png; h8_1475_terrain_material_slots_inspector.png.","Visual QA controller + Ocean/Crest owner + Terrain/geology owner + Sky/Aegir owner","DIAGNOSTIC_REJECTED / NOT_ACCEPTANCE_PROOF"
