biome_id,biome_hash32,biome_display_name,depth_min_m,depth_max_m,distance_from_origin_m,depth_multiplier,resource_id,resource_hash32,resource_display_name,resource_tier,base_value_units,base_rarity,rarity_formula,resource_depth_bias,rarity_score,lcg_spawn_weight_u16,laser_hits_tier1,laser_hits_tier2,laser_hits_tier3
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.100,119,3,2,1
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.100,94,3,2,1
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_SilicaShards,3920354616,Silica Shards,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.60,1.120,109,3,2,1
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_FiberKelp,2069849578,Fiber Kelp,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.40,1.080,89,2,1,1
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_HydrocarbonResin,248205602,Hydrocarbon Resin,1,1.50,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.70,2.140,35,4,2,1
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_SulfurClumps,3346875565,Sulfur Clumps,1,1.20,2,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.80,2.160,10,4,3,2
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_SilverOre,884621125,Silver Ore,1,2.00,3,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.00,3.200,8,5,3,2
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_GoldOre,4056809162,Gold Ore,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.10,4.220,3,6,4,2
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_LithiumCrystal,3763503872,Lithium Crystal,2,3.00,4,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.20,4.240,3,6,4,2
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_NickelOre,1037165092,Nickel Ore,2,4.00,5,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.30,5.260,1,7,4,3
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_CobaltAlloy,857583970,Cobalt Alloy,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.40,6.280,1,8,5,3
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_ThermalGel,1601052383,Thermal Gel,2,5.00,6,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.50,6.300,1,7,5,3
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_CarbonGraphite,2008184373,Carbon Graphite,3,6.00,7,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.60,7.320,1,8,5,3
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_RareEarthDust,1997058338,Rare Earth Dust,3,8.00,8,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,1.80,8.360,1,10,6,4
biome.safe_shallows,967099888,Safe Shallows,0,120,250,0.80,Data_AbyssalCrystal,702456815,Abyssal Crystal,3,12.00,10,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,2.00,10.400,1,12,8,5
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_TitaniumScrap,3511699502,Titanium Scrap,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.300,83,3,2,1
biome.kelp_karst,989463989,Kelp Karst,80,250,600,1.00,Data_Copper,2276338585,Copper Ore,1,1.00,1,base_rarity+(distance_from_origin_m/1000)*depth_multiplier*resource_depth_bias,0.50,1.300,83,3,2,1
