"priority","evidence_class","proposed_group","label","source_scope","owner","load_policy","release_policy","proof_needed","blockers","disposition","low_consequence","middle_consequence","high_consequence","ultra_consequence"
"P0","STATIC_DOC;STATIC_SOURCE","group_audio_music","audio.music.musicdirector","Assets/_Project/Audio/Music for Game/*.ogg; Assets/_Project/Data/Audio/Music/Profiles/*.asset","Audio/MusicDirector owner","RequestedAssetAndDependencies; MusicDirector-owned async preload; one active/contextual bank policy until runtime proof expands it","Release inactive profile/bank handles on biome/context exit; keep ref-count ledger; no direct clip ownership","Addressables settings/group/label entries; MusicDirector runtime load path; loaded handle count; release ledger; mixer readback; memory proof; listening cadence proof","Assets/AddressableAssetsData has 0 files; music/stinger mixer refs null; long beds and repeated stingers need cadence proof","PROPOSED_BLOCKED_STATIC_NO_GROUP_PROOF","Keep music bank narrow; no readiness claim; protect memory and silence windows","Allow route-owned profile variety only after active-bank proof","Extend preload and stinger variation only with release and memory proof","Visual/audio overkill via richer mix layers only after owner/ref-count proof"
"P0","STATIC_DOC;STATIC_SOURCE","group_audio_amb_long","audio.ambient.long","Assets/_Project/Audio/Ambient/*; Assets/_Project/Audio/Atmos*.wav; Assets/_Project/Audio/Underwater Ambient.wav","Audio/Ambient owner","RequestedAssetAndDependencies; one active long ambient bank under pressure; resolve Streaming vs CompressedInMemory authority conflict before import edits","Release old ambient bank on biome/route transition; pressure can pause/release noncritical long beds; record owner ledger","Addressables group/key; import/load-type decision; active bank budget; handle/ref-count/release proof; audio memory proof; first-exit/shallow mix proof","Import policy conflict; Underwater Ambient direct Player.prefab refs; no group proof","PROPOSED_BLOCKED_POLICY_CONFLICT","One active long ambience max; no direct prefab lifecycle leak","Broader ambience only after mix and active-bank proof","Longer preloads and richer beds allowed with memory proof","Layered ambient depth allowed only after release and cadence proof"
"P0","STATIC_DOC;STATIC_SOURCE","group_core_player_audio_loops","audio.player.loop","Assets/_Project/Audio/Breathing/*; Assets/_Project/Audio/Movement/swimming*; direct Player.prefab AudioClip refs","Player/audio lifecycle owner","RequestedAssetAndDependencies unless documented core exception; player-critical loops treated separately from generic SFX","Release or retain by explicit player-lifetime exception; all exceptions need size/import/playback proof","Player prefab readback; group/key or exception per clip; 0 B/frame playback proof; DSP/mixer route; handle/release proof for long loops","Player.prefab direct refs; swimming/onwater/breathing loop policy unresolved; no Addressables entries","PROPOSED_BLOCKED_DIRECT_PREFAB_REFS","Keep player loops bounded and owned; no streaming generic SFX","Allow fuller suit/breath loop set after lifecycle proof","Richer loop layering only if DSP/voice budget passes","High-density player audio detail only with 0 B/frame and memory proof"
"P0","STATIC_DOC;STATIC_SOURCE","group_core_ui_sfx_short","audio.ui_sfx.short","Assets/_Project/Audio/UI/*; Assets/_Project/Audio/Footsteps/*; Assets/_Project/Audio/Impact/*; Assets/_Project/Audio/SFX/*; short movement clips","Audio UI/SFX owner","Core always-hot exception allowed only for tiny clips with bounded size; otherwise RequestedAssetAndDependencies; DecompressOnLoad/ADPCM for <=2s candidates","Core exceptions live scene/session lifetime; non-core handles released on owning prefab/tool exit; no fire-and-forget","Group/key or exception ledger; import readback; playback route proof; 0 B/frame proof; no string-event route","No Addressables entries; UI class includes long unsuitable file; direct Player.prefab refs for some clips","PROPOSED_BLOCKED_OWNER_EXCEPTIONS","Short UI/SFX only; reject long UI-class loop as core exception","More cue variety after import and playback proof","More simultaneous voices after DSP budget proof","Richer UI/SFX response after ownership and 0 B/frame proof"
"P1","STATIC_DOC;STATIC_SOURCE","group_surface_sky_celestial","visual.surface.sky_aegir","Assets/_Project/Art/Materials/Mat_HectonSky.mat; Assets/_Project/Art/Materials/Sky/*; Assets/_Project/Art/TEXTURES/clouds0_diff.png; Aegir_storms.png; TX_H8AegirGasGiantBakedDisc_1428.png; Sky/*.png","Sky/Celestial material owner","RequestedAssetAndDependencies; load surface sky/celestial set with route; no AllPacked exception without memory snapshot","Release unused sky variants on scene/route change; keep active skybox/celestial handles owned by surface route","Unity material/skybox readback; group/label/key entries; load mode proof; handle/ref-count/release proof; texture mip/VRAM proof; bright surface screenshots","No Addressables proof; stale/unproven sky slots; baked disc prototype-only; source candidates not final acceptance","PROPOSED_BLOCKED_READBACK","Preserve readable beautiful sky/Aegir with owned compressed mips; no muddy fallback","Use full route-owned cloud/Aegir stack after readback","Longer mip residency and richer material detail after VRAM proof","Cloud depth/Aegir overkill only through proven residency route"
"P0","STATIC_DOC;STATIC_SOURCE","group_surface_water_contact","visual.surface.water_contact","Assets/Crest/Crest/Textures/foam.png; Foam2.png; Assets/_Project/Art/TEXTURES/foam.png; MAT_SurfaceSplashFoamDirty_1428.mat; MAT_H8_CrestFoamInput_1464.mat; Hecton Ocean prefab refs","Ocean/Crest material owner","RequestedAssetAndDependencies; Crest uses assigned asset materials only; rejected foam source is reference/support until replaced","Release inactive water/contact variants on route/ocean material swap; active ocean material owns handle lifetime","Crest/ocean material slot readback; group/key entries; replacement/contact mask proof; handle/release proof; texture mip/VRAM proof; shoreline/ocean screenshots; Frame Debugger/Stats","foam.png rejected as visible sheet but serialized-reachable; no group proof; Crest wrapper/material clone forbidden","PROPOSED_BLOCKED_REJECTED_VISIBLE_SOURCE","No flat turquoise sheet; compact keeps believable waterline with owned masks","Cleaner foam/contact masks after material proof","Richer wet/contact breakup and specular response after VRAM proof","Layered contact foam/salt/bubble detail only through proven route"
"P1","STATIC_DOC;STATIC_SOURCE","group_photic_terrain_pbr","visual.photic.terrain_pbr","Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/*; sand/*; sand +green/*; Docs/GeneratedAssets/Batch31_LocalPBR/* source-only; Mat_Terrain.mat; photic terrain materials","Terrain material owner","RequestedAssetAndDependencies; terrain PBR stacks grouped by photic route/material role; generated sources not direct final imports","Release unused terrain variant handles on biome/route exit; mip downgrade before broad unload under pressure","Cleaned PBR import proof; material receiver readback; group/key entries; handle/release proof; mip residency; VRAM ledger; photic terrain screenshots","Generated wet basalt/sand sources source-only; direct import rejected; terrain material route needs readback; no group proof","PROPOSED_BLOCKED_SOURCE_ONLY","Use compressed maps, silhouettes, and material identity; no blurry flat terrain","Full route-owned PBR stack after proof","Longer LOD/mip residency and richer detail normals after VRAM proof","Layered wet basalt/sand overkill only with residency proof"
"P0","STATIC_DOC;STATIC_SOURCE","group_photic_flora_materials","visual.photic.flora_materials","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/*; WorldProceduralProxy coral/kelp material refs in 02_HECTON_WORLD","Flora/material promotion owner","RequestedAssetAndDependencies; material stacks assigned only after renderer/material readback; proxy refs are blockers not accepted groups","Release unused flora material handles with prefab/biome unload; pressure downgrades mips before removing route cues","Renderer/material readback; replacement material proof; group/key entries; LOD/material binding proof; handle/release/mip proof; photic flora screenshots","WorldProceduralProxy materials serialized in active world; many stacks have streaming mip risk; no group proof","PROPOSED_BLOCKED_PROXY_CONTAMINATION","Keep silhouettes and color readable; no proxy-looking visible route flora","Use proven route-owned stacks for density","Longer residency and richer detail maps after proof","Dense flora material overkill only after proxy refs are gone and memory proof exists"
"P1","STATIC_DOC;STATIC_SOURCE","group_photic_flora_prefabs","prefab.photic.flora_candidates","Assets/_Project/Prefabs/Nature/Flora/Baked; Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows","Mesh/Prefab promotion owner","RequestedAssetAndDependencies; async prefab load/instantiate only after LOD/material proof","Release prefab/material/texture handles on biome unload; pooled instances must release owner handles when refcount reaches zero","Prefab readback; LODGroup proof; material binding proof; async instantiate proof; handle/ref-count/release proof; visual route captures","Candidate pool exists but visible placement unproven; material route blocked; no Addressables entries","PROPOSED_BLOCKED_VISUAL_LOD_READBACK","Sparse but premium flora silhouettes only after proof","Density expands after LOD/material proof","Longer LOD residency and denser near-field after memory proof","Visual overkill flora density only through proven streaming"
"P1","STATIC_DOC;STATIC_SOURCE","group_geology_prefabs","prefab.geology.procedural_finals","Assets/_Project/Prefabs/Nature/Rocks/ProceduralFinals","Mesh/Prefab promotion owner","RequestedAssetAndDependencies; async prefab load/instantiate; no primitive/proxy pool promotion","Release geology prefab/material/texture handles on chunk/biome unload; LOD0 release first under pressure","Prefab readback; LOD/collider/material proof; group/key entries; async load proof; handle/release proof; Frame Debugger/visual capture","Candidate pool has static LOD/collider promise but Unity route proof absent; no group proof","PROPOSED_BLOCKED_MATERIAL_ROUTE_PROOF","Use strong silhouettes and compressed material stacks; no primitive rocks","Promote route geology only after proof","Longer geology LOD residency after VRAM proof","Near-field geology overkill only with release and memory proof"
"P1","STATIC_DOC;STATIC_SOURCE","group_core_ui_sprites","ui.sprite.core_hud","Assets/_Project/Art/Sprites/ui/*; Assets/_Project/Art/Sprites/oxygen-tank.png; cardiogram.png; thunder.png; ring.png","UI/HUD owner","Core always-hot UI atlas exception allowed only after atlas/import proof; otherwise RequestedAssetAndDependencies by screen/HUD owner","Core HUD sprite atlas lives with HUD lifetime; non-HUD screen sprites release on screen unload","UI atlas/import proof; sprite binding readback; group/key entries; HUD visual proof; 0 B/frame UI proof","oxygen-tank.png is black mask/silhouette; ui/OXYGEN.png source candidate not proven bound; no SpriteAtlas found in static scope; no group proof","PROPOSED_BLOCKED_ATLAS_BINDING_PROOF","Readable HUD icons only; no black unfinished oxygen icon","Full HUD atlas after binding/import proof","Higher-res HUD/instrument sprites after memory proof","Premium UI sprite/detail overkill only with atlas and zero-GC proof"
