packet_id,arc_id,depth_band,route_moment,prereq_packet_ids,next_packet_ids,evidence_type,truth_claim,player_decision,spoiler_tier,primary_surface
P001_CRASH_SHELF,arrival_survival,0-80m,first_shelter,"",P002_BLACK_KEEL_CONTACT;P003_BARNARD_MARK,wreck_damage,The drop module is shelter not escape,Stabilize shelter before stripping salvage,0,scanner
P002_BLACK_KEEL_CONTACT,arrival_survival,0-120m,first_uplink,P001_CRASH_SHELF,P012_RELAY_SPINE;P015_BLACK_KEEL_LEDGER,carrier_signal,Rescue exists but is delayed conditional and compromised,Repair comms or keep exploring for stronger leverage,0,terminal
P003_BARNARD_MARK,personal_motive,20-250m,first_human_name,P001_CRASH_SHELF,P011_DOMAIN_MARKS_2190;P008_EVACUATION_HOLD,physical_mark,The colony had named workers tied to the player's wider salvage world,Keep job professional or start following names,1,in_game_wiki
P004_BLUE_DEBT,resource_truth,150-700m,first_valuable_sample,P001_CRASH_SHELF,P006_DEAD_CLAIM_CACHE;P007_BRINE_STAIR,material_sample,Blue debt is value plus contamination not simple ore,Extract sample or leave the casket sealed,1,scanner
P005_REPAIR_SCAR,atlas_truth,250-1000m,first_atlas_category_error,P004_BLUE_DEBT,P009_BOTTOM_FACTORY,repair_category_error,Atlas-6 restores pressure and signal while accepting tags hardware reef growth and remains as repair material,Read tag strips and seam order before cutting the repair,1,scanner
P006_DEAD_CLAIM_CACHE,salvage_economy,300-1100m,first_dead_marauder_cache,P004_BLUE_DEBT,P015_BLACK_KEEL_LEDGER,claim_cache,Other salvagers reached HECTON-8 and lost more than equipment,Take debt-bearing salvage or mark cache and move on,1,field_note
P007_BRINE_STAIR,descent_route,700-1800m,first_pressure_route,P004_BLUE_DEBT,P008_EVACUATION_HOLD;P009_BOTTOM_FACTORY,geological_route,Geology is traversal logic and pressure cost not backdrop,Commit to brine route timing or find a slower safer path,1,scanner
P008_EVACUATION_HOLD,colony_truth,1200-2600m,first_evacu_manifest,P003_BARNARD_MARK;P007_BRINE_STAIR,P010_PAYLOAD_WINDOW;P011_DOMAIN_MARKS_2190,manifest_log,Deep Reach's public story does not match evacuation records,Carry names as proof or trade cargo space for value,2,terminal
P009_BOTTOM_FACTORY,atlas_truth,3500-5200m,final_factory_threshold,P005_REPAIR_SCAR;P007_BRINE_STAIR,P010_PAYLOAD_WINDOW,industrial_biology,Bottom Factory is an active lower Atlas return plant where brine heat signal pressure seals and filter growth share service sleeves,Read tag drawers before cutting seams or preserve the leak path for later proof,2,scanner
P010_PAYLOAD_WINDOW,ending_payload,4000-5200m,first_false_exit,P008_EVACUATION_HOLD;P009_BOTTOM_FACTORY,P014_AEGIR_ROUTE_WINDOW,payload_constraint,Endings are constrained by mass weather radiation and carrier geometry,Choose what leaves the ocean and what is abandoned,2,terminal
P011_DOMAIN_MARKS_2190,human_space_context,0-2200m,first_multi_domain_mark,P003_BARNARD_MARK,P012_RELAY_SPINE,domain_mark,HECTON-8 is remote but not outside human civilization,Read objects as jurisdiction and maintenance history,0,in_game_wiki
P012_RELAY_SPINE,human_space_context,0-900m,first_delay_proof,P002_BLACK_KEEL_CONTACT;P011_DOMAIN_MARKS_2190,P013_NEARLIGHT_SHIP_CLASSES,relay_buffer,No FTL rescue means every answer has travel and custody cost,Wait for windows or act on incomplete local evidence,0,terminal
P013_NEARLIGHT_SHIP_CLASSES,human_space_context,0-1400m,first_ship_class_proof,P012_RELAY_SPINE,P014_AEGIR_ROUTE_WINDOW,ship_manifest,Ships are infrastructure with mass budgets not personal freedom,Trust carrier limits or seek local ascent workaround,0,in_game_wiki
P014_AEGIR_ROUTE_WINDOW,orbital_pressure,0-5200m,first_orbital_window,P013_NEARLIGHT_SHIP_CLASSES,P010_PAYLOAD_WINDOW,route_calculation,Aegir geometry is a survival clock,Time ascent payload and signal around weather radiation and carrier position,1,terminal
P015_BLACK_KEEL_LEDGER,salvage_economy,0-2600m,first_claim_debt_record,P002_BLACK_KEEL_CONTACT;P006_DEAD_CLAIM_CACHE,P010_PAYLOAD_WINDOW,ledger,Black Keel is useful indifferent and compromised by debt priority hooks,Use the carrier while assuming it will price every choice,1,terminal
