source_packet,target_packet,edge_type,shared_term,spoiler_relation,reason
P540,P484,TERMINOLOGY_SHARED,TERM_21,None,Logical connection
P462,P441,FALSE_EXIT_VARIANT,TERM_46,None,Logical connection
P466,P494,LOCALIZATION_RISK_SHARED,TERM_27,None,Logical connection
P554,P551,SCANNER_TO_CODEX,TERM_72,None,Logical connection
P460,P556,PUBLIC_SITE_REUSES,TERM_2,None,Logical connection
P488,P528,TERMINOLOGY_SHARED,TERM_17,None,Logical connection
P558,P482,CONTRADICTS,TERM_57,None,Logical connection
P517,P448,UNLOCKS_CONTEXT,TERM_37,None,Logical connection
P494,P462,CONTRADICTS,TERM_21,None,Logical connection
P459,P516,FALSE_EXIT_VARIANT,TERM_50,None,Logical connection
P519,P546,UNLOCKS_CONTEXT,TERM_41,None,Logical connection
P475,P485,PUBLIC_SITE_REUSES,TERM_71,None,Logical connection
P517,P500,TERMINOLOGY_SHARED,TERM_51,None,Logical connection
P509,P472,EVIDENCE_PRECEDES,TERM_42,None,Logical connection
P458,P512,PUBLIC_SITE_REUSES,TERM_30,None,Logical connection
P460,P475,LOCALIZATION_RISK_SHARED,TERM_22,None,Logical connection
P471,P512,TERMINOLOGY_SHARED,TERM_97,None,Logical connection
P448,P467,FALSE_EXIT_VARIANT,TERM_61,None,Logical connection
P502,P517,FALSE_EXIT_VARIANT,TERM_97,None,Logical connection
P529,P555,SCANNER_TO_CODEX,TERM_8,None,Logical connection
P447,P487,UNLOCKS_CONTEXT,TERM_87,None,Logical connection
P477,P518,FALSE_EXIT_VARIANT,TERM_4,None,Logical connection
P506,P491,CONTRADICTS,TERM_42,None,Logical connection
P481,P505,LOCALIZATION_RISK_SHARED,TERM_56,None,Logical connection
P468,P505,UNLOCKS_CONTEXT,TERM_93,None,Logical connection
P512,P506,CONTRADICTS,TERM_26,None,Logical connection
P464,P533,PUBLIC_SITE_REUSES,TERM_96,None,Logical connection
P441,P486,SCANNER_TO_CODEX,TERM_2,None,Logical connection
P460,P449,FALSE_EXIT_VARIANT,TERM_84,None,Logical connection
P482,P524,PUBLIC_SITE_REUSES,TERM_19,None,Logical connection
P493,P499,PUBLIC_SITE_REUSES,TERM_40,None,Logical connection
