wind_x,0.78
wind_z,0.62
wind_speed,10.5
storm,0.38
foam_threshold,0.68
rain,0.18
surface_disturbance,0.28
sea_level,0
surge,0.05
gas_giant_glow,1.12
rayleigh_x,0.0048
rayleigh_y,0.0118
rayleigh_z,0.0285
mie_x,0.021
mie_y,0.018
mie_z,0.014
wave_direction_x,0,0.78
wave_direction_z,0,0.62
wave_steepness,0,0.22
wave_wavelength,0,18
wave_phase_speed,0,0.92
wave_direction_x,1,0.62
wave_direction_z,1,0.78
wave_steepness,1,0.18
wave_wavelength,1,28
wave_phase_speed,1,1.04
wave_direction_x,2,-0.44
wave_direction_z,2,0.90
wave_steepness,2,0.13
wave_wavelength,2,44
wave_phase_speed,2,1.15
wave_direction_x,3,0.92
wave_direction_z,3,-0.39
wave_steepness,3,0.09
wave_wavelength,3,70
wave_phase_speed,3,1.22
