"Role","CandidateStatus","MaterialPath","ShaderPath","TexturePaths","ActiveRouteEvidence","RiskClass","RequiredSemantics","CompactMiddleHighUltraConsequence","ProofStatus"
"sky dome / clouds","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/Celestial/MAT_SurfaceCloudPanorama_1428.mat","Assets/_Project/Art/Shaders/H8_SurfaceCloudPanorama_1428.shader","Assets/_Project/Art/TEXTURES/Sky/clod1.png; Assets/_Project/Art/TEXTURES/Sky/clod2.png","02_HECTON_WORLD scene override references MAT_SurfaceCloudPanorama_1428 on Sky_System instance per 1865/1873 static reports.","SAFE_IF_ACTIVE_AND_BRIGHT","Dual cloud textures drive lit/shadow cloud panorama; cloud opacity/softness/threshold must keep horizon readable and bright.","Compact keeps clean gradient and cloud shape; Middle adds cloud motion richness; High adds stronger cloud depth; Ultra adds layered cloud atmosphere without changing route truth.","PENDING UNITY SLOT"
"sky dome source mesh","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/Celestial/MAT_SurfaceCloudPanorama_1428.mat","Assets/_Project/Art/Shaders/H8_SurfaceCloudPanorama_1428.shader","Assets/_Project/Art/TEXTURES/Sky/clod1.png; Assets/_Project/Art/TEXTURES/Sky/clod2.png","02_HECTON_WORLD scene override uses Assets/_Project/Art/Models/SkyDome_Inverted.asset; source Sky_System.prefab still uses built-in sphere.","SOURCE_PREFAB_PRIMITIVE_RISK","Sky source prefab must use authored inverted dome, not built-in primitive sphere; material must not depend on darkness or scene override to look acceptable.","Compact keeps authored dome silhouette; Middle/High/Ultra add shader richness only after source primitive leak is closed.","PENDING SOURCE CLEANUP"
"Aegir gas giant disc/bands/storms","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/Celestial/MAT_AegirGasGiant_Impostor_1428.mat","Assets/_Project/Art/Shaders/H8_AegirGasGiantImpostor_1428.shader","Assets/_Project/Art/TEXTURES/clouds0_diff.png; Assets/_Project/Art/TEXTURES/Aegir_storms.png; Assets/_Project/Art/TEXTURES/Sky/oblakajip.png","Material serializes main/cloud/storm textures; active scene route not proven by Unity capture.","SAFE_IF_PREMIUM_CAPTURE_PROVES","Gas giant requires baked/painted band detail, storm mask, atmospheric limb softness, methane blue/purple readability, and non-sine/non-crayon banding.","Compact keeps readable disc/bands; Middle adds storm overlay; High adds limb softness and planet-shine; Ultra adds richer storm/parallax/atmosphere without changing celestial phase truth.","PENDING UNITY SLOT"
"Aegir gas giant alternate real disc","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/World/MAT_H8AegirGasGiantReal_1428.mat","URP Lit shader GUID 650dd9526735d5b46b79224bc6e94025","Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png","Static material exists; active route not proven.","SAFE_IF_PROMOTED_WITH_PROOF","Alternate Aegir texture source may provide real disc color/detail but needs shader role and capture proof before product-face use.","Compact/Middle/High/Ultra same as Aegir role; do not swap route truth or phase semantics by quality tier.","PENDING UNITY SLOT"
"Aegir baked disc surface card","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/World/MAT_H8SurfaceGasGiantDisc_1428.mat","URP Lit shader GUID 650dd9526735d5b46b79224bc6e94025","Assets/_Project/Art/TEXTURES/TX_H8AegirGasGiantBakedDisc_1428.png","Scene contains SURFACE_GAS_GIANT_1428 static name hits; active draw/quality unknown.","SAFE_IF_CAPTURE_PROVES_SCALE","Baked disc card must be a celestial backdrop/impostor only; no muddy static blob; needs atmospheric edge and scale relationship to sky.","Compact keeps disc silhouette; Middle adds texture detail; High/Ultra add atmospheric halo only as presentation.","PENDING UNITY SLOT"
"moons / celestial bodies","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Ione.mat; Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Khepri.mat; Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Nammu.mat; Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Pelagia.mat; Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Thalos.mat; Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Varda.mat","Assets/_Project/Art/Shaders/Hecton_CelestialMoon.shader","MISSING_SOURCE_REQUIRED for explicit moon albedo/normal/phase texture paths in this audit scope","HectonCelestialEngine caches moon renderers and applies moon MaterialPropertyBlock values; concrete active scene materials not proven by capture.","MISSING_SOURCE_REQUIRED","Moon material route must define albedo/normal/phase-index semantics, terminator/phase shadow, silhouette readability, and texture identity per body.","Compact keeps clear moon silhouettes and phase; Middle adds surface map read; High adds phase shadow/planet-shine; Ultra adds atmospheric/occlusion polish.","PENDING UNITY SLOT"
"surface ocean water / normal / swell","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat","Assets/Crest/Crest/Shaders/Ocean.shader","Assets/_Project/Art/TEXTURES/TX_H8_SurfaceWaterNormals_1428.asset; Assets/Crest/Crest/Textures/Foam2.png; Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png","First-party material exists, but Ocean_Crest.prefab/02_HECTON_WORLD evidence from 1865/1873 still points active Crest route at Assets/Crest/Crest/Materials/Ocean.mat.","CANDIDATE_NOT_ACTIVE_PROVEN","Surface ocean must use readable albedo, BC5-like normal role, foam texture, smoothness response, refraction/specular identity, and no darkness cover-up.","Compact keeps beautiful ocean color/specular/foam with low subdivision; Middle adds richer normals; High adds reflections/material depth; Ultra adds stronger foam/caustic hints and longer residency.","PENDING RELINK/UNITY SLOT"
"surface ocean active Crest package material","EXISTING_ACTIVE_STATIC_ROUTE","Assets/Crest/Crest/Materials/Ocean.mat","Assets/Crest/Crest/Shaders/Ocean.shader","Assets/Crest/Crest/Textures/WaveNormals/WaveNormals.png; Assets/Crest/Crest/Textures/Foam2.png; Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png","Ocean_Crest.prefab and scene static reports show Crest ocean material route uses package Ocean.mat.","THIRD_PARTY_INTEGRITY_CONSTRAINED","Crest material may be assigned as asset; do not clone/mutate third-party material as shortcut. Needs capture proof for surface/readability/waterline.","Compact keeps Crest ocean readable; Middle/High/Ultra add sensory richness only through proven settings/material route, not runtime clones.","PENDING UNITY SLOT"
"foam / waterline / ribbons","CREDIBLE_EXISTING_SOURCE","Assets/_Project/Art/Materials/World/MAT_H8SurfaceShoreFoam_1428.mat; Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat","Assets/_Project/Art/Shaders/H8_ShorelineFoamRibbon_1428.shader; URP Lit shader GUID 650dd9526735d5b46b79224bc6e94025","Assets/_Project/Art/TEXTURES/foam.png","Scene contains SURFACE_FOAM_RIBBON and H8_WORLD_SHORELINE_FOAM_ONLY names; active visual quality not proven.","SAFE_IF_CAPTURE_PROVES_WATERLINE","Foam masks/ribbons must be translucent shoreline/waterline identity, with depth fade, soft edge, cyan-white foam color, no dirty storm-only substitution for normal day.","Compact keeps sparse readable foam; Middle adds more shoreline ribbon density; High adds breakup/refraction; Ultra adds richer foam layering.","PENDING UNITY SLOT"
"storm / dirty foam","CONSTRAINED_EVENT_ONLY","Assets/_Project/Art/Materials/World/MAT_SurfaceSplashFoamDirty_1428.mat","Assets/_Project/Art/Shaders/H8_ShorelineFoamRibbon_1428.shader","Assets/Crest/Crest/Textures/foam.png","Material exists; no active proof.","WEATHER_ONLY","Dirty foam can be storm/event contamination overlay only; it cannot be the normal surface proof material.","Compact/Middle/High/Ultra may vary intensity/density continuously during storm only; normal surface remains bright/readable.","PENDING UNITY SLOT"
"storm ocean surface","CONSTRAINED_EVENT_ONLY","Assets/_Project/Art/Materials/World/MAT_SurfaceStormWater_1428.mat","Assets/_Project/Art/Shaders/Hecton_StormOceanSurface.shader","Assets/_Project/Art/TEXTURES/TX_SurfaceOceanInterference_1428.asset","Material exists; no active proof.","WEATHER_ONLY","Storm water may darken during storm windows only; must still preserve wave read and route cues, not hide weak art.","Compact keeps readable storm silhouettes; Middle adds interference; High/Ultra add spray/specular violence only in event scope.","PENDING UNITY SLOT"
"Crest hidden albedo/oil input","EXISTING_HIDDEN_INPUT_SOURCE","Assets/_Project/Art/Materials/MAT_SargassumOilFilm.mat","Assets/_Project/Scripts/Plugins/Crest/Shaders/Crest_SargassumOilFilm.shader","Runtime facade texture via SargassumCrestDampingController OilFilmMaskTexture; no authored source texture serialized","Ocean_Crest.prefab has SargassumOilFilmInput primitive plane with RegisterAlbedoInput/_disableRenderer; SargassumCrestDampingController disables/scales legacy inputs in code.","HIDDEN_INPUT_ONLY_NOT_VISIBLE_ART","Oil film must be a Crest data input/facade mask, not visible plane art. If visible, fail. Mask encodes density/cut holes/alpha oil sheen.","Compact lowers facade resolution smoothly; Middle/High/Ultra increase mask resolution/detail, never expose primitive plane.","PENDING FRAME DEBUGGER/UNITY SLOT"
"Crest hidden wave damping input","EXISTING_HIDDEN_INPUT_SOURCE","Assets/_Project/Art/Materials/MAT_SargassumWaveDamping.mat","Assets/_Project/Scripts/Plugins/Crest/Shaders/Crest_SargassumWaveDamping.shader","Runtime facade texture via SargassumCrestDampingController WaveDampingMaskTexture; no authored source texture serialized","Ocean_Crest.prefab has SargassumWaveDampingInput primitive plane with RegisterAnimWavesInput/_disableRenderer; controller caches and can suppress renderer.","HIDDEN_INPUT_ONLY_NOT_VISIBLE_ART","Wave damping mask encodes canopy density/cut relief. It may affect ocean behavior, not appear as visible primitive sheet.","Compact lowers facade resolution and effect sharpness; Middle/High/Ultra increase mask fidelity while preserving route truth.","PENDING FRAME DEBUGGER/UNITY SLOT"
"Crest hidden foam damping input","EXISTING_HIDDEN_INPUT_SOURCE","Assets/_Project/Art/Materials/MAT_SargassumFoamDamping.mat","Assets/_Project/Scripts/Plugins/Crest/Shaders/Crest_SargassumFoamDamping.shader","Runtime/input mask; no authored source texture serialized","Ocean_Crest.prefab has SargassumFoamDampingInput primitive plane with RegisterFoamInput/_disableRenderer; scene override disables renderer per 1865/1873.","HIDDEN_INPUT_ONLY_NOT_VISIBLE_ART","Foam damping suppresses/generated foam in sargassum canopy; it cannot become visible green/black plane art.","Compact keeps coarse damping; Middle/High/Ultra add smoother foam response only with Frame Debugger proof.","PENDING FRAME DEBUGGER/UNITY SLOT"
"Sargassum oil / wave / foam damping controller","EXISTING_SCRIPT_ROUTE","Assets/_Project/Art/Materials/MAT_SargassumOilFilm.mat; Assets/_Project/Art/Materials/MAT_SargassumWaveDamping.mat; Assets/_Project/Art/Materials/MAT_SargassumFoamDamping.mat","Assets/_Project/Art/Shaders/Hecton_SargassumDampingFacade.compute","Runtime RenderTexture outputs; density/cut mask globals","SargassumCrestDampingController exposes WaveDampingMaskTexture/OilFilmMaskTexture and publishes global mask textures.","SAFE_IF_RUNTIME_PROOF_EXISTS","Controller semantics: density texture + cut mask -> public facade textures for ocean inputs. Must remain visual-realistic fake and not create runtime material clones.","Compact facade resolution scale 0.35; Middle interpolates; High/Ultra reach 1.0 and add richer facade detail, no gameplay truth change.","PENDING PROFILER/GC/FRAME DEBUGGER SLOT"
"SargassumMicroFaunaBoids material / mesh / texture role","PARTIAL_EXISTING_SOURCE_WITH_MISSING_MESH","Assets/_Project/Art/Materials/MAT_SargassumMicroFaunaBoids.mat","Assets/_Project/Scripts/BoidFishInstanced.shader; Assets/_Project/Art/Shaders/SargassumMicroFaunaBoids.compute","MISSING_SOURCE_REQUIRED for VAT position/normal textures; optional neutral flow texture Assets/_Project/Art/TEXTURES/RuntimeFallbacks/TX_H8NeutralAbyssalFlow_1x1x1_1428.asset","Ocean_Crest.prefab binds boidMaterial and compute, but boidMesh is Unity built-in plane 10209 and VAT textures are null.","LEGACY_PRIMITIVE_PRESENTATION_RISK","Micro-fauna needs authored non-primitive mesh or designed impostor/card atlas/VAT. Shader uses boid buffer, optional VAT, hit flash, dither keep, parasite/aggression states.","Compact reduces count/cadence/dither keep and preserves biological read; Middle increases count; High adds VAT/material motion; Ultra adds density/flash/secondary motion without route truth changes.","MISSING_SOURCE_REQUIRED"
"surface sky noir gradient","CONSTRAINED_LEGACY_RISK","Assets/_Project/Art/Materials/World/MAT_H8SurfaceSkyNoirGradient_1428.mat; Assets/_Project/Art/Materials/MAT_SurfaceSkyDomeNoir_1428.mat; Assets/_Project/Art/Materials/MAT_SurfaceNoirProceduralSkybox_1428.mat","URP Lit shader GUID 650dd9526735d5b46b79224bc6e94025; built-in procedural skybox for SurfaceNoirProceduralSkybox","Assets/_Project/Art/TEXTURES/TX_H8SurfaceSkyNoirGradient_1428.asset; Assets/_Project/Art/TEXTURES/TX_SurfaceSkyNoirGradient_1428.asset","Scene contains SURFACE_SKY_DOME_NOIR_1428 and static material names; no proof that use is event-scoped.","LEGACY_RISK_EVENT_ONLY","Noir sky gradients may be eclipse/storm/deep psychological event cards only. They cannot define normal surface sky or hide weak Aegir/cloud art.","All tiers must keep normal surface bright; event darkness scales occlusion continuously with readability floor and cannot crush exposure.","PENDING UNITY SLOT"
"depth / abyss / fog / haze materials","CONSTRAINED_DEEP_ONLY","Assets/_Project/Art/Materials/MAT_NoirDepthFog.mat; Assets/_Project/Art/Materials/MAT_H8WorldDeepAbyss_1428.mat; Assets/_Project/Art/Materials/MAT_H8WorldDepthCurtain_1428.mat; Assets/_Project/Art/Materials/World/MAT_WorldDepthHazeSignal_1428.mat","Various first-party shaders/materials; exact shader role not fully audited here","No surface texture role accepted","Scene contains depth/noir names; depth route active quality not proven.","DEEP_ONLY","These belong to depth, cave, interior, pressure, or abyss staging. They are forbidden as normal surface/ocean proof.","Compact keeps route silhouettes and instrument cues; Middle/High/Ultra add density/shafts only below proper depth/event scope.","PENDING UNITY SLOT"
"photic shallows water clarity","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED","No specific shallow refraction/clarity/caustic material package was proven active in this static audit beyond Crest ocean and foam candidates.","MISSING_SOURCE_REQUIRED","Needs explicit shallow clarity material/shader route: extinction color, refraction normal, caustic hint, seabed visibility, surface underside, no generic blue fog.","Compact preserves clear route cues and ocean color; Middle adds caustic/readback richness; High/Ultra add shafts/detail without navigation truth dependency.","PENDING SOURCE PACKAGE"
