Category,AssetFamily,RepresentativePaths,CurrentDisposition,RouteMoment,EvidenceClass,BlockingRisk,OwnerNextAction,RejectionRule,LowTierConsequence,MiddleTierConsequence,HighTierConsequence,UltraTierConsequence
"ReviewQueue","Visual asset review queue","Docs/AssetAudit/VISUAL_ASSET_REVIEW_QUEUE_20260605.csv","DISPATCH_ORDER_ONLY","surface first view; first exit; photic shallows","STATIC_DOC","queue is not proof","Use as owner order; start P0 water and proxy flora first","Do not treat queue row as visual acceptance","Preserve bright readable route while lowering density only","Require route-owned PBR and material proof","Extend residency only after proof","Spend extra budget on richer dressing after proof"
"ReviewQueue","Mesh prefab review queue","Docs/AssetAudit/MESH_PREFAB_REVIEW_QUEUE_20260605.csv","DISPATCH_ORDER_ONLY","geology traversal; photic route dressing","STATIC_DOC","queue is not prefab or material proof","Use as promotion/rejection order for mesh owners","Do not promote without Unity prefab/material readback","Use proven LOD meshes only; no primitive proxy fallback","Require LOD/collider/material proof","Keep LOD0/LOD1 longer after proof","Increase density and material detail after proof"
"Texture","Waterline foam/contact","Assets/Crest/Crest/Textures/foam.png; Assets/_Project/Art/TEXTURES/foam.png; Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605","REJECTED_SUPPORT_OR_SOURCE_ONLY","surface; shoreline; photic first impression","STATIC_IMAGE_QA","flat cyan/turquoise sheet can affect active world/ocean route","Author cleaned contact masks; prove Crest/ocean slots and bright shoreline screenshot","Reject if turquoise sheet remains visible or Crest wrapper/clone is used","No flat foam fallback; preserve waterline breakup with compressed maps","Route-owned contact material and masks after proof","Higher source bake and wet-edge detail after proof","Layered micro-breakup only after memory/render proof"
"Texture","Aegir hero disc/cloud bands","Assets/_Project/Art/TEXTURES/TX_H8AegirGasGiantBakedDisc_1428.png; Assets/_Project/Art/TEXTURES/clouds0_diff.png; CleanupPass AegirCloud sources","SOURCE_CANDIDATE_READBACK_BLOCKED","surface sky first-viewport signal","STATIC_IMAGE_QA","old baked disc reads soft/toy-like; cleanup storm masks remain source-only","Read Mat_HectonSky/Aegir slots; prove bright surface screenshot","Reject toy marble, blob storm mask, stale slot, or crushed/dark surface","Use lower mips only if Aegir still reads premium","Use route-owned sky material and channel proof","Extend cloud/detail residency after proof","Layer atmosphere/detail without changing route authority"
"Material","Sky/cloud slots","Assets/_Project/Art/Materials/Mat_HectonSky.mat; oblaka!.png; bo3.png; clouds0_diff.png","MATERIAL_BINDING_UNPROVEN","surface and sky readability","STATIC_SOURCE","static refs do not prove effective shader slot binding","Unity material/skybox slot readback; capture cloud layer screenshot","Reject stale/unbound slots or sky used to hide weak art","Keep sky bright/readable; no dark fog cover","Prove layered cloud material route","Increase cloud detail after proof","Use richer layered sky only after Frame Debugger proof"
"Texture","Wet basalt/shell/sand terrain","Assets/_Project/Art/TEXTURES/Terrain Textures; Docs/GeneratedAssets/Batch31_LocalPBR","CANDIDATE_CLEAN_PBR_BLOCKED","shoreline; photic terrain; traversal surface","STATIC_SOURCE","generated/direct sources risk baked light, repetition, muddy broad terrain","Build cleaned PBR packs; prove import roles, tiling, terrain material, screenshot","Reject blurry mud, baked-light source, repeated ridges, or random scan as route art","Preserve wet rock/sand identity with compressed maps and baked AO","Use route-owned PBR stack and tiling breakup","Add detail normals and decals after proof","Increase material layering and decal density after proof"
"Texture","Flora/coral imported stacks","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported","CANDIDATE_BLOCKED_BY_MATERIAL_IMPORT_PROOF","photic shallows organic dressing","STATIC_SOURCE","active proxy materials and streaming mip/import risks remain","Resolve final material binding, import roles, alpha/dither, LOD screenshot","Reject proxy-flat, candy-gradient, alpha-blend overdraw, or unproven binding","Keep organic silhouette and material read; reduce density smoothly","Use final family materials and stable LOD crossfade","Extend LOD residency and detail maps after proof","Increase near-field density/detail after proof"
"Prefab","ProceduralFinals geology","Assets/_Project/Prefabs/Nature/Rocks/ProceduralFinals","STATIC_GEOMETRY_CANDIDATE_ONLY","route geology; cave entrance; traversal silhouettes","STATIC_DOC","material/import/collider/LOD transition proof absent","Unity prefab/material readback; collider proxy and LOD proof; route screenshot","Reject primitive-looking rock, wrong collider, missing LOD, or unproved material","Use only if final material/LOD proof exists; no primitive substitution","Route-owned geology dressing with stable LOD","Longer LOD residency and stronger detail after proof","Higher density rock breakup after proof"
"Prefab","Baked flora pool","Assets/_Project/Prefabs/Nature/Flora/Baked","CANDIDATE_MESH_POOL_BLOCKED_BY_PROXY_MATERIAL","photic route dressing","STATIC_DOC","89 prefabs resolve to WorldProceduralProxy materials in static evidence","Replace/prove final non-proxy material; alpha/dither and silhouette proof","Reject visible placement while proxy materials remain","No proxy fallback; preserve silhouettes with fewer proven instances","Final material and LOD proof before placement","Longer LOD0/LOD1 residency after proof","Denser near-field flora only after Stats proof"
"Prefab","BioForge shallows kelp/tube coral","Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows/Kelp; Assets/_Project/Prefabs/Nature/Flora/BioForge/Shallows/TubeCoral","CANDIDATE_SOURCE_POOL_BLOCKED_BY_MATERIAL","photic shallows route dressing","STATIC_DOC","shared proxy material blocks final placement","Separate family readback; final material route; LOD/silhouette screenshot","Reject if shared proxy material remains or route screenshot reads generated placeholder","Use no visible proxy stand-in; reduce density only","Route-owned organic material and LOD proof","Add richer detail and longer LOD residency","Increase dense route dressing only after proof"
