source_file,release_set_id,packet_id,article_id,locale_count,missing_locales,scanner_length,field_note_present,hazard_action_tag,issue_flags,scanner_en_US,field_note_en_US
P001_CRASH_SHELF.json,,P001_CRASH_SHELF,hecton8.crash_shelf,15,,116,yes,hazard|action,,"Bathy-drop wreckage. Crush frame intact, ascent package destroyed. This craft can keep you alive, not take you home.","If the drop shell is still holding pressure, do not strip it bare. A bad shelter is worth more than a clean inventory."
P002_BLACK_KEEL_CONTACT.json,,P002_BLACK_KEEL_CONTACT,black_keel.contact,15,,61,yes,tool,scanner_low_action_signal,"Old relay mast. Salted, bent, still pointed at the right sky.","When a carrier asks what you found before it asks if you are breathing, you are not the client. You are the tool."
P003_BARNARD_MARK.json,,P003_BARNARD_MARK,player.barnard_mark,15,,102,yes,none_detected,scanner_low_action_signal,Barnard Yards stamp. Not Deep Reach issue. Somebody brought home equipment to the bottom of this moon.,You can ignore a dead corporation. Harder to ignore a wrench from your own yard.
P004_BLUE_DEBT.json,,P004_BLUE_DEBT,resource.blue_debt,15,,106,yes,hazard|action,,Pressure-kept Xenon-Omega residue. Stable only inside hostile conditions. Do not vent near warm cabin air.,Blue debt pays because it bites twice. Once when you carry it. Again when somebody learns you have it.
P005_REPAIR_SCAR.json,,P005_REPAIR_SCAR,atlas.repair_scar,15,,116,yes,action,scanner_low_action_signal,Biological growth follows cable geometry with non-random spacing. Energy leakage alone does not explain the pattern.,Bad welds look messy. This does not. That is the problem.
P007_BRINE_STAIR.json,,P007_BRINE_STAIR,hecton8.brine_stair,15,,88,yes,depth_route,,High-density brine layer. Sonar returns bend at the boundary. Buoyancy model unreliable.,Your hull rating tells you when metal gives up. Brine tells you when you were arrogant.
P008_EVACUATION_HOLD.json,,P008_EVACUATION_HOLD,colony.evacuation_hold,15,,65,yes,hazard,,Emergency transit gate. Mechanism locked during pressure failure.,People die fast in the deep. Paperwork kills slower. Both work.
P009_BOTTOM_FACTORY.json,,P009_BOTTOM_FACTORY,atlas.bottom_factory,15,,71,yes,hazard|action|depth_route,field_note_poetic,"Fluid conduit, data route, and living membrane share one pressure skin.",Calling this a base makes you stupid. Bases end at walls.
P010_PAYLOAD_WINDOW.json,,P010_PAYLOAD_WINDOW,ending.payload_window,15,,95,yes,action|depth_route,,"Improvised ascent package. It can leave the ocean if mass, weather, and carrier geometry agree.",Getting out is a route. Getting out clean is a myth.
RS002_DEEPENING_DESCENT.packets.json,RS002_DEEPENING_DESCENT,P006_DEAD_CLAIM_CACHE,marauder.dead_claim_cache,15,,61,yes,depth_route,,Hidden field cache. Packed by someone who expected to return.,"If a map says safe twice, it was written by someone trying to convince himself."
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P011_DOMAIN_MARKS_2190,human.domain_marks_2190,15,,82,yes,action|tool|depth_route|resource_processing,,"Mixed domain markings. Sol safety plate, Barnard tool stamp, Luyten route custody.",Humanity got big. Rescue still has to travel.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P012_RELAY_SPINE,transit.relay_spine,15,,71,yes,tool,scanner_low_action_signal|scanner_authoring_spec,Stale relay buffer. Outbound packet age exceeds local rescue relevance.,A message can be true and still arrive after you are bones.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P013_NEARLIGHT_SHIP_CLASSES,ships.nearlight_classes,15,,95,yes,none_detected,scanner_low_action_signal,"Transit manifest lists needleprobe, seed ship, mass carrier, sleeper transport, system carrier.",Ships are not freedom. Ships are schedules with engines.
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P014_AEGIR_ROUTE_WINDOW,aegir.route_window,15,,84,yes,none_detected,scanner_low_action_signal,"Local ephemeris table. Comm, tide, radiation, and carrier geometry share one window.","On HECTON-8, weather is local and orbital at the same time."
RS003_HUMAN_SPACE_AEGIR_ROUTE.packets.json,RS003_HUMAN_SPACE_AEGIR_ROUTE,P015_BLACK_KEEL_LEDGER,ships.black_keel_ledger,15,,99,yes,resource_processing,,"Claim-pool tender ledger. Public carrier custody, insurance debt, hidden Deep Reach priority hooks.",The ship can help you without being on your side.
RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P016_AEGIR_HOST_STAR,location.aegir.host_star,15,,104,yes,depth_route,,"K-type primary light confirmed. Surface illumination exists; depth, storms and eclipse do the dark work.",The star is not the horror. The ocean is.
RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P017_AEGIR_MOON_LADDER,location.aegir.moon_ladder,15,,120,yes,action|depth_route,scanner_low_action_signal,"Moon sequence resolved: Cinder, Hook, Glass, Switch, Drywell, Brinehook, Rake, HECTON-8, Pale, Longmark, Grave, Farline.","The sky is a mechanism, not scenery."
RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY,P018_HECTON8_DROWNED_GEOLOGY,location.hecton8.drowned_geology,15,,113,yes,action|depth_route,,"Layered shelf, canyon, brine stair and vent geometry. This moon teaches descent through terrain, not level gates.","The safest route is a reading, not a corridor."
