packet_id,field,chars,limit,status
P017_AEGIR_MOON_LADDER,title,17,80,ok
P017_AEGIR_MOON_LADDER,scanner,126,180,ok
P017_AEGIR_MOON_LADDER,field_note,81,220,ok
P017_AEGIR_MOON_LADDER,terminal,124,260,ok
P017_AEGIR_MOON_LADDER,audio,42,140,ok
P017_AEGIR_MOON_LADDER,in_game_wiki,347,900,ok
P017_AEGIR_MOON_LADDER,external_site,153,320,ok
P018_HECTON8_DROWNED_GEOLOGY,title,15,80,ok
P018_HECTON8_DROWNED_GEOLOGY,scanner,116,180,ok
P018_HECTON8_DROWNED_GEOLOGY,field_note,46,220,ok
P018_HECTON8_DROWNED_GEOLOGY,terminal,162,260,ok
P018_HECTON8_DROWNED_GEOLOGY,audio,45,140,ok
P018_HECTON8_DROWNED_GEOLOGY,in_game_wiki,352,900,ok
P018_HECTON8_DROWNED_GEOLOGY,external_site,161,320,ok
P020_HECTON8_ECOLOGY_REGISTRY,title,16,80,ok
P020_HECTON8_ECOLOGY_REGISTRY,scanner,135,180,ok
P020_HECTON8_ECOLOGY_REGISTRY,field_note,42,220,ok
P020_HECTON8_ECOLOGY_REGISTRY,terminal,139,260,ok
P020_HECTON8_ECOLOGY_REGISTRY,audio,68,140,ok
P020_HECTON8_ECOLOGY_REGISTRY,in_game_wiki,354,900,ok
P020_HECTON8_ECOLOGY_REGISTRY,external_site,145,320,ok
P031_PHOTIC_SHELF_LIFE,title,17,80,ok
P031_PHOTIC_SHELF_LIFE,scanner,131,180,ok
P031_PHOTIC_SHELF_LIFE,field_note,92,220,ok
P031_PHOTIC_SHELF_LIFE,terminal,130,260,ok
P031_PHOTIC_SHELF_LIFE,audio,54,140,ok
P031_PHOTIC_SHELF_LIFE,in_game_wiki,354,900,ok
P031_PHOTIC_SHELF_LIFE,external_site,170,320,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,title,15,80,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,scanner,134,180,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,field_note,55,220,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,terminal,149,260,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,audio,82,140,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,in_game_wiki,402,900,ok
P032_PRESSURE_LADDER_DEPTH_BANDS,external_site,140,320,ok
P033_CABLE_REEF_SYMBIOSIS,title,20,80,ok
P033_CABLE_REEF_SYMBIOSIS,scanner,111,180,ok
P033_CABLE_REEF_SYMBIOSIS,field_note,78,220,ok
P033_CABLE_REEF_SYMBIOSIS,terminal,134,260,ok
P033_CABLE_REEF_SYMBIOSIS,audio,54,140,ok
P033_CABLE_REEF_SYMBIOSIS,in_game_wiki,405,900,ok
P033_CABLE_REEF_SYMBIOSIS,external_site,147,320,ok
