"id","family","variant","intended_role","prompt_path_or_inline_prompt","candidate_path","qa_preview_path","status","rejection_gate","global_quality_weight_consequence","unity_owner_needed"
"G1905-001","SHORELINE","foam_lace_tile","Shoreline foam lace source for packed ribbon masks","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-001","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW 0.00-0.30 sparse 1024 source; 0.31-0.60 stronger breakup masks; 0.61-0.85 2048 blends; 0.86-1.00 dense foam lace source without route truth change.","YES"
"G1905-002","SHORELINE","foam_ribbon_flow","Long shoreline foam ribbon strand source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-002","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales ribbon mask resolution, strand density, and secondary breakup intensity continuously.","YES"
"G1905-003","SHORELINE","waterline_wetness","Wet/dry basalt transition source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-003","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales wetness mask precision, salt-band detail, and decal density; compact keeps readable wet/dry identity.","YES"
"G1905-004","SHORELINE","wet_basalt_strata","Wet basalt close material source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-004","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales source size and normal derivation precision; gameplay route and collider truth unchanged.","YES"
"G1905-005","SHORELINE","basalt_sediment","Basalt sediment and black sand waterline mix","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-005","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales sediment grain resolution, shell-fleck density, and blend-mask precision.","YES"
"G1905-006","SHORELINE","salt_grime_rock","Salt-stained rock and waterline grime","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-006","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales overlay decal size, grime frequency, and wetness contrast continuously.","YES"
"G1905-007","TERRAIN","terrain_basalt_layer","Terrain basalt sediment layer source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-007","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales terrain source resolution and macro/micro blend strength; compact still preserves material identity.","YES"
"G1905-008","TERRAIN","black_sand_shell","Black sand with shell/mineral fragments","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-008","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales fragment density and detail normal derivation, not resource or route truth.","YES"
"G1905-009","FLORA_CORAL_KELP","branching_coral_surface","Branching coral calcified surface source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-009","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales pore density, pigment variation, and atlas source resolution; vertex color semantics remain separate.","YES"
"G1905-010","FLORA_CORAL_KELP","plate_coral_surface","Plate coral porous layered surface source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-010","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales pore/edge mask detail and source size; compact keeps recognizable plate-coral material.","YES"
"G1905-011","FLORA_CORAL_KELP","kelp_blade_microfibers","Kelp blade microfiber source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-011","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales fiber normal strength, tear decal density, and atlas resolution continuously.","YES"
"G1905-012","FLORA_CORAL_KELP","kelp_holdfast_root","Kelp holdfast/root surface source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-012","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales cavity/source detail and root material mask precision; anchor identity is mesh-owned.","YES"
"G1905-013","FLORA_CORAL_KELP","shallow_biofilm","Shallow biofilm and algae mineral crust source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-013","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales decal intensity and density; it cannot replace material truth or hide primitive meshes.","YES"
"G1905-014","FLORA_CORAL_KELP","coral_polyp_emission_mask","Coral polyp luminous pore source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-014","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales optional emission density and mask precision; gameplay readability does not depend on glow.","YES"
"G1905-015","PRODUCT_FACE","oxidized_tool_paint","Oxidized industrial tool paint wear source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-015","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales chip/decal density and near-field source resolution; tool verb truth unchanged.","YES"
"G1905-016","PRODUCT_FACE","salt_scratched_metal","Salt-scratched bare metal source","Docs/GeneratedAssets/Gemini/Batch19/1905/1905_GEMINI_PROMPT_PACK.md#G1905-016","","","PENDING_GENERATION","BLOCKED_BY_TOOL_ACCESS","GQW scales scratch density, roughness variation, and micro-normal detail.","YES"
