folder,ledger_rows,classes,candidate_dispositions,total_size_mb,max_width,max_height,high_resolution_rows_2048_plus,missing_meta_rows,mipmaps_off_rows,streaming_mips_off_rows,docs_generated_rows,usage_rows,active_build_scene_user_rows,visible_route_user_rows,proxy_placeholder_usage_rows,blocker_rows,highest_priority,primary_blocker,next_packet_or_owner
Assets/_Project/Art/Models/Rocks/Rock 6/rock6,3,terrain_geology:3,UNASSIGNED_STATIC_SOURCE:3,10.457,2048,2048,3,0,0,0,0,3,0,0,0,0,NONE_STATIC,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/Models/Rocks/Rock 7/Materials,1,terrain_geology:1,UNASSIGNED_STATIC_SOURCE:1,5.009,4000,4000,1,0,0,0,0,1,0,0,0,0,NONE_STATIC,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY),12,terrain_geology:12,UNASSIGNED_STATIC_SOURCE:12,56.940,2048,2048,12,0,0,0,0,6,0,3,3,3,P0,Proxy/placeholder material route touches this folder; reject visible promotion until final material readback exists.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/Models/Sandbox,2,terrain_geology:2,SOURCE_CANDIDATE_NEEDS_CLEAN_PBR:2,9.831,2048,2048,2,0,0,0,0,2,0,0,0,2,P2,"Terrain/geology source needs cleaned PBR roles, seam/tile proof, material binding, and bright route screenshot.",TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future terrain-geology owner
Assets/_Project/Art/Skyboxes,3,sky_aegir_cloud:3,UNASSIGNED_STATIC_SOURCE:3,4.708,1472,720,0,0,0,3,0,3,2,2,0,0,NONE_STATIC,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future sky-Aegir owner
Assets/_Project/Art/Sprites,4,ui:1;unknown:3,UI_SOURCE_ATLAS_PROOF_PENDING:1;UNASSIGNED_STATIC_SOURCE:3,0.109,601,616,0,0,4,4,0,4,0,0,0,0,NONE_STATIC,World texture rows have streaming mips disabled; importer readback and residency proof required.,UI_SPRITE_ROUTE_STATIC_TABLE_3216_20260605.md / future UI sprite owner
Assets/_Project/Art/Sprites/ui,6,ui:6,UI_SOURCE_ATLAS_PROOF_PENDING:6,9.739,1024,1024,0,0,6,6,0,0,0,0,0,0,NONE_STATIC,World texture rows have streaming mips disabled; importer readback and residency proof required.,UI_SPRITE_ROUTE_STATIC_TABLE_3216_20260605.md / future UI sprite owner
Assets/_Project/Art/TEXTURES,12,sky_aegir_cloud:4;terrain_geology:1;unknown:6;water_foam_caustic:1,REJECTED_VISIBLE_SUPPORT_ONLY:1;SOURCE_CANDIDATE_BLOCKED_BY_READBACK:2;SOURCE_PROTOTYPE_NOT_FINAL:1;UNASSIGNED_STATIC_SOURCE:8,35.065,4096,2048,6,0,0,9,0,5,4,4,0,4,P0,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future sky-Aegir owner
Assets/_Project/Art/TEXTURES/Detali,7,unknown:5;water_foam_caustic:2,UNASSIGNED_STATIC_SOURCE:7,12.802,1024,1024,0,0,0,7,0,4,1,2,0,0,NONE_STATIC,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future texture owner
Assets/_Project/Art/TEXTURES/Sky,7,sky_aegir_cloud:7,SOURCE_CANDIDATE_BLOCKED_BY_READBACK:1;UNASSIGNED_STATIC_SOURCE:6,41.721,2048,2048,7,0,0,2,0,5,5,5,0,2,P1,Serialized route users exist; active renderer/material proof and screenshot proof required.,TEXTURE_MATERIAL_FAMILY_ROUTE_MATRIX_20260605.md / future sky-Aegir owner
