priority,owner_type,domain,item,evidence_path,required_action,forbidden_action,proof_required,dependency_status
P0,SCENE_VISUAL_OWNER,SURFACE_SHALLOW,Current surface route capture and rejection pass,Docs/Screenshots/1428_current_world_surface_mismatch.png,"Recapture current surface route from player height and classify water, coast, sky, Aegir, route cue, and HUD readability","Do not use old screenshots or dark/noir/storm/fog as current pass proof","Matched Compact/Middle/High/Ultra screenshots with scene/tier/camera metadata",Independent; can consume 1909 matrix
P0,SOURCE_OPERATOR,TERRAIN_COASTLINE,Shoreline foam packed source,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,"Generate or source foam lace/ribbon/waterline masks matching shader channel needs","Do not bind flat color or opaque white strips as final foam","2x2 source QA, packed channel manifest, rejected-candidate notes",Independent; can consume 1905/1907 prompts if useful
P0,PBR_QA,TERRAIN_COASTLINE,Wet basalt and wet/dry waterline PBR stack,Docs/GeneratedAssets/Gemini/QA/1906/TX_H8_WetBasaltShoreline_1428_static_channel_QA_metrics.txt,"Accept, repair, or reject wet basalt source; derive albedo/normal/MRAO with exact shader contract","Do not import QA-only previews or high-seam source as production texture","Tile seam pass, channel derivation report, import policy proof",Independent; can consume 1906 candidate if present
P0,UNITY_IMPORT_OWNER,TERRAIN_COASTLINE,Inactive shoreline foam scene objects,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,"Inspect and activate/relink only after source and material slots are valid","Do not claim inactive objects as visible or mutate unrelated scene systems","Scene hierarchy, material binding, current waterline screenshot",Independent; requires Unity slot
P0,MATERIAL_ASSIGNMENT_OWNER,TERRAIN_COASTLINE,MAT_H8_SurfaceFoamRibbons empty texture slots,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,"Bind real packed foam mask to first-party material or duplicate first-party material in scoped owner pass","Do not mutate Crest/package assets or leave BaseMap/MainTex empty","Material binding proof plus visual capture",Depends on source/PBR QA acceptance
P0,SCENE_VISUAL_OWNER,SKY_OCEAN_AEGIR_MOON,Aegir and sky horizon integration,Docs/Screenshots/1428_surface_aegir_impostor_waterline.png,"Prove Aegir scale, limb softness, cloud band detail, sky brightness, and waterline composition in current scene","Do not use Aegir as oversized flat backdrop or crushed sky grade","Current daylight horizon screenshot and Frame Debugger proof if route changed",Independent; requires Unity slot
P0,SOURCE_OPERATOR,SKY_OCEAN_AEGIR_MOON,Moon texture and phase source roles,Docs/Reports/Batch18/1883_SKY_OCEAN_MATERIAL_TEXTURE_ROLE_PACKAGE.md,"Resolve albedo, normal, phase/terminator, and identity texture paths for each used moon","Do not treat material asset existence as texture/phase proof","Moon texture role manifest and current sky capture",Independent
P0,SOURCE_OPERATOR,FLORA_CORAL_KELP,First 30 shallow coral/kelp/geology proof stems,Docs/Reports/Batch18/1901_SHALLOW_PROOF_ARTIFACT_PRIORITY_MATRIX.csv,"Create local manifests and exact named proof plan for first wave stems","Do not clear SURFACE_SHALLOW_VISUAL_PROOF_PENDING with text only","Manifest schema fields plus named proof filenames",Independent; no required sibling dependency
P0,UNITY_IMPORT_OWNER,FLORA_CORAL_KELP,First wave shallow route visual proof,Docs/Reports/Batch18/1901_SHALLOW_PROOF_ARTIFACT_PRIORITY_RUNBOOK.md,"Capture flat/final/wire/gameplay/route views for first wave assets in Unity owner slot","Do not hide bad meshes with texture, fog, silt, darkness, or beauty-shot angles","Exact named screenshots/renders per asset stem",Depends on asset placement/capture owner slot
P0,MATERIAL_ASSIGNMENT_OWNER,PRODUCT_FACE,Package/default Lit material eradication,Docs/Reports/Batch18/1893_PRODUCT_FACE_ACTUAL_MATERIAL_ASSIGNMENT_MATRIX.csv,"Dry-run relink affected product-face prefabs to owned MAT_* role packages after source/PBR approval","Do not save prefab changes from generic AITexture binding or broad wildcard manifests","Dry-run diff, scoped allowed prefab/renderer/slot list, current close captures",Depends on ProductFace source/PBR contracts
