zapisannye idei --
Lid, prinimay zhestkiy razbor. Bez marketingovogo musora i «krasivyh slov».
Tolko to, chto spaset tvoy FPS na etoy zatychke MX350 i ne dast kodu
prevratitsya v pomoyku.

Ya razdelil vse na «Zoloto» (kritichno), «Rabochee reshenie» (horosho, no ne gorit) i
«Huynyu» (overinzhiniring ili smert dlya GPU).

Tehnicheskiy audit idey HECTON-8

| Tehnologiya                   | Sut idei                                                             | Slozhnost | Kritichnost (1-10) | Verdikt i Mnenie CTO                                                                                                                                             |
| :--------------------------- | :-------------------------------------------------------------------- | :-------- | :----------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Foveated Simulation**      | Simulyatsiya logiki po sloyam rasstoyaniya (Sim LOD).                       | Nizkaya    | **10**             | **ZOLOTO.** Obyazatelno. Glupo tratit takty i3 na rybu v 200 metrah. Esli ne vnedrim — II sozhret protsessor esche do nachala geympleya.                              |
| **GPU-Driven BRG Culling**   | Otrisovka tysyach obektov cherez BatchRendererGroup i Compute culling.  | Vysokaya   | **10**             | **ZOLOTO.** Dlya MX350 eto edinstvennyy shans vydat plotnuyu rastitelnost. Standartnyy Frustum Culling na CPU — eto smert ot tysyachi Draw Calls.                 |
| **Bit-Packed World State**   | Upakovka dannyh mira (vokseli, flora) v bity vmesto float/int.        | Srednyaya   | **9**              | **ZOLOTO.** Na MX350 shina pamyati — uzkoe mesto. Chem menshe gonyaem baytov mezhdu CPU i GPU, tem stabilnee 60 FPS. Baza dlya DOD.                                   |
| **Object Dehydration**       | Perevod dalekih obektov v chistoe «sostoyanie dannyh» bez komponentov. | Srednyaya   | **9**              | **ZOLOTO.** Esli v mire 5000 oblomkov i resursov, my ne mozhem derzhat ih kak GameObjects. Eto fundament masshtabiruemosti.                                        |
| **Async Physics Baking**     | Zapekanie kolliziy vokseley v fonovyh potokah.                        | Srednyaya   | **8**              | **ZOLOTO.** Esli planiruetsya hot kakoe-to razrushenie ili stroyka — bez etogo igra budet zaikatsya na kazhdom «kope».                                             |
| **Blue Noise Dithering**     | Umnyy shum dlya skrytiya bandinga na gradientah tumana.                  | Nizkaya    | **8**              | **ZOLOTO.** Deshevo i serdito. Daet «kartinku na million» pri minimume zatrat. Bez etogo podvodnyy mir budet vyglyadet kak deshevaya podelka 2010 goda.             |
| **SDF Shadows (Flashlight)** | Teni ot fonarya cherez Raymarching po vokselnoy setke.                 | Srednyaya   | **7**              | **RABOChEE.** Idealno dlya pescher. Izbavlyaet ot Shadow Map artefaktov i zhutkogo rashoda VRAM pod Shadow Maps. Realno kruto dlya horrora.                           |
| **MMF Saves**                | Mgnovennye sohraneniya cherez Memory-Mapped Files.                      | Srednyaya   | **6**              | **RABOChEE.** Priyatnaya ficha. Izbavit ot frizov pri avtoseyvah. Ne kritichno dlya grafiki, no vazhno dlya UX Master Grade.                                             |
| **Fake Voxel AO**            | Zatemnenie uglov pescher na osnove plotnosti vokseley.                  | Nizkaya    | **6**              | **RABOChEE.** Sdelaet kartinku v pescherah «gustoy». Namnogo deshevle chestnogo SSAO. Rekomenduyu kak zamenu tyazhelym effektam.                                         |
| **Dual-Buffer AUP**          | Dvoynaya buferizatsiya koordinat dlya plavnogo Origin Shift.              | Srednyaya   | **5**              | **RABOChEE.** Nuzhno tolko esli u nas ochen bystrye peremescheniya. V spokoynom vyzhivache mozhno oboytis gramotnym pereschetom v odnom kadre.                          |
| **SDF Sound Propagation**    | Raschet zvuka (eho, okklyuziya) cherez vokselnyy SDF.                    | Vysokaya   | **4**              | **HUYNYa.** (Na dannom etape). Zvuchit kruto, no sozhret vremya razrabotki. Luchshe yuzat prostye Raycast-proverki. Otlozhim do bety, esli ostanetsya vremya.             |
| **Parallel Command Rec.**    | Zapis komand otrisovki iz raznyh potokov i3.                         | Vysokaya   | **3**              | **HUYNYa.** Na MX350 ty upreshsya v fillreyt videokarty gorazdo ranshe, chem v skorost zapisi komand na CPU. Slishkom mnogo gemorroya s API Unity 6 radi 1% profita. |
| **GPU Fluid Dynamics**       | Chestnaya simulyatsiya techeniy vody na Compute Shader.                     | Vysokaya   | **2**              | **HUYNYa.** Dlya MX350 eto prigovor. Videokarta zadohnetsya schitat chastitsy i davleniya. Delay feykovye teni cherez skroll tekstur i chastitsy po prostym vektoram.     |

