"Project","RestoreExit","BuildExit","WarningLines","ErrorLines","SummaryWarnings","SummaryErrors"
".codex_tmp\LayoutAudit_SHINOBU_31\LayoutAudit_SHINOBU_31.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
".codexbuild\ShallowsBakeProject_20260514_030549\Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Editor\ProfilerModule\Unity.MemoryProfiler.Editor.MemoryProfilerModule.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
".codexbuild\ShallowsBakeProject_20260514_030549\Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Editor\Unity.MemoryProfiler.Editor.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
".codexbuild\ShallowsBakeProject_20260514_030549\Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Runtime\Unity.MemoryProfiler.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
".codex-build\Shinobu08Verify\Shinobu08Verify.csproj","0","1","0","32","    0 Warning(s)","    16 Error(s)"
".codex-build\SpaceEngineResearchSmokeTester\SpaceEngineResearchSmokeTester.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AIToASE.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyImpostors.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyImpostors.Runtime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyShaderEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-Editor-firstpass.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-firstpass.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AstarPathfindingProject.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AstarPathfindingProjectEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"BakeryEditorAssembly.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"BakeryRuntimeAssembly.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Crest.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Crest.Helpers.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Den.Tools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Den.Tools.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.csproj","0","0","44","0","    22 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Editor.csproj","0","0","52","0","    26 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Editor.Dependents.csproj","0","0","50","0","    25 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Samples.csproj","0","0","42","0","    21 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Scripting.csproj","0","0","50","0","    25 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Shared.csproj","0","0","44","0","    22 Warning(s)","    0 Error(s)"
"Docs\Archive\Crest_Version_Quarantine\GeneratedProject\WaveHarmonic.Crest.Shared.Editor.csproj","0","0","52","0","    26 Warning(s)","    0 Error(s)"
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\HectonSandboxAbyssalShelfStandaloneSmoke\HectonSandboxAbyssalShelfStandaloneSmoke.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\SpaceEngineResearchSmokeTester.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"EasySave3.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"EasySave3Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"GPUInstancer.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"GPUInstancer.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Bootstrap.Contracts.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Core.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Input.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Input.Generated.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.PlayModeTests.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.World.Contracts.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.World.Dots.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"JBooth.MicroSplat.Core.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"JBooth.MicroSplat.Core.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Editor\ProfilerModule\Unity.MemoryProfiler.Editor.MemoryProfilerModule.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
"Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Editor\Unity.MemoryProfiler.Editor.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
"Library\PackageCache\com.unity.memoryprofiler@485b5ba42ef5\Runtime\Unity.MemoryProfiler.csproj","1","1","0","2","    0 Warning(s)","    2 Error(s)"
"Lofelt.NiceVibrations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Lofelt.NiceVibrations.Demo.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Lofelt.NiceVibrations.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.MicroSplat.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.MicroSplat.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.Settings.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MeshBakerCore.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MeshBakerEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Authorizations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Cinemachine.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.HDRP.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.MMTools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.NiceVibrations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.PostProcessing.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.TextMeshPro.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.URP.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Tools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Tools.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"PackageToolsEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"RealtimeCSG.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"ShapesEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"ShapesRuntime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Sirenix.OdinInspector.Modules.UnityMathematics.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tayx.Graphy.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tayx.Graphy.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Technie.PhysicsCreator.Updater.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"TechniePhysicsCreator.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"TechniePhysicsCreatorEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tools\RoslynAnalyzers\Hecton8.PlatformNeutralityAnalyzer\Hecton8.PlatformNeutralityAnalyzer.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tools\SignalBusContractAuditCli\SignalBusContractAuditCli.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Core.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Universal.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Universal.Runtime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.ShaderGraph.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"VolumetricLightBeam.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"VolumetricLightBeam.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
