release_set_id,packet_id,locale,field,chars,estimated_px,max_line_px,max_word_px,bound_px,lines,max_lines,expansion_vs_en,issues,source
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,title,11,106.2,106.2,52.2,360.0,1,1,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,scanner,116,953.92,432.64,87.68,460.0,3,2,1.0,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,terminal,82,680.7,468.9,73.2,520.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,audio,109,1007.64,582.12,91.08,620.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,in_game_wiki,505,3828.3,624.0,92.7,620.0,7,5,1.0,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,external_site,218,1750.08,667.2,81.28,680.0,3,4,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,en_US,field_note,118,807.8,560.28,70.84,560.0,2,3,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,title,14,142.92,142.92,83.52,360.0,1,1,1.346,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,scanner,122,1044.16,442.24,148.8,460.0,3,2,1.095,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,terminal,80,669.9,501.0,99.6,520.0,2,2,0.984,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,audio,119,1154.88,587.16,150.84,620.0,2,2,1.146,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,in_game_wiki,527,4220.4,612.0,136.5,620.0,8,5,1.102,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,external_site,225,1914.88,678.72,111.36,680.0,3,4,1.094,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ru_RU,field_note,108,814.8,561.4,76.72,560.0,2,3,1.009,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,title,3,54.0,54.0,54.0,360.0,1,1,0.508,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,scanner,61,945.6,945.6,945.6,460.0,1,2,0.991,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,terminal,34,429.9,429.9,163.2,520.0,1,2,0.632,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,audio,51,802.44,748.44,748.44,620.0,2,2,0.796,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,in_game_wiki,198,2735.1,1409.4,1404.3,620.0,2,5,0.714,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,external_site,92,1385.28,1385.28,1385.28,680.0,1,4,0.792,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,ja_JP,field_note,44,594.72,594.72,594.72,560.0,1,3,0.736,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,title,4,72.0,72.0,72.0,360.0,1,1,0.678,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,scanner,35,529.6,529.6,529.6,460.0,1,2,0.555,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,terminal,27,370.8,370.8,370.8,520.0,1,2,0.545,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,audio,39,586.44,586.44,496.44,620.0,1,2,0.582,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,in_game_wiki,168,2285.1,1145.7,1145.7,620.0,2,5,0.597,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,external_site,79,1177.28,1177.28,1177.28,680.0,1,4,0.673,UNBREAKABLE_WORD_OVER_WIDTH,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,zh_CN,field_note,34,460.04,460.04,460.04,560.0,1,3,0.569,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,fr_FR,title,16,149.76,149.76,75.6,360.0,1,1,1.41,TEXT_EXPANSION_GT_1_35,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,fr_FR,scanner,123,982.08,439.36,89.92,460.0,3,2,1.03,TEXT_OVERFLOW_LINES,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,fr_FR,terminal,88,746.1,451.8,106.8,520.0,2,2,1.096,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
RS001_FIRST_DESCENT,P001_CRASH_SHELF,fr_FR,audio,115,1032.12,614.16,123.48,620.0,2,2,1.024,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/P001_CRASH_SHELF.json
