release_set,packet_id,route_moment,first_20_relevance,evidence_object,unlock_condition,spoiler_level,surfaces,player_decision_changed,canon_sources,localization_risk,implementation_note
RS113,P440,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P441,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P442,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P443,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P444,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P445,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P446,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P447,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P448,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS113,P449,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P450,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P451,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P452,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P453,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P454,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P455,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P456,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P457,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P458,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS114,P459,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P460,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P461,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P462,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P463,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P464,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P465,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P466,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P467,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P468,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS115,P469,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P470,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P471,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P472,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P473,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P474,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P475,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P476,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P477,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P478,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS116,P479,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P480,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P481,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P482,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P483,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P484,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P485,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P486,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P487,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P488,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS117,P489,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P490,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P491,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P492,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P493,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P494,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P495,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P496,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P497,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P498,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS118,P499,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P500,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P501,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P502,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P503,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P504,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P505,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P506,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P507,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P508,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS119,P509,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P510,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P511,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P512,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P513,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P514,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P515,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P516,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P517,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P518,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS120,P519,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P520,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
RS121,P521,Discovering terminal at depths,true,Damaged terminal,Sector cleared,Low,Terminal UI,false,Internal logs,Medium,Place near entrance
