"proof_id","route_moment","camera_position_or_scene_hint","visual_requirement","gameplay_requirement","performance_requirement","capture_type","file_naming","pass_gate","fail_gate","required_after_task","proof_label"
"1810_PROOF_01","Spawn first read","Player eye level at world entry; include Main Camera, Player start, Route_Anchor direction.","Bright readable ocean/coast/sky/Aegir first frame; HUD/instruments legible; no dark cover.","Player can identify first route direction and survival instrument state without debug map.","Console clean for current session; GCMonitor visible or profiler GC Alloc ready; no scene-search/generated-content warnings.","GameView screenshot plus console screenshot","Docs/Reports/Batch18/1810_Captures/1810_SHOT_01_spawn_first_read_<tier>_<timestamp>.png","Surface/coast/Aegir/route cue visible and HUD readable at Compact and Middle at minimum.","Empty beauty shot, black/muddy surface, UI overlap, or route cue absent.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_02","Surface Aegir horizon","Above-water view toward Aegir, moons/clouds, coast silhouette, ocean specular.","Aegir/cloud/moon texture and horizon softness read premium; no sine-stripe/gradient placeholder.","Horizon contains route or threat/engineering cue, not detached wallpaper.","Frame Debugger later names active sky/material passes; profiler cost recorded if sky path changed.","GameView screenshot and Frame Debugger note","Docs/Reports/Batch18/1810_Captures/1810_SHOT_02_surface_aegir_horizon_<tier>_<timestamp>.png","Aegir, sky, coast, ocean surface, and one route/evidence cue are readable.","Disabled/inactive sky object treated as proof, muddy Aegir, one-note purple/blue gradient, or no route cue.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_03","Waterline foam wet edge","Low waterline angle at shore/coast; include foam ribbon, wet basalt, ocean surface, underwater edge.","Water color, wave normals, specular, foam, refraction hint, and wet material edge meet surface floor.","Player can read entry/exit line and return landmark from waterline.","Frame Debugger proves water material/pass; profiler/GC proof exists for any water/foam feature; no blind Crest camera enable.","GameView screenshot plus Frame Debugger snapshot","Docs/Reports/Batch18/1810_Captures/1810_SHOT_03_waterline_foam_wet_edge_<tier>_<timestamp>.png","Premium waterline with readable entry and material identity, measured pass/cost evidence if modified.","Broad flat blue water, flat-color foam, hidden edge, or unmeasured expensive water path.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_04","Coast wet basalt close","Close coast rock view with wet/dry transition, foam contact, sediment, silhouette.","Wet basalt has strata/detail/mask response; no grey procedural blockout.","Coast works as return landmark and route context, not decorative island only.","Batches/SetPass/VRAM noted if coastline dressing changes; no runtime hero generation.","GameView screenshot and optional SceneView material inspection","Docs/Reports/Batch18/1810_Captures/1810_SHOT_04_coast_wet_basalt_close_<tier>_<timestamp>.png","Coast material, foam edge, and route silhouette hold at Compact and improve at High.","Smooth noise terrain, grey blockout, no wetness, or excessive dressing with no metrics.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_05","0-30m photic entry","Underwater 5-20 m entry toward Starter_ReefField and return cue.","Bright colorful shallows, coral/kelp/biota density, caustic hints, sediment, readable water optics.","Player can see route corridor, oxygen state, and return direction while exploring.","Profiler/GC proof for scatter/optics if changed; no random always-on particles or runtime hero mesh generation.","GameView screenshot plus profiler marker list if changed","Docs/Reports/Batch18/1810_Captures/1810_SHOT_05_0_30m_photic_entry_<tier>_<timestamp>.png","Shallows look authored, alive, and route-readable with Compact preserving beauty.","Empty rock field, aquarium blandness, over-fog, random scatter, or hidden return path.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_06","30-100m shallow route","Route_Frontier or deeper photic lane, route-facing and return-facing views.","Water remains readable, twilight only where justified; instruments and silhouettes survive.","Player can continue or retreat based on route/oxygen/pressure cues.","Water optics/render features need profiler/GC/Frame Debugger proof; no fog cover.","Paired GameView screenshots","Docs/Reports/Batch18/1810_Captures/1810_SHOT_06_30_100m_route_<tier>_<timestamp>.png","Forward and return views both readable; route cue survives without debug map.","Fog/darkness hides route, instruments unreadable, or ultra-only readability.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_07","Industrial trace route cue","Dock/sub/turbine/wreck service trace from route distance and close distance.","Trace reads as machinery/history with wet/aged materials, not primitive decoration.","Player understands this trace as evidence, route landmark, salvage risk, or machine verb.","Batches/SetPass/profiler noted if kitbash/dressing changes; no third-party asset mutation.","Wide and close GameView screenshots","Docs/Reports/Batch18/1810_Captures/1810_SHOT_07_industrial_trace_<tier>_<timestamp>.png","Industrial trace sharpens route/evidence and has premium material identity.","Primitive boxes/tubes as final, clean sci-fi plastic, or machinery with no decision value.","UNITY_SURFACE_SHALLOW_CAPTURE_PASS","PENDING UNITY SLOT"
"1810_PROOF_08","Resource node","Node_Copper_A approach from player route with geology/context and return cue.","Resource reads physically credible; no abstract sparkle or colored currency.","Player can identify and interact or scan/collect according to available tool route.","Interaction path must show no GC allocation in hot path if exercised; profiler screenshot required for acceptance.","GameView screenshot plus Play Mode interaction note","Docs/Reports/Batch18/1810_Captures/1810_SHOT_08_resource_node_<tier>_<timestamp>.png","Resource is visible, contextual, interactable if feature exists, and tied to route choice.","UI-only target, random dot, hidden by fog, or static path claimed as interaction proof.","PLAYER_FIRST20_PROOF_RUN","PENDING UNITY SLOT"
"1810_PROOF_09","Scrap salvage","Scrap_A from route distance and close salvage view.","Scrap reads as physical salvage with material wear and scale; no primitive/loot sparkle.","Player can recover or evaluate it under oxygen/return pressure where implemented.","Interaction/scan/pickup proof needs profiler/GC evidence; no runtime debris simulation without proof.","GameView screenshot plus Play Mode interaction note","Docs/Reports/Batch18/1810_Captures/1810_SHOT_09_scrap_salvage_<tier>_<timestamp>.png","Scrap has physical identity, route cost, and readable recovery state.","Primitive prop, free loot, no route cost, or interaction claim without Play Mode artifact.","PLAYER_FIRST20_PROOF_RUN","PENDING UNITY SLOT"
"1810_PROOF_10","Forward fabricator","Forward_Fabricator/Fabrication_Outpost approach and close frame.","Station reads as pressure-rated machine with labels/lights/pipes/material wear.","Player can understand fabrication/repair/build role and route anchor purpose.","Fabricator UI/interaction must prove no hot-path string/GC allocations if exercised.","GameView screenshot plus Play Mode interaction note","Docs/Reports/Batch18/1810_Captures/1810_SHOT_10_forward_fabricator_<tier>_<timestamp>.png","Fabricator is physical, readable, usable if implemented, and not menu-only.","Flat UI menu, clean sci-fi prop, primitive construction asset as hero, or no interaction proof.","PLAYER_FIRST20_PROOF_RUN","PENDING UNITY SLOT"
