packet_id,import_target,surface,owner_route,required_runtime_id,required_static_source,blocked_by,proof_needed,notes
P410_CAPSULE_SEAL_SWEAT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P410_CAPSULE_SEAL_SWEAT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P412_SHALLOW_ANNEX_P63_FIRST_PUMP,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P413_PRESSURE_DOOR_MANUAL_BYPASS,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P413_PRESSURE_DOOR_MANUAL_BYPASS,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P414_OXYGEN_RESERVE_DIRTY_MARGIN,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P416_ROUTE_BEACON_SALT_CORROSION,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P416_ROUTE_BEACON_SALT_CORROSION,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P417_MARAUDER_RECOVERY_NOTE_01,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P417_MARAUDER_RECOVERY_NOTE_01,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P418_BARNARD_YARDS_PROCEDURE_TRACE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P418_BARNARD_YARDS_PROCEDURE_TRACE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P419_BLUE_DEBT_SAMPLE_BAG_WARNING,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P420_SERVICE_CANYON_CUT_PANEL,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P420_SERVICE_CANYON_CUT_PANEL,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P421_BRINE_CANYON_DENSITY_LADDER,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P421_BRINE_CANYON_DENSITY_LADDER,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P422_VENT_FORGE_THERMAL_LEDGER,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P422_VENT_FORGE_THERMAL_LEDGER,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P423_RELAY_SPINE_ACOUSTIC_DRIFT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P424_DEEP_REACH_LIABILITY_HOLD,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P424_DEEP_REACH_LIABILITY_HOLD,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P425_ATLAS_WEIGHTING_AUDIT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P425_ATLAS_WEIGHTING_AUDIT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P426_WORKER_QUEUE_DELAY_BODYLESS,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P426_WORKER_QUEUE_DELAY_BODYLESS,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P427_BLACKOUT_WINDOW_SIGNAL_DECAY,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P428_QUARANTINE_RELEASE_DELAY,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P428_QUARANTINE_RELEASE_DELAY,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P429_SENSOR_TAGGED_FAUNA_FEEDBACK,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P429_SENSOR_TAGGED_FAUNA_FEEDBACK,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P430_MATERIAL_PAYOUT_RECEIPT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P430_MATERIAL_PAYOUT_RECEIPT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P431_PARTIAL_RETURN_LIEN_EXTENSION,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P431_PARTIAL_RETURN_LIEN_EXTENSION,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P432_CORPORATE_COORDINATE_CAPTURE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P432_CORPORATE_COORDINATE_CAPTURE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P433_QUARANTINE_HOLD_INTERROGATION,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P433_QUARANTINE_HOLD_INTERROGATION,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P434_PUBLIC_LEDGER_LEAK,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P434_PUBLIC_LEDGER_LEAK,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P435_ATLAS_SEVERANCE_RECORD,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P435_ATLAS_SEVERANCE_RECORD,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P436_PRESERVE_QUARANTINE_RECORD,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P436_PRESERVE_QUARANTINE_RECORD,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P437_PAYLOAD_WITHHOLD_BLIND_RETURN,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P437_PAYLOAD_WITHHOLD_BLIND_RETURN,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P438_NO_CLEAN_ENDING_DOSSIER,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P438_NO_CLEAN_ENDING_DOSSIER,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P439_FINAL_QUESTION_SEVERANCE_MERCY_THEFT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P410_CAPSULE_SEAL_SWEAT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P410_CAPSULE_SEAL_SWEAT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P412_SHALLOW_ANNEX_P63_FIRST_PUMP,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P412_SHALLOW_ANNEX_P63_FIRST_PUMP,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P413_PRESSURE_DOOR_MANUAL_BYPASS,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P413_PRESSURE_DOOR_MANUAL_BYPASS,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P414_OXYGEN_RESERVE_DIRTY_MARGIN,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P414_OXYGEN_RESERVE_DIRTY_MARGIN,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P416_ROUTE_BEACON_SALT_CORROSION,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P416_ROUTE_BEACON_SALT_CORROSION,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P417_MARAUDER_RECOVERY_NOTE_01,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P417_MARAUDER_RECOVERY_NOTE_01,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P418_BARNARD_YARDS_PROCEDURE_TRACE,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P418_BARNARD_YARDS_PROCEDURE_TRACE,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P419_BLUE_DEBT_SAMPLE_BAG_WARNING,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P419_BLUE_DEBT_SAMPLE_BAG_WARNING,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P420_SERVICE_CANYON_CUT_PANEL,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P420_SERVICE_CANYON_CUT_PANEL,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P421_BRINE_CANYON_DENSITY_LADDER,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P421_BRINE_CANYON_DENSITY_LADDER,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P422_VENT_FORGE_THERMAL_LEDGER,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P422_VENT_FORGE_THERMAL_LEDGER,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P423_RELAY_SPINE_ACOUSTIC_DRIFT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P423_RELAY_SPINE_ACOUSTIC_DRIFT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P424_DEEP_REACH_LIABILITY_HOLD,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P424_DEEP_REACH_LIABILITY_HOLD,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P425_ATLAS_WEIGHTING_AUDIT,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P425_ATLAS_WEIGHTING_AUDIT,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P426_WORKER_QUEUE_DELAY_BODYLESS,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P426_WORKER_QUEUE_DELAY_BODYLESS,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P427_BLACKOUT_WINDOW_SIGNAL_DECAY,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P427_BLACKOUT_WINDOW_SIGNAL_DECAY,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
P428_QUARANTINE_RELEASE_DELAY,Data/Localization,"pda, terminal, wall_scratch",Narrative Pipeline,LORE_P428_QUARANTINE_RELEASE_DELAY,RS110-112 MD,None,None,Static backlog only. Do not run Unity.
