id,domain,file,symbol_or_asset,current_behavior,why_it_reads_bad_in_game,player_distance_band,pressure_depth_band,fix_type,proposed_fix,acceptance_gate,confidence
1,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_small_floor__group,Geology mesh output fails to maintain consistent normal breaks on 45 degree edges,Edges appear smooth and melted under grazing light,0-8m,photic,Geometry,Enforce sharp normal splitting on faces exceeding 45 degrees,Normals validate as split on steep angles,High
2,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_small_floor__flat,Vertices at the base of the rock lack contact shadow blending channels,Base reads as disjointed and floating above the sand,0-8m,photic,VertexColor,Bake ambient occlusion into the blue vertex color channel at the base,Vertex blue channel contains a gradient,High
3,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__cluster,The cluster mesh aggregates individual rocks without welding intersecting faces,Z-fighting occurs at the intersection borders,0-8m,abyss,Geometry,Apply boolean union to sub-meshes before finalizing topology,No intersecting internal geometry,High
4,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__stack,Stack generator outputs identical rock variants stacked vertically,Looks unnatural and reveals the procedural generation pattern,10-20m,abyss,Generation,Force distinct rotation and scale seeds for each stack element,Elements vary by at least 15 percent,High
5,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_cluster_medium__ridge,Ridge triangulation creates degenerate triangles along the spine,Results in rendering artifacts and black pixels on the ridge,0-8m,abyss,Topology,Filter degenerate triangles during the marching cubes pass,Degenerate triangle count is zero,High
6,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_arch_large__arch,Arch curvature relies on too few segments,Faceting is highly visible when swimming through the arch,0-8m,abyss,LOD0,Increase radial segment count on the inner curve of the arch,Silhouette curvature is smooth,High
7,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_arch_large__split,Split surfaces do not carry the corresponding fracture noise,Fracture looks perfectly flat instead of sheared stone,0-8m,abyss,Geometry,Inject high-frequency noise on the interior faces of the split,Fracture plane has variance,High
8,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__ledge,Ledge tops are completely flat without sediment accumulation geometry,Lacks the realistic buildup of falling debris,0-8m,photic,Geometry,Extrude upper faces to simulate uneven sediment deposits,Top faces are non-planar,High
9,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_rock_shelf_large__wall,Wall faces stretch UVs vertically beyond the 20 percent threshold,Texture maps appear blurred and elongated,0-8m,photic,UV,Apply triplanar mapping or re-project UVs vertically,UV stretching is under 15 percent,High
10,geology,Assets/_Project/Scripts/WorldGenerativeGeologyMeshBuilder.cs,PFB_family_cave_entrance,Cave entrance mesh lacks an overhang lip,Does not feel like a natural pressure fracture,0-8m,cave,Geometry,Add a secondary voxel subtraction pass for the entrance arch,Entrance has a defined lip,High
11,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__lip,Roots penetrating the lip do not deform the rock mesh,Roots appear clipped through the stone unnaturally,0-8m,cave,Integration,Apply boolean subtraction or deformation to accommodate roots,Mesh shows penetration sockets,High
12,cave,Assets/_Project/Scripts/CaveBioRootsGenerator.cs,PFB_family_cave_entrance__shaft,Shaft walls contain inverted normals on the interior faces,Lighting renders backwards inside the shaft,0-8m,cave,Topology,Enforce consistent winding order pointing towards the center,All normals point inward,High
13,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__nest,Hazard nest geometry is a perfect hemisphere,Reads as a placed geometric primitive instead of built by fauna,0-8m,cave,Geometry,Introduce radial asymmetry and cavity noise,Nest is asymmetrical,High
14,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_hazard__vent,Vent chimneys lack the required sulfur deposit vertex colors,Vents do not look chemically active,0-8m,cave,VertexColor,Paint green vertex channel high at the chimney aperture,Green channel is above 200,High
15,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__cache,Resource cache uses a flat plane for the floor,Fails to blend with the surrounding uneven terrain,0-8m,cave,Integration,Displace floor vertices to match terrain heightmap,Floor matches terrain,High
16,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_resource__mound,Mound is too low-poly and reads as a pyramid,Fails silhouette inspection,0-8m,cave,LOD0,Subdivide mound geometry and add noise displacement,Mound silhouette is uneven,High
17,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__bubble,Safe bubble walls have zero thickness,Backface culling makes the walls disappear from the outside,10-20m,cave,Geometry,Extrude walls outward to provide thickness,Walls have positive thickness,High
18,cave,Assets/_Project/Scripts/WorldCaveDirector.cs,PFB_family_pocket_safe__shelter,Shelter opening is a perfect circle,Looks entirely artificial and breaks immersion,0-8m,cave,Geometry,Apply Voronoi fracture to the opening edges,Opening is jagged,High
19,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low,Low coral base lacks ambient occlusion,Coral seems detached from the ground,0-8m,reef,VertexColor,Bake occlusion into the base vertices,Blue channel indicates shadow,High
20,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__bed,Coral bed consists of identical scaled instances,Fails to simulate natural varied growth,0-8m,reef,Generation,Vary rotation and branch count per instance,Instances are visibly distinct,High
21,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_low__plate,Plate coral layers intersect without a connecting stem,Plates appear to float inside each other,0-8m,reef,Geometry,Generate structural stems connecting the plates,Stems are visible and manifold,High
22,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching,Branching coral lacks taper at the tips,Branches look like severed pipes,0-8m,reef,Geometry,Scale branch radius down towards the extremities,Tips are tapered,High
23,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__branch,Branches share identical UV mapping,Texture patterns repeat obviously across all branches,0-8m,reef,UV,Offset UV islands based on branch index,UVs do not overlap,High
24,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_branching__mass,The coral mass has no internal cavities,Reads as a solid lump rather than a porous organism,0-8m,reef,Geometry,Utilize a 3D noise field to subtract internal volume,Mass contains hollow sections,High
25,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__fan,Fan coral is modeled as a single flat plane,Lacks the depth and overlapping structure of real fans,0-8m,reef,Geometry,Model overlapping intersecting layers of fan tissue,Fan has depth and overlaps,High
26,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_brittle__sprig,Sprig elements have missing backfaces,Disappears when viewed from behind,0-8m,reef,Geometry,Ensure sprigs are two-sided or utilize a thin shell mesh,Sprigs are visible from all sides,High
27,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__head,Coral head normals are overly smoothed,Loss of intricate surface detail and pits,0-8m,reef,Topology,Recalculate normals with a lower smoothing threshold,Normals retain sharp pits,High
28,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_massive__porous,Porous cavities are not deep enough,Pores look like surface decals instead of structure,0-8m,reef,Geometry,Deepen the cavity displacement map application,Cavities have physical depth,High
29,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__ledge,Ledge edges are perfectly straight,Does not resemble organic growth patterns,0-8m,reef,Geometry,Apply noise to the edge perimeter vertices,Edges are wavy and organic,High
30,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_coral_plate__shelf,Shelf coral lacks underside ambient occlusion,The bottom reads too brightly in shadows,0-8m,reef,VertexColor,Bake heavy occlusion into the underside vertices,Underside blue channel is low,High
31,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__shroud,Shroud does not contain sway data in vertex red channel,Shroud remains rigid in the water current,0-8m,abyss,VertexColor,Paint vertex red channel gradient from root to tip,Red channel drives sway,High
32,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_abyssal__strap,Kelp straps clip through each other,Breaks the illusion of physical fronds,0-8m,abyss,Simulation,Implement collision or repulsion during generation,Straps do not intersect,High
33,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__crown,Crown lacks bioluminescence mapping,Does not emit light in the dark zone,0-8m,abyss,VertexColor,Assign emissive data to the green vertex channel,Green channel contains data,High
34,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_canopy__frond,Fronds are perfectly flat,Lacks the ruffled edges of natural kelp,0-8m,abyss,Geometry,Displace edges with a sine wave pattern,Edges are ruffled,High
35,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense,Patch instances share the exact same height,Looks like an artificial crop field,10-20m,abyss,Generation,Randomize height scale between 0.8 and 1.2,Heights vary,High
36,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__grove,Grove lacks smaller undergrowth details,Floor beneath kelp is barren,0-8m,abyss,Generation,Spawn smaller flora variants around the base,Base contains undergrowth,High
37,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_patch_dense__patch,Patch density is uniform throughout,Unnatural distribution lacking clumps and clearings,10-20m,abyss,Generation,Use Perlin noise to control spawn density,Density is clustered,High
38,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall,Tall kelp stipes are perfectly straight cylinders,Stipes look manufactured rather than grown,0-8m,abyss,Geometry,Introduce bend and knuckle points along the stipe,Stipes are irregular,High
39,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__lean,Leaning kelp does not align with the predominant current,Contradicts the environmental simulation,0-8m,abyss,Integration,Orient the lean vector to the local flow field,Kelp leans with current,High
40,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_kelp_tall__stalk,Stalk lacks a defined holdfast at the base,Stalk appears glued to the floor,0-8m,abyss,Geometry,Generate root-like holdfast geometry at the bottom,Holdfast anchors the stalk,High
41,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant,Giant plant stem is too thin to support its canopy,Defies physical plausibility,10-20m,reef,Geometry,Increase base radius and taper up to the canopy,Stem radius is appropriate,High
42,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__canopy,Canopy leaves are generated without supporting ribs,Leaves appear flimsy and paper-like,0-8m,reef,Geometry,Extrude structural ribs along the center of the leaves,Leaves contain ribs,High
43,flora,Assets/_Project/Scripts/WorldGeneratedPrimitiveFactory.cs,PFB_family_plant_giant__tower,Tower structure uses a low-res texture map,Texture pixels are visible upon close inspection,0-8m,reef,Material,Increase texture resolution to 1024 px per meter,Texture passes density check,High
44,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive,Passive spawn ring lacks terrain conformity,Ring floats above uneven ground,0-8m,reef,Integration,Project vertices downward to match the terrain height,Ring conforms to terrain,High
45,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__ring,Ring geometry is a perfect torus,Fails silhouette requirement for organic objects,0-8m,reef,Geometry,Deform the torus with low-frequency noise,Ring is deformed,High
46,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_passive__stalk,Stalk is not properly welded to the ring,A visible seam exists at the intersection,0-8m,reef,Topology,Weld stalk vertices to the ring vertices,Seam is eliminated,High
47,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator,Predator spawn marker is overly bright,Breaks the moody lighting of the environment,0-8m,abyss,Material,Reduce emissive intensity on the marker,Emission is subtle,High
48,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__nest,Nest uses uniform vertex color for occlusion,Occlusion is not deeper in the crevices,0-8m,abyss,VertexColor,Calculate occlusion based on local cavity depth,Blue channel varies correctly,High
49,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_spawn_predator__tooth,Tooth geometry lacks a sharp point,Looks blunt and non-threatening,0-8m,abyss,Geometry,Ensure the tip vertex is singular and sharp,Tip is a single sharp vertex,High
50,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_abyss_apex__a,Apex zone marker is visible in normal gameplay,Reveals underlying systems to the player,0-8m,abyss,Material,Assign an editor-only or invisible material,Marker is hidden in-game,High
51,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_large_threat__a,Threat zone marker has collision enabled,Player can bump into an invisible barrier,0-8m,abyss,Collision,Disable all colliders on the marker prefab,No physical collision occurs,High
52,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_reef_apex__a,Reef apex marker renders shadows,Invisible object casting a shadow breaks immersion,0-8m,reef,Rendering,Set cast shadows to off on the renderer,No shadows are cast,High
53,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_creature_zone_ruin_apex__a,Ruin apex marker generates navmesh obstacles,Interferes with creature pathfinding unnecessarily,0-8m,ruins,Navmesh,Disable navmesh obstacle component,Does not affect navmesh,High
54,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster,Egg cluster lacks translucency,Eggs look like solid plastic balls,0-8m,cave,Material,Enable subsurface scattering or translucency in shader,Eggs appear translucent,High
55,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__clutch,Clutch arrangement is a perfect grid,Eggs do not look naturally laid,0-8m,cave,Generation,Apply organic packing algorithm to egg placement,Eggs are packed irregularly,High
56,fauna,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_egg_cluster__nest,Nest floor is entirely flat,Does not cradle the eggs physically,0-8m,cave,Geometry,Create a concave depression in the nest center,Nest is concave,High
57,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field,Debris field contains identical repeating elements,Breaks the illusion of a chaotic wreck,10-20m,abyss,Generation,Vary scale and rotation heavily for each debris piece,Debris is visually distinct,High
58,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__field,Field distribution is uniformly random,Lacks the clustered density of real scattered wreckage,10-20m,abyss,Generation,Group debris into distinct clusters,Debris is clustered,High
59,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_field__strip,Strip wreckage forms a straight line,Does not conform to the ocean floor contours,10-20m,abyss,Integration,Project strip positions to the heightmap,Strip follows the floor,High
60,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter,Scatter pieces float above the ground,Lack of grounding breaks realism completely,0-8m,abyss,Integration,Raycast downward and align to surface normals,Pieces rest on the ground,High
61,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__crate,Crate edges have perfect 90 degree angles,Fails hard-surface bevel requirement,0-8m,abyss,Geometry,Apply chamfer to all exposed crate edges,Edges are beveled,High
62,wreckage,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_debris_scatter__scrap,Scrap metal lacks thickness,Appears as infinitely thin planes,0-8m,abyss,Geometry,Extrude scrap geometry to represent metal thickness,Scrap has volume,High
63,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium,Ruin cluster lacks structural connection between parts,Parts appear haphazardly placed without architectural logic,10-20m,ruins,Generation,Ensure modules snap to logical connection points,Cluster forms a coherent structure,High
64,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__cluster,Cluster modules share the same wear pattern,Procedural rust looks identical across the entire structure,10-20m,ruins,VertexColor,Offset rust generation seed per module,Wear patterns differ,High
65,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_cluster_medium__corridor,Corridor mesh has open ends without caps,Allows the player to see inside the hollow mesh,0-8m,ruins,Geometry,Generate end caps or bulkheads for open corridors,Ends are sealed,High
66,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure,Megastructure exceeds rendering bounds,Causes culling issues when turning the camera,50m+,ruins,Bounds,Recalculate and pad the bounding box correctly,Bounds encompass the structure,High
67,hard-surface,Assets/_Project/Scripts/WorldProceduralScatterDirector.cs,PFB_family_ruin_megastructure__frame,Frame supports are too thin for the visual mass,Looks structurally unsound and flimsy,10-20m,ruins,Geometry,Thicken the support beams by 50 percent,Supports look robust,High
