"route_beat","player_moment","existing_scene_object_or_data","candidate_asset_or_material","current_static_state","visual_gap","gameplay_gap","optimization_risk","unity_action","proof_screenshot","proof_runtime_metric","compact_result","middle_result","high_result","ultra_result","rejection_gate","source_report_refs"
"spawn","Player gains first controllable read of the semi-open surface route.","Assets/_Project/Scenes/02_HECTON_WORLD.unity: Main Camera; Player; Route_Anchor","Assets/_Project/Prefabs/Suit_HUD_Canvas.prefab; Assets/_Project/Shaders/UI/Hecton_DiegeticVisorCurvedHUD.shader; Assets/_Project/Art/Materials/MAT_HUD_AcousticRadarOverlay.mat","STATIC_SOURCE: scene object names exist; no Play Mode proof","Initial view composition, exposure, ocean/coast/sky read, and HUD legibility are unproven.","Spawn orientation, first swim handoff, oxygen/readability, and route chain from spawn to anchor are unproven.","HUD/visor overlays can hide weak art or add post/compute cost without proof.","In Unity slot, capture spawn from player eye level; verify camera sees ocean, coastline, Aegir/sky, Route_Anchor direction, and no UI overlap; adjust only if route readability fails.","PENDING UNITY SLOT: 1806_SHOT_01_spawn_first_read","PENDING UNITY SLOT: 1806_METRIC_01_spawn_frame_gc_ui","Readable silhouettes, minimal HUD, no bloom cover, clear route cue.","Richer HUD/sonar support and local route hints without hiding world art.","Stronger material/sky response and more nearby route dressing.","Overkill instrument/lens detail and sensory richness; same route truth.","Reject if spawn reads as dark cover, empty beauty shot, UI-only guidance, or no player decision.","1801 Route State Classification: Player/camera entry; 1801 Candidate Screenshot List; 1802 UI/Instrument Overlays"
"first_surface_look","Player exits/looks out and understands surface is bright, alien, and dangerous.","HectonCelestialEngine component reference in 02_HECTON_WORLD; H8_AEGIR_SKY_BACKDROP_1428 exists but renderer disabled; SURFACE_GAS_GIANT_1428 inactive","Assets/_Project/Art/TEXTURES/TX_H8AegirGasGiantBakedDisc_1428.png; Assets/_Project/Art/Materials/Celestial/MAT_AegirGasGiant_Impostor_1428.mat; Assets/_Project/Art/Materials/Celestial/MAT_SurfaceCloudPanorama_1428.mat","STATIC_SOURCE: celestial component/object candidates exist; inactive/disabled candidates are not active proof","Aegir integration, rim softness, horizon haze, moon/cloud readability, and daylight color are unproven.","Surface threat/unease is not yet tied to a readable route or engineering risk.","Celestial/cloud shaders can dominate frame cost or create gradient cover without Frame Debugger/profiler proof.","Verify the active sky/Aegir renderer/material path; choose baked disc or impostor route; do not count disabled/inactive objects as proof; capture first-surface composition with route cue in frame.","PENDING UNITY SLOT: 1806_SHOT_02_first_surface_aegir","PENDING UNITY SLOT: 1806_METRIC_02_sky_framedebugger_profiler","Clean bright sky, readable Aegir/moon forms, no muddy gradient.","More cloud depth and atmospheric blend.","Softer terminator, better celestial lighting transition, richer cloud layers.","Observer-relative celestial overkill and premium sky layering; same route truth.","Reject if surface is black, muddy, crayon-like, one-note purple/blue, or Aegir is only a disabled candidate.","1801 Sky/Aegir classification; 1801 Stale/Risky Assumptions; 1802 Sky/Aegir/Moons/Clouds"
"waterline","Player sees the water material, foam contact, wet edge, and surface-to-swim transition.","Ocean_Crest prefab path exists; H8_SURFACE_SHORE_FOAM_1428; SURFACE_FOAM_RIBBON_1428_*; H8_SURFACE_OCEAN_READ_1428 inactive","Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat; Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat; Assets/_Project/Art/Shaders/H8_ShorelineFoamRibbon_1428.shader; Crest Foam/Caustics textures","STATIC_SOURCE: Ocean prefab and foam objects/assets exist; water read object is inactive candidate","Current reports say broad flat water and weak waterline richness; foam ribbons risk flat color.","Surface-to-underwater transition and route readability through water are unproven.","Blind Crest depth/foam camera enable can add cost or third-party side effects; foam/VFX can hide weak water.","Inspect Ocean_Crest material assignment and optional null refs; compare Crest core with MAT_H8_SurfaceCrestOcean_1428 candidate; add/verify textured foam masks on ribbons; capture low waterline and underwater transition.","PENDING UNITY SLOT: 1806_SHOT_03_waterline_foam_wet_edge","PENDING UNITY SLOT: 1806_METRIC_03_water_frame_debugger_profiler_gc","Single premium ocean read, conservative foam, static/cheap masks, bright readable water.","Richer shoreline foam blend and near-field color variation.","Reflection/glint/caustic hints and stronger wet contact response.","Overkill foam breakup, reflections, and shore wetness; same collision/route truth.","Reject if water is broad flat blue, foam is flat color, darkness hides contact, or Crest is mutated blindly.","1801 Ocean/Crest; 1801 Coast/foam; 1802 Ocean Skin; 1802 Underwater Optics"
"aegir_horizon","Player orients by horizon scale, Aegir, clouds, moons, and coastline silhouette.","HectonCelestialEngine; H8_AEGIR_SKY_BACKDROP_1428 renderer disabled; SURFACE_SKY_NOIR_BACKDROP_1428 and SURFACE_SKY_DOME_NOIR_1428 exist as risky names","TX_H8AegirGasGiantBakedDisc_1428.png; MAT_H8SurfaceGasGiantDisc_1428.mat; H8_AegirGasGiantImpostor_1428.shader; MAT_H8SurfaceCloudDeck_1428.mat","STATIC_SOURCE: candidates exist; noir backdrop names must not steer normal surface art","Horizon composition and sky/cloud integration are not proven beyond baseline screenshot comments.","Horizon does not yet prove route/return landmarks or unease source.","Expensive sky/cloud/post effects can consume cost without player decision value.","Capture horizon with Aegir, clouds/moons, coast silhouette, ocean specular, and one route/industrial cue; verify active materials and disable/ignore noir cover for normal daylight.","PENDING UNITY SLOT: 1806_SHOT_04_horizon_aegir_coast","PENDING UNITY SLOT: 1806_METRIC_04_sky_material_pass_cost","Readable baked/cheap celestial forms and clean horizon silhouette.","Added cloud sheet depth and haze blend.","Richer atmospheric softness and shore/ocean glints.","Layered sky/celestial depth and premium horizon response; same route truth.","Reject if screenshot is just mood, dark cover, gradient sky, or disabled object proof.","1801 Stale/Risky Assumptions; 1801 Candidate Screenshot List; 1802 Sky/Aegir/Moons/Clouds"
"coastline","Player reads shore geology, wet basalt, foam edge, and a return landmark.","H8_SURFACE_COASTAL_ISLAND_1428; H8_SURFACE_SHORE_FOAM_1428; SURFACE_FOAM_RIBBON_1428_*","MAT_H8SurfaceWetBasaltReal_1428.mat; MAT_SurfaceIslandWetBasalt_1428.mat; TX_H8SurfaceBasaltWetSediment_1428.asset; MESH_SurfaceCoastlineJagged_1428.asset; ProceduralFinals rock prefabs","STATIC_SOURCE: coast object and candidate paths exist; 49 finalized rock prefabs exist by static count","Baseline reports say grey/procedural-looking coast and weak wet material richness.","Coastline landmark/return path and traverse/approach readability are unproven.","Extra rocks/decals can inflate draw calls, texture budget, and occlusion cost if not HLOD/instanced.","Verify or assign wet basalt material route; fill missing detail/normal/mask slots where appropriate; dress with finalized rock prefabs; capture close coast and wide coast/route view.","PENDING UNITY SLOT: 1806_SHOT_05_coast_wet_basalt_foam","PENDING UNITY SLOT: 1806_METRIC_05_coast_batches_setpass_vram","Strong silhouettes, wet/dry masks, limited decals, attractive material identity.","More rock variants, sediment bands, and foam edge masks.","Richer near-field geology, microdetail, and material response.","Hero coastline overkill with secondary wet edge detail; same navigation truth.","Reject if coast is smooth noise, grey blockout, untextured basalt, or route-hidden terrain.","1801 Terrain/MapMagic; 1801 Coast/rocks/shore foam; 1802 Coast/Rock; 1802 Terrain/Sediment"
"0_30m_shallows","Player enters bright photic shallows with coral/kelp density and readable swim path.","Starter_ReefField; route-adjacent shallow scene names; Resource_FieldSources data object","Assets/_Project/Prefabs/Nature/Flora/Baked; MAT_family_coral_branching.mat; MAT_family_kelp_tall.mat; ProceduralRule_rule_kelp_starter.asset; ProceduralRule_rule_coral_branching.asset","STATIC_SOURCE: starter reef object and flora assets/rules exist; 89 baked flora prefabs found by static count","No player capture proves colorful shallow density, caustics, silhouettes, or route framing.","No proof that the player can read oxygen-safe path, resource approach, or return cue in 0-30 m.","Scatter/kelp animation/instancing can create overdraw or hot allocation without proof.","Place or verify baked coral/kelp clusters around the entry route; use placement rules as intent only; capture 5-20 m photic view with route corridor visible.","PENDING UNITY SLOT: 1806_SHOT_06_0_30m_photic_scatter","PENDING UNITY SLOT: 1806_METRIC_06_scatter_instancing_gc_profiler","Fewer authored clusters, strong color/silhouette, clear path, no ugly low mode.","Moderate coral/kelp density and cheap caustic cues.","Richer scatter, sway, material response, and LOD residency.","Dense alive shallows with overkill material/sway; same resource/route truth.","Reject if pristine aquarium, random scatter, empty rock field, blue fog cover, or runtime hero generation.","1801 Photic shallow scatter/flora; 1801 0-100m Bright Surface Lock; 1802 Coral/Flora"
"30_100m_route","Player follows the shallow route deeper while still in bright readable water.","Route_Frontier; Starter_ReefField; Resource_FieldSources; water optics candidate scripts/data","WaterOpticsRuntime.cs; HectonWaterOpticsTelemetryFeature.cs; Water_Extinction_Matrix.bin; HectonDeferredCausticsFeature.cs; Hecton_HUD_AcousticRadarOverlay.shader","STATIC_SOURCE: route frontier and optics candidates exist; no runtime feature-order proof","30-100 m visual density, attenuation, caustics, and instrument readability are unproven.","Route decision and return readability below 30 m are unproven without player path capture.","Water optics/render features can overrun post/transparent budgets; fog can hide weak art.","Verify route from 30-100 m with bright photic lock; enable only justified optics/caustic fakes; capture route-facing and return-facing views with instruments visible.","PENDING UNITY SLOT: 1806_SHOT_07_30_100m_route_read","PENDING UNITY SLOT: 1806_METRIC_07_optics_rendergraph_profiler_gc","Stable attenuation, readable route silhouettes, limited caustic cards/fakes.","Richer local caustics and particulate variation.","Deferred/stronger caustics and layered water response if measured.","Higher quality optics/shafts within profiler limits; no new route truth.","Reject if fog/darkness hides route, instruments become illegible, or caustics appear without light reason.","1801 Route markers/content sockets; 1802 Underwater Optics; water.md proof rules"
"industrial_trace","Player sees human/machine history near the route: dock, sub hull, turbine, wreck scar, or service line.","SUB_PRESSURE_HULL; SUB_PORTLIGHT_*; Power_CurrentTurbine; dock deck/rails/stanchions noted by 1801","Assets/SciFiFacility; Assets/_Project/Scripts/World/OfflineWreckageBaker; WreckageTextureBaker.cs; MESH_SurfaceDropPodBurnt_1428.asset; MAT_SurfaceDropPodCharredHull_1428.mat","STATIC_SOURCE: industrial scene names and candidate assets/tools exist; some proxy/primitive families are not hero proof","Current screenshots do not sell machinery/history at first-exit scale.","No proof the trace informs route, salvage risk, or evidence rather than decoration.","Primitive debris and dense kitbash can inflate draw calls and look cheap; third-party assets must not be mutated.","Capture dock/sub/turbine trace from surface and waterline; replace or dress primitive traces with baked panels/pipes/wet glass/service scars using offline tools or SciFiFacility as source kit.","PENDING UNITY SLOT: 1806_SHOT_08_industrial_trace_route_cue","PENDING UNITY SLOT: 1806_METRIC_08_industrial_batches_setpass_profiler","Sparse bold silhouettes, amber/cyan accents, non-primitive route cue.","More wet material breakup, service scars, and readable route lighting.","Additional decals, pipes, panels, and local VFX causes.","Dense narrative machinery detail and close-up wear; same gameplay authority.","Reject if primitive boxes/tubes are treated as final, third-party packages are overwritten, or machinery is decorative only.","1801 Industrial remnants; 1802 Industrial Traces; TASTE Machines Are Verbs"
"resource_node","Player identifies first resource target without abstract sparkle or UI-only guidance.","Node_Copper_A; Resource_FieldSources; WorldContentSocket references noted by 1801","H8_TerrainLayer_AbyssBasalt_1428.terrainlayer; TX_H8TerrainBasaltSediment_1428.asset; finalized rocks; coral/kelp baked prefabs","STATIC_SOURCE: node and field source names exist; interaction/visibility unproven","Resource area visual identity and material/evidence context are unproven.","No proof node is visible, interactable, or physically credible in route chain.","Resource dressing can become colored dots or random scatter; interaction proof can allocate if scripts touched.","Verify Node_Copper_A from player approach; dress with geology/industrial spill context; capture node with route landmark and return cue; prove interaction if tools are available.","PENDING UNITY SLOT: 1806_SHOT_09_resource_node_context","PENDING UNITY SLOT: 1806_METRIC_09_resource_interaction_gc_profiler","Clear silhouette and material context, no sparkle dependency.","Added sediment/strata and local biota context.","Richer close material and scan/acoustic feedback.","Overkill mineral/wetness/evidence detail; same resource id/truth.","Reject if resource is abstract colored currency, random dot, hidden by fog, or UI-only target.","1801 Route markers/content sockets; 1802 Terrain/Sediment; 1802 Coast/Rock"
"scrap","Player reads salvage object as useful, physical, and risky to recover.","Scrap_A; route-adjacent industrial trace names","Assets/_Project/Prefabs/TECH_DEBRIS.prefab; MESH_SurfaceDropPodBurnt_1428.asset; MAT_SurfaceDropPodCharredHull_1428.mat; SciFiFacility source kit","STATIC_SOURCE: Scrap_A and candidate debris paths exist; representative primitive debris warnings remain","Scrap visual quality and physical salvage read are unproven.","No proof scrap is reachable, scannable/collectable, or creates route cost.","Primitive-heavy debris and dynamic fragments can look cheap or cost too much without proof.","Verify Scrap_A visibility from route; replace/dress with non-primitive burnt hull/service parts if needed; capture close and route-distance views; prove pickup/scan only if Unity task includes interaction.","PENDING UNITY SLOT: 1806_SHOT_10_scrap_salvage_read","PENDING UNITY SLOT: 1806_METRIC_10_scrap_interaction_batches_gc","Single readable salvage object with strong silhouette and material truth.","More debris context and route-light support.","Richer wear, cut marks, and wet/charred material.","Close-up salvage overkill and secondary detail; same item truth.","Reject if scrap is a primitive prop, loot sparkle, free safe corridor reward, or runtime debris sim without proof.","1801 Route markers/content sockets; 1802 Industrial Traces; 1802 Primitive Or Rejected Families"
