"Category","AssetFamily","RepresentativePaths","CurrentDisposition","RouteMoment","EvidenceClass","BlockingRisk","OwnerNextAction","RejectionRule","LowTierConsequence","MiddleTierConsequence","HighTierConsequence","UltraTierConsequence"
"MixerRoutingRisk","MusicDirector mixer config","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","P0: null _musicMixerGroup and _stingerMixerGroup in static config evidence.","First exit, shallow shelf, stingers, silence windows","STATIC_SOURCE","Music/stinger route cannot be judged while mixer route or owned DSP/native bypass is absent.","MusicDirector owner reads config through Unity, assigns approved mixer groups or documents owned DSP/native bypass with proof target.","Null mixer routes remain unexplained or no owned bypass route exists.","No extra music-bed breadth; prioritize breath, warning, UI, and player cues.","Allow normal profile breadth only after route proof exists.","Wider prefetch remains blocked until routing proof exists.","Dense stinger/music layering remains blocked until routing proof exists."
"DirectPrefabRefs","Player prefab direct AudioClip refs","Assets/_Project/Prefabs/Player.prefab; Assets/_Project/Audio/Underwater Ambient.wav; Assets/_Project/Audio/Movement/dive_splash.wav; Assets/_Project/Audio/UI/click sound.wav","P0/P1: 28 direct Player.prefab AudioClip refs; Addressables and lifecycle route absent from static evidence.","Player control, first exit, UI feedback, movement feedback","STATIC_SOURCE","Direct serialized refs do not prove owner, release, playback route, 0 B/frame behavior, or audio-thread safety.","Player/audio lifecycle owner classifies refs into player loop, short SFX, UI, and world bed; fills owner/load/release/playback route or scoped exception.","Direct refs are treated as lifecycle proof or remain unmanaged for heavy/player-critical clips.","Keep only critical cue admission; no decorative direct-ref expansion.","Classify and route all direct refs before broader mix work.","Permit richer cue breadth only after direct-ref ownership is closed.","Extra layering cannot rely on direct prefab refs."
"MusicLongBeds","MusicDirector long music beds","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg; Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg; Assets/_Project/Audio/Music for Game/cave_ambient_4_Sub-bass Pressure.ogg","84 music rows are statically profile-referenced and Streaming Vorbis Q0.7; cadence and mix behavior are not proven.","First surface, photic shelf, shelf route, abyss tension, cave pressure","AUDIO_WAVEFORM_QA","Long loud beds can become a constant emotional blanket or mask route/warning/player cues.","MusicDirector owner performs listening pass and runtime capture for pause windows, transitions, tension ownership, and silence windows.","Long bed plays constantly, masks cues, or lacks MusicDirector state/cadence proof.","Stream current context only; protect silence windows and critical cue audibility.","Prefetch likely next context only if memory and mix proof allows.","Wider transitions allowed after cadence proof.","Richer transitions allowed, but cue truth and silence windows do not change."
"RepeatedStingers","Danger, discovery, and recovery stingers","Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg; Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg; Assets/_Project/Audio/Music for Game/stinger_discovery_1_The_Sunken_Gate.ogg","11 repeated stinger GUID groups exist in static profile evidence; reuse may be intentional but needs cooldown/profile proof.","Threat contact, discovery, recovery, first breath","STATIC_SOURCE","Repeated dense stingers can erase profile identity or spam warning space.","MusicDirector owner marks reuse as intentional or replaces/profile-specializes; proves cooldown and mix priority.","Stinger repeats too often, masks warnings, or triggers without event ownership.","Use smallest owned stinger set with strict cooldown.","Allow profile-specific subset after listening proof.","Allow broader stinger set after cooldown proof.","Allow dense stinger palette only with priority and cooldown proof."
"AmbientLoops","Long ambience and pressure beds","Assets/_Project/Audio/Underwater Ambient.wav; Assets/_Project/Audio/Atmos 1 Loop.wav; Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","12 ambient rows; 8 Streaming Vorbis Q0.45 and 4 CompressedInMemory Vorbis Q0.7; policy and ducking proof absent.","First exit, shallow read, photic shelf, pressure ambience","AUDIO_WAVEFORM_QA","Q0.45 rows conflict with Q70 target; dense beds can mask warnings, fauna, tool cues, and route sound.","Ambient-bank owner resolves active-bank route, import exception, Q70 or documented exception, warning ducking, and memory proof.","Ambient bed masks warnings or has no active-bank owner/release route.","One active ambient bed max under pressure; preserve warning and route cues.","Add support layers only after ducking and memory proof.","Richer ambience layers allowed after warning audibility proof.","Dense ambience allowed only if critical cue priority remains proven."
"PlayerSuitSwimLoops","Breath, suit, and swim player loops","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3; Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav; Assets/_Project/Audio/Movement/swimming - underwater.ogg; Assets/_Project/Audio/Movement/swimming -onwater.wav","5 player_loop rows; 4 Streaming Vorbis Q0.45, 1 CompressedInMemory Vorbis Q0.7, one placeholder-marked suit loop.","First-person continuity, swimming, surface transition, suit interior","AUDIO_WAVEFORM_QA","Player loops are not generic SFX; streaming/start jitter or hot loudness can damage control readability.","Player/audio lifecycle owner defines low-latency route, import exception, release route, and listening proof per loop.","Player loop is treated as generic SFX, starts late, loops badly, sounds too hot, or masks warnings.","Admit critical breath/suit cues first with minimal layer count.","Add swim/surface layers after latency proof.","Richer player-body layers allowed after mix proof.","Higher-density suit/body detail allowed without changing cue ownership."
"ShortSFX","Footsteps, splash, and short movement SFX","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg; Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav; Assets/_Project/Audio/Movement/dive_splash.wav","30 SFX rows; no generic streaming SFX in static ledger; 20 P1 rows are direct Player.prefab refs.","Movement feedback, surface contact, traversal texture","STATIC_SOURCE","Direct refs and mixed import states lack playback-route, owner, mono, and 0 B/frame proof.","Player/audio lifecycle owner fills owner ledger, prefab readback, import readback, and playback route proof.","Generic SFX streams, allocates, or uses unowned hot-path playback.","Keep bounded non-streaming SFX; prioritize player feedback over decoration.","Allow material-specific variation after route proof.","Increase variation density after allocation proof.","Richer SFX palette allowed only through owned non-streaming route."
"UISFX","HUD/menu/instrument feedback","Assets/_Project/Audio/UI/click sound.wav; Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3; Assets/_Project/Audio/UI/electro (nope) sound.flac","5 UI rows; mixed load types; 4 P1 remediation rows are direct Player.prefab refs; click waveform is very quiet.","HUD, menu, warnings, instrument feedback","AUDIO_WAVEFORM_QA","UI feedback may be inaudible under ambient/music or allocate if routed through unmanaged playback.","UI/audio owner performs UI listening pass, import readback, ducking proof, and 0 B/frame route proof.","UI cue is inaudible, masks warning hierarchy, allocates, or lacks owned UI/audio path.","Keep critical UI/warning cues above decorative beds.","Allow normal UI feedback once audibility is proven.","Add richer tactile UI set after route proof.","Expanded UI palette allowed without changing priority truth."
"VoiceStubs","Placeholder VO stubs","Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav; Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_RU.wav","2 placeholder rows at quality 0.22; waveform review says EN stub is not final loudness evidence.","Datapad/audio log placeholder handling","AUDIO_WAVEFORM_QA","Stub rows cannot determine final VO import policy, subtitle timing, localization behavior, or loudness.","Localization/narrative plus Audio owner keeps placeholder flag and defines final VO route when final lines exist.","Stub is treated as final VO loudness, final localization proof, or final subtitle timing proof.","Do not spend resident memory on placeholder VO beyond scoped stub route.","Prepare final VO route only when content set exists.","Permit richer VO mix only after localization/subtitle proof.","Higher-fidelity VO chain allowed only after final content proof."
"ImportPolicyState","Hybrid import-policy exception table","Docs/AssetAudit/AUDIO_IMPORT_POLICY_EXCEPTION_TABLE_20260605.csv; Docs/Reports/AssetSystem_20260605/AUDIO_IMPORT_POLICY_DECISION_BRIEF_3217_20260605.md","Policy conflict remains unresolved; hybrid duration-default exception table is recommended static input only.","All audio classes touching first-20 route","STATIC_DOC","Mass import edits could violate either AGENTS Q70/compressed-memory text or STRM duration/load rules.","Audio import owner obtains stable authority patch before import edits; then performs Unity import readback and memory/runtime proof.","Import mutation happens from static recommendation alone or creates broad resident long-clip memory risk.","Use duration default plus few named critical exceptions if adopted.","Allow moderate ambient/music breadth after policy and memory proof.","Use prefetch breadth and richer mix only after adopted policy.","Use extra headroom for mix richness, not changed ownership or cue identity."
"ListeningQueueOrder","Static listening and remediation queue","Docs/AssetAudit/AUDIO_LISTENING_PASS_QUEUE_20260605.csv; Docs/Audio/audio_remediation_matrix_20260605.csv","Queue order is static planning: P0 routing/direct/player-loop blockers, P1 ambience/music/stinger/UI route risks, P2 UI click and VO stub sanity.","First exit, shallow shelf, storm/tension, silence windows, UI, VO sanity","STATIC_DOC","Skipping P0/P1 order risks judging taste before ownership, routing, and policy blockers are closed.","Future owner executes queue in order after Unity process gate clears and records listening/runtime proof artifacts.","P2 polish starts before P0/P1 routing, lifecycle, and import-policy blockers are handled.","Run only critical queue items first; preserve warning and player cue priority.","Broaden pass to ambience and music beds after P0 closure.","Add stinger/profile tuning after route proof.","Perform dense mix passes only after critical route proof exists."
