package_row_id,domain,needed_role,evidence_path,candidate_source_path,status,rejection_gate,shader_contract_needed,quality_weight_consequence,unity_owner_needed
1907-001,shoreline_foam,albedo/source shape,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md; Assets/_Project/Art/Materials/World/MAT_H8SurfaceShoreFoam_1428.mat,Assets/_Project/Art/TEXTURES/foam.png,STATIC VERIFIED,Scene object H8_SURFACE_SHORE_FOAM_1428 is inactive by static YAML; texture existence is not visual proof,H8_ShorelineFoamRibbon_1428 samples source as foam alpha/breakup not opaque strip,Compact keeps sparse readable white/cyan foam; Middle adds coverage; High/Ultra add breakup/refraction only after proof,Verify active renderer/material slot and capture glancing/vertical waterline
1907-002,shoreline_foam,foam opacity mask,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,Assets/_Project/Art/TEXTURES/Generated/TX_H8_ShorelineFoamRibbonPacked_1821.png,PENDING SOURCE,Missing generated packed mask; flat color foam is rejected,R foam long strand G cross-flow B lace breakup A reserved/confidence,Compact uses lower-res mask but preserves lace identity; higher weights increase strand complexity not route truth,Generate/import/bind only during Unity-owner slot
1907-003,foam_ribbons,wet edge breakup,Assets/_Project/Art/Materials/MAT_H8_SurfaceFoamRibbons_1428.mat,Assets/_Project/Art/TEXTURES/Generated/TX_H8_ShorelineFoamRibbonPacked_1821.png,PENDING SOURCE,_BaseMap and _MainTex are empty in current material; reject as final until packed source exists,Same packed RGB contract as foam ribbon shader; no separate sampled Texture2D spam,GlobalQualityWeight scales texture resolution and ribbon density continuously,Bind source texture and prove no opaque card artifact
1907-004,waterline_grime,sediment contamination mask,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,Assets/_Project/Art/TEXTURES/Generated/TX_H8_ShorelineWaterlineMask_1821.png,PENDING SOURCE,No mask exists; grime must not become muddy/noir darkening,R contact foam G wet edge B sediment/salt A caustic receiver confidence,Compact keeps readable vertical band and route edge; High/Ultra add finer tide residue and salt breakup,Import generated mask and verify wet/dry coastline response
1907-005,waterline_grime,vertical tide stain/algae/salt bands,terrain.md; water.md; 3DMODEL_TEXTURE_GENERATION_PLAYBOOK.md,Docs/GeneratedAssets/Gemini/Prompts/1907/prompts.csv,PENDING SOURCE,Generated source with baked shadows/text/logo/perspective is rejected,Mask source derives vertical gradient and cavity-biased residue offline,Quality scales source resolution/detail density; never uses darkness to hide weak contact art,Future source operator and PBR QA required before Unity import
1907-006,wet_basalt,albedo,Docs/GeneratedAssets/Gemini/TX_H8_WetBasaltShoreline_1428_MANIFEST.md,Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/TX_H8_WetBasaltShoreline_Albedo_1428.png,PENDING CHANNEL_QA,Albedo-only source cannot be accepted as full PBR material; no runtime quality claim,Albedo is source candidate only; normal/MRAO/wetness family still required,Compact may use 512/1024 derived family with material identity intact; High/Ultra use richer normals/masks,Do not replace terrain layer until Unity owner validates full family
1907-007,wet_basalt,normal/height source,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md; Assets/_Project/Art/Materials/World/MAT_H8SurfaceWetBasaltReal_1428.mat,Assets/_Project/Art/TEXTURES/Terrain Textures/basalt/Rock031_1K-JPG_NormalGL.jpg,STATIC VERIFIED,Existing normal is shared/static only; new shoreline albedo still lacks matching normal/height,BC5 normal or height-derived normal; no baked lighting in height source,Compact keeps fracture read with cheaper normal strength; High/Ultra add stronger strata/cavity normals,Validate slot binding and close wet-rock captures
1907-008,wet_basalt,roughness/wetness logic,water.md; 3DMODEL_TEXTURES_MATERIALS.md,Assets/_Project/Art/TEXTURES/Generated/TX_H8_WetDryBasaltMask_1821.png,PENDING SOURCE,Glossy overlay that erases basalt identity is rejected,MRAO/wetness contract must state R/G/B/A semantics before import,Quality scales wetness edge precision/specular boost continuously,Bind mask to first-party material only after source QA
1907-009,wet_basalt,AO crevice logic,3DMODEL_TEXTURE_GENERATION_PLAYBOOK.md,Docs/GeneratedAssets/Gemini/Prompts/1907/prompts.csv,PENDING SOURCE,Random dirt over exposed faces is rejected; AO must be cavity biased,MRAO B channel or derived AO source must be independent from roughness,Compact bakes AO into packed mask; High/Ultra improve cavity detail and mineral residue,Future PBR QA must run channel independence checks
1907-010,wet_basalt,salt/mineral mask,terrain.md; TASTE.md,Docs/GeneratedAssets/Gemini/Prompts/1907/prompts.csv,PENDING SOURCE,Uniform white crust or noisy speckles without scale/history are rejected,MRAO A/family mask or separate offline source only if shader contract allows,Quality scales mineral fleck density; material identity remains wet basalt,Future source operator generates tileable mask source
1907-011,wet_basalt,waterline transition mask,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,Assets/_Project/Art/TEXTURES/Generated/TX_H8_WetDryBasaltMask_1821.png,PENDING SOURCE,No generated wet/dry mask exists; do not fake with global dark grade,R wetness G drying falloff B mineral breakup A specular boost,Compact keeps strong readable wet/dry boundary; High/Ultra refine edge beads/strata,Generate/bind during Unity-owner slot and capture vertical waterline
1907-012,basalt_sediment,terrain albedo/splat sources,Assets/_Project/Art/Materials/World/MAT_H8TerrainLit_BasaltSediment_1428.mat,Assets/_Project/Art/TEXTURES/TX_H8TerrainBasaltSediment_1428.asset; Terrain Textures basalt/gravel/sand/rocks layers,STATIC VERIFIED,_Control and _Mask0-3 remain empty; current splat/normal refs do not prove active terrain quality,Control and layer shader contract must match terrain material before assignment,Compact uses fewer layers/texture-array discipline; High/Ultra add material variety through proven arrays/VT only,Future Unity owner verifies terrain layer slots and screenshot route
1907-013,basalt_sediment,black sand/shell fleck source,world.md; terrain.md; 3DMODEL_TEXTURE_GENERATION_PLAYBOOK.md,Docs/GeneratedAssets/Gemini/Prompts/1907/prompts.csv,PENDING SOURCE,Generic dark sand or flat black mud is rejected,Albedo/normal/roughness source must preserve traversal readability and shallow brightness,Compact keeps flecks sparse but visible; High/Ultra add finer shell/mineral detail,Source generation and terrain material QA pending
1907-014,biome_weight,shoreline control map,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_BAKE_INPUTS.csv,Assets/_Project/BakedGeometry/Splatmaps/TX_BiomeWeightMap_SHORELINE_1821.asset,PENDING SOURCE,Missing generated control map; do not claim terrain blend readiness,Channels: R rock G sand B silt A erosion/deposited silt per existing forge convention,GlobalQualityWeight scales resolution/blur/detail not biome truth or traversal class,Future editor owner runs BiomeSplatmapForgeWindow/verified bake
