blueprint_id,family,scale,lod0_tris,lod1_tris,lod2_tris,lod3_tris,collider_type
BP_CAVE_ENT_01,family_cave_entrance,1.0,15000,7500,2000,500,Mesh
BP_CAVE_ENT_02,family_cave_entrance,1.2,16000,8000,2500,600,Mesh
BP_CAVE_ENT_03,family_cave_entrance,0.8,12000,6000,1500,400,Mesh
BP_CAVE_ENT_04,family_cave_entrance,1.5,18000,9000,3000,800,Mesh
BP_CAVE_ENT_05,family_cave_entrance,0.6,10000,5000,1200,300,Mesh
BP_CAVE_ENT_06,family_cave_entrance,1.0,20000,10000,3500,900,Mesh
BP_CAVE_ENT_07,family_cave_entrance,1.1,17000,8500,2800,700,Mesh
BP_CAVE_ENT_08,family_cave_entrance,1.3,19000,9500,3200,800,Mesh
BP_CAVE_ENT_09,family_cave_entrance,0.9,14000,7000,1800,450,Mesh
BP_CAVE_ENT_10,family_cave_entrance,1.4,19500,9800,3400,850,Mesh
BP_CORAL_BRA_01,family_coral_branching,1.0,8000,4000,1000,200,Capsule
BP_CORAL_BRA_02,family_coral_branching,0.5,4000,2000,500,100,Capsule
BP_CORAL_BRA_03,family_coral_branching,1.5,12000,6000,1500,300,Compound
BP_CORAL_BRA_04,family_coral_branching,2.0,15000,7500,2000,400,Compound
BP_CORAL_BRA_05,family_coral_branching,1.2,10000,5000,1200,250,Compound
BP_CORAL_BRA_06,family_coral_branching,1.8,14000,7000,1800,350,Compound
BP_CORAL_BRA_07,family_coral_branching,1.1,9000,4500,1100,220,Capsule
BP_CORAL_BRA_08,family_coral_branching,0.8,6000,3000,800,150,Capsule
BP_CORAL_BRA_09,family_coral_branching,1.3,11000,5500,1300,280,Compound
BP_CORAL_BRA_10,family_coral_branching,1.6,13000,6500,1600,320,Compound
BP_CORAL_BRI_01,family_coral_brittle,1.0,5000,2500,800,150,Box
BP_CORAL_BRI_02,family_coral_brittle,0.8,4000,2000,600,120,Capsule
BP_CORAL_BRI_03,family_coral_brittle,1.5,7500,3800,1200,250,Compound
BP_CORAL_BRI_04,family_coral_brittle,2.0,10000,5000,1500,300,Box
BP_CORAL_BRI_05,family_coral_brittle,1.2,6000,3000,900,180,Mesh
BP_CORAL_BRI_06,family_coral_brittle,1.8,9000,4500,1400,280,Box
BP_CORAL_BRI_07,family_coral_brittle,0.5,2500,1200,400,80,Capsule
BP_CORAL_BRI_08,family_coral_brittle,1.3,6500,3200,1000,200,Sphere
BP_CORAL_BRI_09,family_coral_brittle,1.1,5500,2700,850,160,Box
BP_CORAL_BRI_10,family_coral_brittle,1.6,8000,4000,1300,260,Capsule
BP_CORAL_LOW_01,family_coral_low,1.0,3000,1500,500,100,Sphere
BP_CORAL_LOW_02,family_coral_low,1.5,4500,2200,700,150,Box
BP_CORAL_LOW_03,family_coral_low,0.8,2400,1200,400,80,Box
BP_CORAL_LOW_04,family_coral_low,1.2,3600,1800,600,120,Sphere
BP_CORAL_LOW_05,family_coral_low,2.0,6000,3000,1000,200,Mesh
