candidate_id,target_prefab_or_family,current_debt,candidate_source_or_future_route,material_requirement,required_preservation,do_not_apply_reason,evidence
PF2008-R001,Tool_BeaconDeployer held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_BeaconDeployer_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and declared screen/emission policy,toolData anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R002,Tool_Builder held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Builder_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and declared screen/emission policy,toolData anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R003,Tool_EnvAnalyzer held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_EnvAnalyzer_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and declared scan screen policy,toolData scan origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R004,Tool_Flashlight held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Flashlight_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and beam/emission policy,toolData beam origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R005,Tool_HarpoonLauncher held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_HarpoonLauncher_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and muzzle material policy,toolData muzzle origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R006,Tool_Knife held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Knife_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 with blade roughness/metal policy,toolData hit origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R007,Tool_LaserCutter held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_LaserCutter_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and heat/emission policy,toolData beam origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R008,Tool_Propulsion held/world pair,primitive or default package material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Propulsion_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and thrust/emission policy,toolData force origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs and 1893 material rows
PF2008-R009,Tool_Repair held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Repair_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and repair beam policy,toolData beam origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R010,Tool_SalvageSampler held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_SalvageSampler_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and sample chamber policy,toolData sample origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R011,Tool_Scanner held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_Scanner_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and scan screen policy,toolData scan origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R012,Tool_StunPistol held/world pair,primitive or placeholder/default material,Assets/_Project/Art/Generated/ProductFace/Tools/GEN_Tool_StunPistol_Source_LOD0.mesh,ToolDecayLit plus PackedMaskV1 and muzzle/emission policy,toolData muzzle origin anchors pickup held/world identity,DO NOT APPLY; no Unity owner slot import manifest material proof or prefab validation,ProductFaceToolMeshSourceAuthoring.cs
PF2008-R013,Resource_CopperOre,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_CopperOre_Source_LOD0.mesh,Resource mineral shader contract pending; albedo normal packed mask required,PickupItem and Data_Copper reference,DO NOT APPLY; resource channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R014,Resource_FiberKelp,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_FiberKelp_Source_LOD0.mesh,Organic pickup shader contract pending; albedo normal packed mask required,PickupItem organic identity and data reference,DO NOT APPLY; organic channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
