RuleId,RuleAsset,FamilyId,FamilyAsset,Domain,ScatterLayer,PlacementMode,AllowRuntimeScatter,AllowProxyPrimitives,VariantTotal,ProxyOnlyVariants,FinalReadyVariants,PreferredBiomeCount,PreferredZoneBytes,PreferredSocketBytes,MinDepthMeters,MaxDepthMeters,MinSlopeDegrees,MaxSlopeDegrees,EffectiveRequiredSubstrate,PreferSeafloor,StrictEnvelopeMapping,DepthZeroDryRisk,ProxyRisk,RecommendedChange
rule.coral.branching,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_branching.asset,family.coral.branching,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_branching.asset,Coral,Cluster,Cluster,1,1,8,2,6,3,0100000009000000,,0,600,0,40,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.coral.brittle,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_brittle.asset,family.coral.brittle,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_brittle.asset,Coral,Cluster,Cluster,1,1,12,2,10,4,090000000100000007000000,,900,5000,0,24,Any(default),0,True(default),LOW,HIGH,"keep minDepth 900; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.coral.low,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_low.asset,family.coral.low,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_low.asset,Coral,Ground,Scatter,1,1,8,2,6,3,010000000900000002000000,,0,550,0,34,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.coral.massive,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_massive.asset,family.coral.massive,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_massive.asset,Coral,Cluster,Cluster,1,1,8,2,6,4,010000000900000002000000,,6,420,0,32,Any(default),0,True(default),LOW,HIGH,"keep minDepth 6; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.coral.plate,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_plate.asset,family.coral.plate,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_plate.asset,Coral,Structure,Cluster,1,1,8,2,6,3,0900000001000000,0a000000,18,520,0,28,Any(default),0,True(default),LOW,HIGH,"keep minDepth 18; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.coral.reef,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_coral_reef.asset,family.coral.branching,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_coral_branching.asset,Coral,Cluster,Cluster,1,1,8,2,6,0,,,0,600,0,40,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; add preferred filters; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.kelp.abyssal,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_kelp_abyssal.asset,family.kelp.abyssal,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_kelp_abyssal.asset,Kelp,Cluster,Cluster,1,1,16,2,14,4,090000000100000007000000,,700,3200,0,26,Any(default),0,True(default),LOW,HIGH,"keep minDepth 700; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.kelp.canopy,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_kelp_canopy.asset,family.kelp.canopy,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_kelp_canopy.asset,Kelp,Structure,Cluster,1,1,17,2,15,3,090000000100000002000000,0a000000,0,180,0,20,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.kelp.patch.dense,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_kelp_patch_dense.asset,family.kelp.patch.dense,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_kelp_patch_dense.asset,Kelp,Cluster,Patch,1,1,14,2,12,3,0100000009000000,,0,220,0,22,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; preferSeafloor true; requiredSubstrate Rock; block proxy"
rule.kelp.starter,Assets/_Project/Data/World/ProceduralPlacementRules/ProceduralRule_rule_kelp_starter.asset,family.kelp.tall,Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_kelp_tall.asset,Kelp,Ground,Patch,1,1,16,2,14,0,,,0,180,0,18,Any(default),0,True(default),HIGH,HIGH,"minDepth 1.5; add preferred filters matching tall; preferSeafloor true; requiredSubstrate Rock; block proxy"
