target_id,implementation_order,domain,target_status,candidate_owner_files,verified_evidence,required_change_or_decision,depends_on,rollback_boundary,do_not_touch
RT-001,01,scanner_loadout,BLOCKED,"Assets/_Project/Prefabs/Player.prefab; Assets/_Project/Scripts/ToolLoadoutProvisioner.cs; Assets/_Project/Data/Lore/Quests/Quest_FirstHour_CraftScanner.asset","Player.prefab toolPrefabs includes Tool_Scanner_Held; Quest_FirstHour_CraftScanner completes on Item_Tool_Scanner","Decide scanner is crafted/activated endpoint or real starter tool. Preferred route: scanner not functional at start.",none,"quick-slot/loadout assignment only","scanner item identity; scan runtime"
RT-002,02,crafting_authority,BLOCKED,"Assets/_Project/Data/Crafting/Recipes/*.asset; Data/Economy/Crafting_Costs.csv; Data/Economy/Crafting_Costs.manifest.json; Assets/_Project/Scripts/Fabricator.FastFail.cs; Assets/_Project/Scripts/Economy/Shinobu19EconomyLedger.cs","RecipeData and economy CSV disagree on CopperWire/Scanner ingredient rows; Fabricator code reads RecipeData while DataMonolith audit claims economy binary authority","Declare runtime recipe authority and sync all active surfaces before gameplay route edits.",RT-001,"recipe/economy rows only unless authority requires runtime patch","unrelated recipes; save ABI"
RT-003,03,copper_vein,VERIFIED_EXISTING,"Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset; Assets/_Project/Scripts/Editor/ContentSanityValidator.cs","CopperVein stableId resource.node.copper_vein; requiredToolClass Drill; validator rejects weakening gate","Keep CopperVein Drill-gated. It is not the starter copper source.",none,"not applicable","requiredToolClass; depth band; Drill gate"
RT-004,03,starter_copper_source,BLOCKED,"Assets/_Project/Scripts/Editor/WorldRuntimeBootstrapAuthoring.cs; Assets/_Project/Data/Scavenging/ResourceNodes/; Assets/_Project/Data/World/ZoneProfiles/ZoneProfile_Resources_Starter.asset","WorldRuntimeBootstrapAuthoring has socket resource.node.copper; verified copper template is resource.node.copper_vein; no verified shallow non-vein copper source found","Create or bind deterministic shallow non-vein Data_Copper source. Do not use CopperVein.",RT-002,"starter source binding only","CopperVein; drill route"
RT-005,03,starter_titanium_source,CANDIDATE,"Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_TitaniumScrap.asset; Assets/_Project/Data/World/HarvestableTemplate_TitaniumOutcrop.asset; Assets/_Project/Scripts/Gameplay/HarvestableOutcrop.cs; Assets/_Project/Scripts/Scavenging/ScavengingLootOracle.cs","TitaniumScrap node exists but Salvage-gated; TitaniumOutcrop asset includes Data_TitaniumScrap and Data_Copper loot but placement/guarantee not proven","Choose deterministic reachable titanium source: loose pickup/outcrop or grant/use SalvageSampler first.",RT-001,"starter titanium source/loadout binding","global titanium economy; unavailable drill"
RT-006,03,sensor_package_source,BLOCKED,"Assets/_Project/Data/Crafting/Recipes/Recipe_SensorPackage.asset; Assets/_Project/Data/Items/Resources/Components/Comp_SensorPackage.asset; starter cache/source directory not verified","Recipe_Scanner requires Comp_SensorPackage; Recipe_SensorPackage ingredients are not proven first-20 reachable","Add explicit first-route source for Comp_SensorPackage or simplify scanner route after crafting authority decision.",RT-002,"scanner ingredient/source rows only","late electronics progression outside first route"
RT-007,04,starter_tools,BLOCKED,"Assets/_Project/Prefabs/Player.prefab; Assets/_Project/Scripts/ToolLoadoutProvisioner.cs; Assets/_Project/Data/Items/Tools/Item_Tool_SalvageSampler.asset; Assets/_Project/Prefabs/Tools/Held/Tool_SalvageSampler_Held.prefab; Assets/_Project/Scripts/SalvageSamplerTool.cs","SalvageSampler item/prefab exists and is knownToolPrefab but not assigned quick slot; scanner/repair/builder/laser are assigned","If starter source requires Salvage, make SalvageSampler reachable before it. If not, use pickup/outcrop source.",RT-005,"starter tool/loadout only","SeafloorDrill grant; Scanner identity"
RT-008,05,quest_spine,VERIFIED_EXISTING,"Assets/_Project/Data/Lore/Quests/Quest_CopperSample.asset; Quest_FirstHour_CollectTitanium.asset; Quest_FirstHour_CraftScanner.asset; Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs; Assets/_Project/Data/Narrative/Quest_Graph.json","Copper quest completes on Data_Copper; titanium/scanner quests exist with critical item fields; FirstHourDirector still targets quest_copper_sample and Comp_CopperWire first","Align FirstHourDirector and QuestData to titanium -> copper/copperwire -> sensor package -> scanner route. Regenerate JSON mirror after assets.",RT-001;RT-002;RT-004;RT-005;RT-006,"quest assets and FirstHourDirector route constants","unrelated quest DAG; JSON-only patch"
RT-009,06,oxygen_tank_canister,VERIFIED_EXISTING,"Assets/_Project/Data/Survival/Standard_Suit_V1.asset; Assets/_Project/Scripts/HectonSurvivalSystem.cs; Assets/_Project/Data/Items/Resources/Processed/Data_EmergencyO2Canister.asset; Assets/_Project/Data/Crafting/Recipes/Recipe_EmergencyO2Canister.asset; Assets/_Project/Scripts/PlayerInventory.cs","Suit stats define oxygen/drain/depth; survival runtime drains/refills/saves oxygen; consumable O2 canister restores oxygen","Place or craft optional O2 support without removing death from oxygen neglect.",RT-008,"O2 support recipe/placement only","global suit truth; oxygen death"
RT-010,06,oxygen_environment_support,CANDIDATE,"Assets/_Project/Scripts/Gameplay/OxygenPlant.cs; Assets/_Project/Scripts/Gameplay/OxygenBubble.cs; Assets/_Project/Scripts/Construction/ModuleLifeSupportComponent.cs","OxygenPlant/Bubble and module life support code exist; first-route placement not proven","Use plants/bubbles/base life support only as readable route support, not invulnerability.",RT-008,"support placement/configuration only","survival runtime death conditions"
