type,locale,surface,packet_id,path,detail
draft_marker_packet,en_US,title,P196_RESOURCE_TABLE_PLACEHOLDER_CONTRACT,Docs\Lore\AppliedContent\packets\RS040_NUMERIC_TUNING_SOURCE_RULES.packets.json,Placeholder
draft_marker_packet,en_US,title,P296_ABYSSAL_MACHINE_FIELD_WARNING,Docs\Lore\AppliedContent\packets\RS060_FINAL_DESCENT_ROUTE_FRAGMENTS.packets.json,Machine
draft_marker_packet,en_US,title,P384_ABYSSAL_MACHINE_FIELD_REPAIR_ACT,Docs\Lore\AppliedContent\packets\RS077_LONG_CAMPAIGN_ACT_SPINE.packets.json,Machine
draft_marker_packet,en_US,title,P441_RESOURCE_YIELD_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,Draft
draft_marker_packet,en_US,title,P442_STACK_LIMIT_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,Draft
draft_marker_packet,en_US,title,P443_ESCAPE_RECIPE_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,Draft
draft_marker_packet,en_US,title,P444_CONTRACT_RISK_REWARD_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,Draft
draft_marker_packet,en_US,title,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,Draft
draft_marker_packet,en_US,scanner,P032_PRESSURE_LADDER_DEPTH_BANDS,Docs\Lore\AppliedContent\packets\RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,machine
draft_marker_packet,en_US,scanner,P148_ATLAS_CONTINUITY_OFFICE,Docs\Lore\AppliedContent\packets\RS030_DEEP_REACH_SHELL_ORG_CHART.packets.json,machine
draft_marker_packet,en_US,scanner,P151_BLACK_KEEL_CONTRACT_APPROACH,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,machine
draft_marker_packet,en_US,scanner,P153_SHALLOW_ANNEX_P63_PUMP_ROOM,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,machine
draft_marker_packet,en_US,scanner,P220_NATIVE_LANGUAGE_BACKLOG_RULES,Docs\Lore\AppliedContent\packets\RS044_PUBLICATION_SPOILER_LOCALIZATION_PROTOCOL.packets.json,Draft
draft_marker_packet,en_US,scanner,P296_ABYSSAL_MACHINE_FIELD_WARNING,Docs\Lore\AppliedContent\packets\RS060_FINAL_DESCENT_ROUTE_FRAGMENTS.packets.json,Machine
draft_marker_packet,en_US,scanner,P311_SITE_HOME_PAGE_COMPOSITION_LOCK,Docs\Lore\AppliedContent\packets\RS063_PUBLICATION_COMPOSITION_PROOF_PACK.packets.json,machine
draft_marker_packet,en_US,scanner,P314_SITE_ATLAS_SPOILER_COMPOSITION_LOCK,Docs\Lore\AppliedContent\packets\RS063_PUBLICATION_COMPOSITION_PROOF_PACK.packets.json,machine
draft_marker_packet,en_US,scanner,P319_FINAL_DESCENT_PLACEMENT_PRIORITY_LOCK,Docs\Lore\AppliedContent\packets\RS064_UNITY_PLACEMENT_PRIORITY_BACKLOG.packets.json,machine
draft_marker_packet,en_US,scanner,P384_ABYSSAL_MACHINE_FIELD_REPAIR_ACT,Docs\Lore\AppliedContent\packets\RS077_LONG_CAMPAIGN_ACT_SPINE.packets.json,machine
draft_marker_packet,en_US,scanner,P441_RESOURCE_YIELD_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,draft
draft_marker_packet,en_US,scanner,P442_STACK_LIMIT_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,draft
draft_marker_packet,en_US,scanner,P443_ESCAPE_RECIPE_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,draft
draft_marker_packet,en_US,scanner,P444_CONTRACT_RISK_REWARD_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,draft
draft_marker_packet,en_US,scanner,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,draft
draft_marker_packet,en_US,terminal,P032_PRESSURE_LADDER_DEPTH_BANDS,Docs\Lore\AppliedContent\packets\RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,machine
draft_marker_packet,en_US,terminal,P034_ABYSSAL_REPAIR_FAUNA,Docs\Lore\AppliedContent\packets\RS007_DEPTH_ECOLOGY_FACTORY_TEMPLE.packets.json,machine
draft_marker_packet,en_US,terminal,P040_ATLAS_FINAL_ARGUMENT,Docs\Lore\AppliedContent\packets\RS008_ESCAPE_ENDINGS_ATLAS_QUESTION.packets.json,machine
draft_marker_packet,en_US,terminal,P092_GLOBAL_OCEAN_DEPTH_BANDS,Docs\Lore\AppliedContent\packets\RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS.packets.json,machine
draft_marker_packet,en_US,terminal,P100_FINAL_CHOICE_PAYLOAD,Docs\Lore\AppliedContent\packets\RS020_ATLAS_ENDING_AGENCY_DOSSIER.packets.json,machine
draft_marker_packet,en_US,terminal,P129_ATLAS_SHUTDOWN_ETHIC_FRAME,Docs\Lore\AppliedContent\packets\RS026_ATLAS_PUBLIC_AUTHORITY_CLASSIFICATION.packets.json,machine
draft_marker_packet,en_US,terminal,P153_SHALLOW_ANNEX_P63_PUMP_ROOM,Docs\Lore\AppliedContent\packets\RS031_FIRST_HOUR_PLAYABLE_SPINE.packets.json,machine
draft_marker_packet,en_US,terminal,P239_PRESSURE_SUIT_SERVICE_GRADES,Docs\Lore\AppliedContent\packets\RS048_HARDWARE_AND_VEHICLE_EVIDENCE_STACK.packets.json,machine
draft_marker_packet,en_US,terminal,P296_ABYSSAL_MACHINE_FIELD_WARNING,Docs\Lore\AppliedContent\packets\RS060_FINAL_DESCENT_ROUTE_FRAGMENTS.packets.json,machine
draft_marker_packet,en_US,terminal,P401_MARA_VENN_PUMP_CHIEF_DOSSIER,Docs\Lore\AppliedContent\packets\RS081_COLONY_ANCHOR_WORKER_DOSSIERS.packets.json,machine
draft_marker_packet,en_US,terminal,P441_RESOURCE_YIELD_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,DRAFT
draft_marker_packet,en_US,terminal,P442_STACK_LIMIT_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,DRAFT
draft_marker_packet,en_US,terminal,P443_ESCAPE_RECIPE_VALUE_DRAFT_ROWS,Docs\Lore\AppliedContent\packets\RS089_NUMERIC_GAMEPLAY_TABLE_VALUE_DRAFTS.packets.json,DRAFT
