packet_id,title,surface,locale_policy,route_beat,POI_candidate,proof_source,blocker,next_owner
P001_CRASH_SHELF,Crash Shelf,scanner_fact,en_US source candidate; non_en draft_native_review_pending,first shelter wakeup,poi.crash_shelf;poi.service_buoy,AppliedLore CSV + 1773 scanner inventory + 1820 static game candidate,runtime scanner UI/DataMonolith proof pending,Scanner UI owner + DataMonolith integrator
P001_CRASH_SHELF,Crash Shelf,terminal_note,en_US source candidate; non_en draft_native_review_pending,first shelter damage read,drop shell shelter panel,AppliedLore CSV + 1820 static game candidate,runtime terminal UI/DataMonolith proof pending,TerminalOS owner
P001_CRASH_SHELF,Crash Shelf,encyclopedia_entry,en_US source candidate; non_en draft_native_review_pending,first codex unlock after shelter scan,first shelter codex card,AppliedLore CSV + 1820 in_game_wiki candidate,runtime PDA/string-pool proof pending,PDA encyclopedia owner
P001_CRASH_SHELF,Crash Shelf,audiolog_script,en_US script candidate; non_en subtitles draft_native_review_pending,first blackbox flavor after shelter power,crash blackbox buffer,1775 audio inventory + 1820 audio candidate,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P002_BLACK_KEEL_CONTACT,Black Keel Contact,terminal_note,en_US source candidate; non_en draft_native_review_pending,first carrier contact,poi.signal_mast;poi.service_buoy,AppliedLore CSV + 1820 terminal candidate,runtime terminal UI/DataMonolith proof pending,TerminalOS owner
P002_BLACK_KEEL_CONTACT,Black Keel Contact,audiolog_script,en_US script candidate; non_en subtitles draft_native_review_pending,first carrier voice pressure,service buoy relay mast,1775 audio inventory + 1820 audio candidate,VO/subtitle timing proof pending,Audio/VO/subtitle owner
P003_BARNARD_MARK,Barnard Mark,survivor_log,en_US source candidate; non_en draft_native_review_pending,first personal/professional hook,poi.worker_locker;poi.shift_board,AppliedLore CSV + 1773 scanner inventory,runtime field-note placement proof pending,NarrativeDiscovery placer
P003_BARNARD_MARK,Barnard Mark,encyclopedia_entry,en_US source candidate; non_en draft_native_review_pending,first identity evidence after physical mark,player dossier codex card,AppliedLore CSV + 1820 in_game_wiki candidate,runtime PDA/string-pool proof pending,PDA encyclopedia owner
P004_BLUE_DEBT,Blue Debt,scanner_fact,en_US source candidate; non_en draft_native_review_pending,first hazardous resource read,poi.pressure_casket;poi.cable_forest,AppliedLore CSV + 1773 hazard/action tag,runtime scanner UI/DataMonolith proof pending,Scanner UI owner
P005_REPAIR_SCAR,Repair Scar,scanner_fact,en_US source candidate; non_en draft_native_review_pending,first useful-wrong Atlas trace,poi.repair_scar;poi.drone_nest,AppliedLore CSV + 1773 scanner inventory,runtime scan-stage binding proof pending,Scanner UI owner
P006_DEAD_CLAIM_CACHE,Dead Claim Cache,player_note,en_US source candidate; non_en draft_native_review_pending,first marauder cache warning,poi.dead_claim_buoy;poi.marauder_cache,1774 terminal inventory + 1820 field-note candidate,runtime placement/layout proof pending,NarrativeDiscovery placer
P007_BRINE_STAIR,Brine Stair,scanner_fact,en_US scanner source candidate; non_en draft_native_review_pending,early descent brine warning,poi.brine_curtain;poi.ballast_station,AppliedLore CSV + 1773 depth_route tag,runtime scanner UI/DataMonolith proof pending,Scanner UI owner
P007_BRINE_STAIR,Brine Stair,block,en_US wiki blocked; non_en draft_native_review_pending,do not publish wiki/card until source repair,in_game_wiki,1820 release queue,text residue: ai_meta_phrase,Writer/source repair owner
P008_EVACUATION_HOLD,Evacuation Hold,terminal_note,en_US source candidate; non_en draft_native_review_pending,early colony gate contradiction,poi.evac_gate;poi.medical_route_lock,AppliedLore CSV + 1774 terminal inventory,runtime terminal placement proof pending,TerminalOS owner
P009_BOTTOM_FACTORY,Bottom Factory,block,en_US static candidate but spoiler-gated; non_en draft_native_review_pending,not first route; final descent only,poi.factory_temple_gate;poi.living_pressure_skin,AppliedLore CSV + 1775 placement spoiler notes,spoiler/pacing gate,Route narrative owner
P010_PAYLOAD_WINDOW,Payload Window,block,en_US static candidate but ending-gated; non_en draft_native_review_pending,not early route; ending payload only,poi.ascent_package;poi.launch_floodgate,AppliedLore CSV + 1775 placement spoiler notes,ending/pacing gate,Ending route owner
P011_DOMAIN_MARKS_2190,Domain Marks 2190,scanner_fact,en_US source candidate; non_en draft_native_review_pending,first multi-domain physical proof,poi.domain_tool_stamp;poi.route_cargo_tag,AppliedLore CSV + 1774 terminal inventory,runtime scan/placement proof pending,Scanner UI owner
