path,priority,action,needs_reference_repair,unresolved_severity,needs_prompt_orm,needs_detail_map,needs_legacy_mask_review,channel_priority,base_maps,normal_maps,data_refs,detail_refs
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat,BLOCKER,Restore base/normal refs or clear invalid slots before material migration.,True,BLOCKER,True,True,False,LOW,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f,_OcclusionMap:df147ac10298ce44e9557850251a533a,
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat,BLOCKER,Restore base/normal refs or clear invalid slots before material migration.,True,BLOCKER,True,True,False,LOW,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f,_OcclusionMap:df147ac10298ce44e9557850251a533a,
Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png,,
Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png,,
Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png,,
Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png,,
Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png,,
Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png,,
Art/Materials/WorldProceduralProxy/MAT_family_kelp_canopy.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png,,
Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png,,
Art/Materials/WorldProceduralProxy/MAT_family_kelp_tall.mat,MEDIUM,Review legacy mask channel order before prompt ORM shader rollout.,False,NONE,True,True,True,MEDIUM,_BaseMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png,_NormalMap:Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png,,
Art/Materials/Construction/Mat_RuinSeepSheen.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_MainTex:Art/TEXTURES/Detali/Mineral Seep Mask - second try.png,,,
Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png;_MainTex:Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png,,,
Art/Materials/WorldProceduralProxy/MAT_family_rock_arch_large.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,,
Art/Materials/WorldProceduralProxy/MAT_family_rock_cluster_medium.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,,
Art/Materials/WorldProceduralProxy/MAT_family_rock_small_floor.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,,
Art/Models/Rocks/Rock 6/rock6/rock_6.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg;_MainTex:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,_BumpMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,,
Art/Models/Rocks/Rock 7/Materials/2.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock 7/Materials/2.jpg;_MainTex:Art/Models/Rocks/Rock 7/Materials/2.jpg,_BumpMap:Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,,
Materials/WorldRuntime/ProceduralPlaceholders/TerrainLod/MAT_family_rock_arch_large_Placeholder.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg,,
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonClouds.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,,,
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonSurface.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_diff.png,_BumpMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,,
_PROLOGUE_CONTENT/Textures/Planets/pLANET/Materials/clouds0_diff.mat,LOW,"Author prompt ORM if near-field, then assign shared detail overlay.",False,NONE,True,True,False,LOW,_BaseMap:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png;_MainTex:_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png,,,
