"ShotID","Group","OutputSubdir","FilenamePattern","EvidenceKind","ViewMode","UIState","QualityLane","DepthBand","Subject","CameraInstruction","BeforeAfterRule","ReferenceComparison","PassCriteria","FailCriteria","Notes"
"VP-GSM-CP-001","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-CP-001_02_hecton_world_game_uion_compact_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_ON","Compact","Surface","Game View match with UI","Player camera at route-visible surface/first-exit composition","Before and after for scene/material/scatter changes","Compare with paired VP-GSM-CP-002 and VP-GSM-CP-003","UI readable and world still readable on compact","UI hides weak art or surface is muddy/dark","Required for Game/Scene match"
"VP-GSM-CP-002","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-CP-002_02_hecton_world_game_uioff_compact_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_OFF","Compact","Surface","Same camera as VP-GSM-CP-001 with UI disabled","Before and after for scene/material/scatter changes","Compare with paired UI_ON and Scene View","World carries route/material/sky/water read without UI","World depends on UI to hide weakness","Required UI off proof"
"VP-GSM-CP-003","GameSceneMatch","shots/scene","VP_<SESSION>_<CHANGE>_VP-GSM-CP-003_02_hecton_world_scene_uioff_compact_surface_<REV>.png","UNITY_EDITOR_CAPTURE","Scene View","UI_OFF","Compact","Scene View match","Scene View framed from same player position and direction","Before and after for scene/material/scatter changes","Compare with Game View pair","Scene composition materially matches Game View","Editor-only staging or hidden objects alter proof","Scene View is not player proof"
"VP-GSM-MD-001","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-MD-001_02_hecton_world_game_uion_middle_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_ON","Middle","Surface","Game View match with UI","Same as compact route position","Before and after for scene/material/scatter changes","Compare compact and high lanes","Main player lane readable and premium","Middle looks merely acceptable or cluttered","Middle is expected player lane"
"VP-GSM-MD-002","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-MD-002_02_hecton_world_game_uioff_middle_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_OFF","Middle","Surface","Same camera as VP-GSM-MD-001 with UI disabled","Before and after for scene/material/scatter changes","Compare with UI_ON and references","World carries route/material/sky/water read","UI-off reveals weak empty composition","Required UI off proof"
"VP-GSM-MD-003","GameSceneMatch","shots/scene","VP_<SESSION>_<CHANGE>_VP-GSM-MD-003_02_hecton_world_scene_uioff_middle_surface_<REV>.png","UNITY_EDITOR_CAPTURE","Scene View","UI_OFF","Middle","Scene View match","Scene View framed from same player position and direction","Before and after for scene/material/scatter changes","Compare with Game View pair","Scene composition materially matches Game View","Editor-only staging or hidden objects alter proof","Scene View is static/editor evidence"
"VP-GSM-HI-001","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-HI-001_02_hecton_world_game_uion_high_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_ON","High","Surface","Game View match with UI","Same as compact route position","Before and after for scene/material/scatter changes","Compare middle and ultra lanes","High adds richness without changing route truth","High-only feature becomes required for readability","High is sensory richness lane"
"VP-GSM-HI-002","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-HI-002_02_hecton_world_game_uioff_high_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_OFF","High","Surface","Same camera as VP-GSM-HI-001 with UI disabled","Before and after for scene/material/scatter changes","Compare with UI_ON and references","World art passes without UI","Post/fog/bloom hides weak art","Required UI off proof"
"VP-GSM-HI-003","GameSceneMatch","shots/scene","VP_<SESSION>_<CHANGE>_VP-GSM-HI-003_02_hecton_world_scene_uioff_high_surface_<REV>.png","UNITY_EDITOR_CAPTURE","Scene View","UI_OFF","High","Scene View match","Scene View framed from same player position and direction","Before and after for scene/material/scatter changes","Compare with Game View pair","Scene composition materially matches Game View","Editor-only staging or hidden objects alter proof","Scene View is static/editor evidence"
"VP-GSM-UL-001","GameSceneMatch","shots/game","VP_<SESSION>_<CHANGE>_VP-GSM-UL-001_02_hecton_world_game_uion_ultra_surface_<REV>.png","UNITY_GAME_CAPTURE","Game View","UI_ON","Ultra","Surface","Game View match with UI","Same as compact route position","Before and after for scene/material/scatter changes","Compare high and compact lanes","Ultra adds overkill without route truth changes","Ultra hides failed lower lanes","Ultra cannot rescue weak compact"
