domain,target_group,readback_field,required_value_or_classification,evidence_artifact,reject_if_missing,notes
process_gate,unity_start,cpu_total_percent,"<= 50 percent before Unity readback starts",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Abort if ambiguous or above limit. No Unity launch to check anyway."
process_gate,unity_start,busy_process_scan,"No busy Unity/dotnet/csc/Unity.ILPP.Runner/ShaderCompiler/AssetImportWorker/MSBuild/VBCSCompiler/package/import/build process",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Record command output. Abort on any busy process."
process_gate,unity_start,unity_state,"Unity closed or idle; no import spinner; no compile; no shader compile; no save prompt",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Readback only. Do not dismiss save/upgrade prompts by saving."
process_gate,unity_start,active_scene_sequence,"00_BOOTSTRAP -> 01_MAIN_MENU -> 02_HECTON_WORLD or explicit readback scene context",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/manifest.json,YES,"Must identify scene context for every runtime row."
no_mutation,global,save_scene_call,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No SaveScene or project save."
no_mutation,global,mark_scene_dirty_call,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No EditorSceneManager.MarkSceneDirty."
no_mutation,global,set_dirty_call,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No EditorUtility.SetDirty."
no_mutation,global,asset_database_save_assets_call,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No AssetDatabase.SaveAssets."
no_mutation,global,prefab_apply_revert,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"No prefab apply or revert."
no_mutation,global,asset_mutation_scope,"Forbidden for material/prefab/scene/shader/importer/Addressables/ProjectSettings/package/code",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"Inspection only."
no_mutation,global,temp_assets_files,"Forbidden under Assets",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/dirty_state_audit.md,YES,"All reports and screenshots go under Docs."
no_mutation,global,crest_runtime_wrapper_or_clone,"Forbidden",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Do not instantiate or override Crest materials."
player_hud,active_player,BootstrapState.CurrentPlayerObject.name,"Captured non-empty name plus scene/source classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Read only. Include active state and source route."
player_hud,active_player,BootstrapState.CurrentPlayerObject.scene,"02_HECTON_WORLD or explicitly explained runtime handoff scene",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Reject if proof is from wrong route scene."
player_hud,active_player,current_player_tag,"Player or documented production owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Do not change tags."
player_hud,active_player,active_player_object_path_source,"Object path, prefab source/GUID if any, scene-local status, and production/shell classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Must reconcile ACTIVE_PLAYER_SCENE_CONFLICT_MAP_20260605 before SHOT_06 can pass."
player_hud,active_player,active_player_conflict_map_reconciliation,"Production Player.prefab instantiated/cloned/absent; scene-local shell present/absent; winning movement/input/camera owner classified",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Static map is not proof; Unity readback must close or keep blocker."
player_hud,active_player,production_player_prefab_instance,"Instance of Assets/_Project/Prefabs/Player.prefab or explicit accepted owner replacement route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/h8_1475_player_hud_binding_scene_selected.png,YES,"Scene shell ownership is rejected."
player_hud,scene_shell,scene_authored_player_object_state,"Present/absent, active state, enabled components, owner classification",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Must classify shell route if present."
player_hud,scene_shell,HectonWorldShellController1428.enabled,"False for active movement/input/camera ownership or explicitly classified non-owner",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Reject if shell owns active player movement/input/camera."
player_hud,production_components,Hecton8.Gameplay.HectonPlayerMovement,"Present and enabled on production player or documented replacement route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Read component stack only."
player_hud,production_components,Hecton8.Interaction.PlayerInteraction,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Reject missing owner for interaction."
player_hud,production_components,Hecton8.UI.PlayerPDA,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"PDA open screenshot only if safe without mutation."
player_hud,production_components,PlayerToolManager,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Tool state owner required."
player_hud,production_components,PlayerInventory,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"Inventory source owner required."
player_hud,production_components,PlayerFlashlight,"Present and enabled or documented owner route",Docs/Screenshots/HectonProofPackets/h8_1475_<session>/no_mutation_readback_report.md,YES,"No runtime assignment during pass."
