"path","primitive_source","prefab_save","production_route","risk_class","evidence","next_action"
"Assets/_Project/Editor/HectonDevToolsMenu.cs","no","yes","unknown editor utility","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no CreatePrimitive/PrimitiveType/AddAnalyticPrimitive hit in exact source scan.","Keep under generated-asset validators; no primitive factory blocker by source evidence."
"Assets/_Project/Editor/HectonLodGroupConflictResolver.cs","no","yes","LOD/prefab maintenance","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep validator coverage; no primitive factory blocker by source evidence."
"Assets/_Project/Editor/Assembly/EquipmentPrefabFactory.cs","no","yes","equipment prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated prefabs for built-in primitive meshes."
"Assets/_Project/Editor/Assembly/DronePrefabFactory.cs","no","yes","drone prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated prefabs for built-in primitive meshes."
"Assets/_Project/Editor/Assembly/WreckagePrefabFactory.cs","no","yes","wreckage prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated prefabs for built-in primitive meshes."
"Assets/_Project/Editor/Assembly/PrefabAssemblerEngine.cs","no","yes","generic prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep as assembler-only candidate; validate outputs."
"Assets/_Project/Editor/Assembly/PowerGridPrefabFactory.cs","yes","yes","Assets/Prefabs/Construction/Power","BLOCKER","Analytic fallback groups create visible primitives through AddAnalyticPrimitive and save production PFB_*.prefab outputs.","Remove/guard analytic visual fallback; require authored source mesh/prefab; reject built-in primitive meshes on output."
"Assets/_Project/Editor/Generators/Flora/FloraTopologyStudio1711.cs","no","yes","flora generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under final flora validators."
"Assets/_Project/Editor/Assembly/LogisticsPrefabFactory.cs","no","yes","logistics prefab assembly","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Validate generated outputs; no primitive source blocker found."
"Assets/_Project/Editor/Generators/Flora/FloraTopologyStudio1604.cs","no","yes","flora generated asset pipeline","SAVE_ONLY_NO_PRIMITIVE_SOURCE","SaveAsPrefabAsset hit; no primitive source token in exact scan.","Keep under final flora validators."
