"prefab_path","prefab_family","yaml_material_guid","resolved_material_path","resolved_material_name","material_role_guess","channel_contract_status","forbidden_route_flag","evidence","future_action","status"
"Assets/_Project/Prefabs/Buildings/Cube.prefab","CONSTRUCTION_LEGACY","1a9e66cbf3543a44cb2cf068585f07d4","Assets/Feel/MMTools/Tools/MMPrototypeTextures/MMBRP_Materials/MMBPR_RedSquares.mat","MMBPR_RedSquares","Third-party prototype/checker material on construction cube","REJECTED_SOURCE_ROUTE","THIRD_PARTY_PROTOTYPE_CHECKER_MATERIAL","Assets/_Project/Prefabs/Buildings/Cube.prefab:69 - {fileID: 2100000, guid: 1a9e66cbf3543a44cb2cf068585f07d4, type: 2}","Construction/MapMagic owner must classify references; if retained, relink to pressure-rated module material source; otherwise quarantine prefab and meta together in a future owner slot.","BLOCKED_THIRD_PARTY_PROTOTYPE_CHECKER"
"Assets/_Project/Prefabs/Item_Titanium.prefab","RESOURCE_LEGACY","31321ba15b8f8eb4c954353edc038b1d",".codexbuild/ShallowsBakeProject_20260514_030549/Library/PackageCache/com.unity.render-pipelines.universal@580a03820d50/Runtime/Materials/Lit.mat","Lit","Unity default/package URP Lit material route","REJECTED_SOURCE_ROUTE","DEFAULT_PACKAGE_LIT_GUID;PACKAGECACHE","Assets/_Project/Prefabs/Item_Titanium.prefab:73 - {fileID: 2100000, guid: 31321ba15b8f8eb4c954353edc038b1d, type: 2}","Replace with project-owned MAT_* material package for this prefab family; preserve anchors/data; rerun product-face material gate and visual proof in Unity.","BLOCKED_DEFAULT_PACKAGE_LIT"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab","TOOL_WORLD","0ee55981801d7084bba89b587ed1d8a3","Assets/_Project/Art/Materials/Tools/Mat_Tool_BeaconDeployer_Placeholder.mat","Mat_Tool_BeaconDeployer_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab:72 - {fileID: 2100000, guid: 0ee55981801d7084bba89b587ed1d8a3, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab","TOOL_WORLD","380476af342d2f44494e9cdf99c9a17b","Assets/_Project/Art/Materials/Tools/Mat_Tool_Builder_Placeholder.mat","Mat_Tool_Builder_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Builder_World.prefab:72 - {fileID: 2100000, guid: 380476af342d2f44494e9cdf99c9a17b, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab","TOOL_WORLD","05a9d9b8cef38164fb1ba430fbf720e0","Assets/_Project/Art/Materials/Tools/Mat_Tool_EnvAnalyzer_Placeholder.mat","Mat_Tool_EnvAnalyzer_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_EnvAnalyzer_World.prefab:72 - {fileID: 2100000, guid: 05a9d9b8cef38164fb1ba430fbf720e0, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab","TOOL_WORLD","4cef51cfa995df9418eae9934fb47c59","Assets/_Project/Art/Materials/Tools/Mat_Tool_Flashlight_Placeholder.mat","Mat_Tool_Flashlight_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Flashlight_World.prefab:72 - {fileID: 2100000, guid: 4cef51cfa995df9418eae9934fb47c59, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab","TOOL_WORLD","042f253a051192d4591fc921c3b2aa15","Assets/_Project/Art/Materials/Tools/Mat_Tool_HarpoonLauncher_Placeholder.mat","Mat_Tool_HarpoonLauncher_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_HarpoonLauncher_World.prefab:72 - {fileID: 2100000, guid: 042f253a051192d4591fc921c3b2aa15, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab","TOOL_WORLD","6cf124a1a4752624eb5b25ce2ddec7bc","Assets/_Project/Art/Materials/Tools/Mat_Tool_Knife_Placeholder.mat","Mat_Tool_Knife_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Knife_World.prefab:72 - {fileID: 2100000, guid: 6cf124a1a4752624eb5b25ce2ddec7bc, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab","TOOL_WORLD","21bb5814f706ec140ab043a48c6da7b5","Assets/_Project/Art/Materials/Tools/Mat_Tool_LaserCutter_Placeholder.mat","Mat_Tool_LaserCutter_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_LaserCutter_World.prefab:72 - {fileID: 2100000, guid: 21bb5814f706ec140ab043a48c6da7b5, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab","TOOL_WORLD","b6c08ee7f65b8364890f879fa2b49c9c","Assets/_Project/Art/Materials/Tools/Mat_Tool_Propulsion_Placeholder.mat","Mat_Tool_Propulsion_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Propulsion_World.prefab:72 - {fileID: 2100000, guid: b6c08ee7f65b8364890f879fa2b49c9c, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab","TOOL_WORLD","ddf6b1926d2d11f438c6d50f097c3bda","Assets/_Project/Art/Materials/Tools/Mat_Tool_Repair_Placeholder.mat","Mat_Tool_Repair_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab:73 - {fileID: 2100000, guid: ddf6b1926d2d11f438c6d50f097c3bda, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
"Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","TOOL_WORLD","36a877ee51b6eda4495e1c2df87febff","Assets/_Project/Art/Materials/Tools/Mat_Tool_SalvageSampler_Placeholder.mat","Mat_Tool_SalvageSampler_Placeholder","Tool body placeholder material","REJECTED_SOURCE_ROUTE","TOOL_PLACEHOLDER_MATERIAL","Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab:72 - {fileID: 2100000, guid: 36a877ee51b6eda4495e1c2df87febff, type: 2}","Author/import tool-specific albedo, normal, packed mask, labels/emission where needed; relink held/world family together; preserve tool data and anchors.","BLOCKED_TOOL_PLACEHOLDER"
