"File","ArticleID","Status","DirectPacketMapping","TitlePacketMapping","Issues"
"Aegir_Astronomy_Reference.md","location.aegir.astronomy_reference","source-bound working reference.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION"
"Aegir_Gas_Giant.md","","draft physical atlas.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Aegir_Moon_Catalog.md","location.aegir.moon_catalog","working physical atlas / names adjustable.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Aegir_Moon_System.md","location.aegir.moons","locked working direction / names still renameable.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Aegir_Route.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Aegir_System.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Atlas_6.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Atlas6_Original_Directive.md","atlas.original_directive","locked working canon.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Black_Keel_Ownership.md","ship.black_keel.ownership","working lock.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Blue_Debt_Field_Behavior.md","resource.blue_debt.behavior","working lock.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Corporate_Claims.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Dead_Claims.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Deep_Reach.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Deep_Reach_2147_Cover_Story.md","faction.deep_reach.2147_cover","locked working canon.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Deep_Reach_Liability_Doctrine.md","faction.deep_reach.liability_doctrine","draft internal doctrine.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"False_Ending_Families.md","ending.false_families","working design lock.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION"
"HECTON_8.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"HECTON8_Colony_Layout.md","hecton8.colony_layout","production-facing draft.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"HECTON8_Depth_Bands.md","hecton8.depth_bands","working progression atlas.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"HECTON8_Flora_Fauna_Overview.md","location.hecton8.flora_fauna","draft atlas.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"HECTON8_Geology_Resources.md","","draft physical/resource atlas.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"HECTON8_Resource_Catalog.md","location.hecton8.resource_catalog","draft atlas.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Human_Domains.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Humanity_Overview_2190.md","","draft reference atlas.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Interstellar_Travel.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Marauders.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Named_Domains_2190.md","","locked working set.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Player_Motive_Arc.md","player.motive_arc","working lock.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Player_Origin_Barnard_Yards.md","player.origin.barnard_yards","locked working direction.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Relay_Spine.md","","draft encyclopedia entry.","","P012_RELAY_SPINE","MISSING_ARTICLE_ID;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Salvage_Carrier.md","ship.salvage_carrier","locked working direction.","","","NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Salvage_Economy.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Seed_Program.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Ship_Classes.md","","draft encyclopedia entry.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Strategic_Pressure_Resources.md","","draft concept atlas.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Technology_Overview_2190.md","","draft reference atlas.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
"Xenon_Omega.md","","locked corporate codename / draft science model.","","","MISSING_ARTICLE_ID;NO_VERIFIED_PACKET_MAPPING;NO_PLAYER_CODEX_SECTION;WRITER_NOTE_ONLY_RISK"
