path,base_maps,normal_maps
Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.mat,_BaseMap:_Project/Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png;_MainTex:_Project/Art/TEXTURES/Meshy_AI_Alien_barnacles_clust_0301230506_texture.png,
Art/Materials/Construction/Mat_RuinSeepSheen.mat,_MainTex:_Project/Art/TEXTURES/Detali/Mineral Seep Mask - second try.png,
Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png
Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png
Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/normal___family.coral.low.png
Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/normal___family.coral.massive.png
Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/albedo___family.coral.plate.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/normal___family.coral.plate.png
Art/Materials/WorldProceduralProxy/MAT_family_kelp_abyssal.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/albedo___family.kelp.abyssal.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.abyssal/normal___family.kelp.abyssal.png
Art/Materials/WorldProceduralProxy/MAT_family_kelp_canopy.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/normal___family.kelp.canopy.png
Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/albedo___family.kelp.patch.dense.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png
Art/Materials/WorldProceduralProxy/MAT_family_kelp_tall.mat,_BaseMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/albedo___family.kelp.tall.png,_NormalMap:_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.tall/normal___family.kelp.tall.png
Art/Materials/WorldProceduralProxy/MAT_family_rock_arch_large.mat,_BaseMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg
Art/Materials/WorldProceduralProxy/MAT_family_rock_cluster_medium.mat,_BaseMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg
Art/Materials/WorldProceduralProxy/MAT_family_rock_small_floor.mat,_BaseMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg
Art/Models/Rocks/Rock 6/rock6/rock_6.mat,_BaseMap:_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg;_MainTex:_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg
Art/Models/Rocks/Rock 7/Materials/2.mat,_BaseMap:_Project/Art/Models/Rocks/Rock 7/Materials/2.jpg;_MainTex:_Project/Art/Models/Rocks/Rock 7/Materials/2.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f
Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock_Shared.mat,_BaseMap:920eb4a5d89009b42a522ff2aa1e6ef3;_MainTex:920eb4a5d89009b42a522ff2aa1e6ef3,_BumpMap:5189dcc817bc5e24095d445209499d1f
Materials/WorldRuntime/ProceduralPlaceholders/TerrainLod/MAT_family_rock_arch_large_Placeholder.mat,_BaseMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg;_MainTex:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg,_BumpMap:_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg
