record_id,source_asset_path,source_type,material_name,slot,slot_role,category,reference_state,reference_guid,resolved_texture_path,target_texture_path,generated_asset_guid,priority,target_resolution,albedo_compression,normal_compression,orm_compression,estimated_vram_mib,stub_reasons,prompt_id,issue_detail
b59156063e5a,Assets/_Project/Prefabs/Directional Light.prefab,prefab,Directional Light,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,09efcc42e79b40e4783ba016293c85ea,Assets/_Project/Art/Materials/Mat_Sun.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Directional_Light_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
63bee1a0c13a,Assets/_Project/Prefabs/GasGiant_Aegir.prefab,prefab,GasGiant_Aegir,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,2792169a3d108184d9d7915f0d2e464a,Assets/_Project/Art/Materials/Mat_GasGiant.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/GasGiant_Aegir_Albedo.png,,LOW,512,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
bccf3fca8461,Assets/_Project/Prefabs/Hecton Ocean.prefab,prefab,Hecton Ocean,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,29c5d4a138a433c4194e99717a75d58d,Assets/_Project/_Archive/Mat_Ocean.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Hecton_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
5071102c49aa,Assets/_Project/Prefabs/Hecton Ocean.prefab,prefab,Hecton Ocean,MaterialRef_3,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,29c5d4a138a433c4194e99717a75d58d,Assets/_Project/_Archive/Mat_Ocean.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Hecton_Ocean_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
2e450254a5e1,Assets/_Project/Prefabs/Ocean_Crest.prefab,prefab,Ocean_Crest,MaterialRef_1,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,9ea2a31a068e95944bc77c3fe396c4f6,Assets/_Project/Art/Materials/MAT_SargassumOilFilm.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Ocean_Crest_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
d4bc8e2ec8b6,Assets/_Project/Prefabs/Ocean_Crest.prefab,prefab,Ocean_Crest,MaterialRef_4,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,e1c2ab7f3d77470aa35e3d99ff126744,Assets/_Project/Art/Materials/MAT_SargassumWaveDamping.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Ocean_Crest_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
6687a14dfe1b,Assets/_Project/Prefabs/Ocean_Crest.prefab,prefab,Ocean_Crest,MaterialRef_7,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,f2d3bc8e4e88481bb46f4ea00a237855,Assets/_Project/Art/Materials/MAT_SargassumFoamDamping.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Ocean_Crest_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
6dee15b40f96,Assets/_Project/Prefabs/Ocean_Crest.prefab,prefab,Ocean_Crest,MaterialRef_10,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,9def92ac79181fe41b238e91663f0fad,Assets/Crest/Crest/Materials/Ocean.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Ocean_Crest_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
d1cc40dc9f1f,Assets/_Project/Prefabs/Ocean_Crest.prefab,prefab,Ocean_Crest,MaterialRef_21,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,a3e4cd9f5f99492cc5705fb11b348966,Assets/_Project/Art/Materials/MAT_SargassumMicroFaunaBoids.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/Ocean_Crest_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
4caab1e933d5,Assets/_Project/Prefabs/PFB_Submarine_Core.prefab,prefab,PFB_Submarine_Core,MaterialRef_5,TEXTURE,HABITAT_INTERIORS,RESOLVED_MATERIAL_REF,3f583590a43a3d94d954e04de649999d,Assets/_Project/Art/Materials/VFX/Mat_LeakPlume.mat,Assets/_Project/Art/Textures/Generated/SHINOBU_361/HABITAT_INTERIORS/PFB_Submarine_Core_Albedo.png,,MEDIUM,1024,"BC7 sRGB, mipmaps on, Read/Write off","BC5 linear normal, mipmaps on, Read/Write off","BC7 linear packed ORM, mipmaps on, Read/Write off",0.0,,,prefab material reference
