lane_id,readiness,owner_route,source_packets,ready_scope,not_ready_scope,required_output,next_gate
2014-R001,READY_FOR_BASELINE_CAPTURE,Single Unity owner `ACTIVE_UNITY_OWNER_CONTINUE_FROM_LOGS`,2002;2007;2010;2012;2013;UNITY_VISUAL_PROOF_CAPTURE_RUNBOOK_20260604,"Baseline Game/Scene captures, critique-angle recreation, shore/water/sky/Aegir/shallows/medium-depth shots, numeric GlobalQualityWeight passes","Repair acceptance, visual pass claims, profiler claims without artifacts","Docs/Reports/Batch20/VisualProof/<timestamp>_baseline_no_change/ manifest plus shots outside Assets","Triage blockers from captured evidence"
2014-R002,READY_STATIC_INPUT,Integration/controller,2002,"13-row surface/shallow repair ledger with primitive/null material/sky/ocean/scatter blockers","Runtime repair or acceptance","Use rows to seed Unity triage and blocker register","Unity active-scene validation"
2014-R003,READY_STATIC_INPUT,Placement owner,2003,"Dry-land placement risk spec and candidate patch notes","Direct code/asset patch application","Owner source inspection plan and safe implementation checklist","Compile proof, placement preview, telemetry decision"
2014-R004,READY_STATIC_INPUT,BioForge/Flora editor owner,2004,"10 flora/coral variant contracts, channel contract rows, proof shots, rejection gates","Bake/import/final flora acceptance","Source generation/bake work order","Real source bitmaps and bake manifest"
2014-R005,READY_STATIC_INPUT,GeologyForge editor owner,2005,"10 shoreline/rock families, collider/LOD contracts, material requirements","Bake/import/final geology acceptance","Geology source/bake work order","Wet basalt stack and deterministic bake proof"
2014-R006,READY_STATIC_INPUT,Sky/Aegir source owner,2006,"Static source inventory, Aegir/cloud/moon/sky validator gaps, capture checklist","Sky/Aegir visual acceptance","Validator extension and capture requirements","Unity paired captures and material slot proof"
2014-R007,READY_STATIC_INPUT,Ocean/render owner,2007,"Ocean/shoreline RenderGraph route contract, proof checklist, reject gates","Ocean runtime/render acceptance","Frame Debugger/profiler/capture plan","Unity Frame Debugger/profiler/GC/memory/VRAM artifacts"
2014-R008,READY_STATIC_INPUT,ProductFace owner,2008,"Relink law, debt matrix, candidate relinks marked do-not-apply, channel contract requirements","Relink execution","Channel-contract resolution plan","Source/import proof and Unity validator outputs"
2014-R009,READY_STATIC_INPUT,Manual/Gemini source owner,2009,"35 prompt/source QA contracts and intake template","Import or source-file claim","Candidate generation queue","Real files, hashes, QA rows, owner/license status"
2014-R010,READY_STATIC_INPUT,Quality/scalability owner,2010,"Continuous GlobalQualityWeight matrix, proof checklist, three-pillar acceptance, black-box/profiler requirements","Runtime quality acceptance","Proof rubric for Unity owner","Actual captures/profiler/black-box artifacts"
2014-R011,READY_STATIC_PARTIAL,Static validator owner,2011,"ProductFace route audit clean, MaterialAudit debt counts, LOD matrix static pass, offline stress pass","Visual debt closure or runtime LOD/profiler proof","Use as static gate summary","Resolve material refs and run allowed validators"
2014-R012,READY_STATIC_INPUT,Unity-slot controller,2012;2013,"Serialized lane order and adversarial corrections","Repair dispatch before blockers close","Use corrected order from 2014 handoff","Explicit Unity owner/free-slot statement"
2014-R013,READY_STATIC_INPUT,First-hour gameplay owner,FIRST_HOUR_RESOURCE_TOOL_OXYGEN_REACHABILITY_20260604,"Copper/tool/O2/save/death proof gates and static blockers","First-hour gameplay acceptance","Add PlayMode gate checklist to Unity owner plan","Implement/prove copper route, tool route, crafting, O2, save/load, respawn"
